-- Logs begin at Fri 2022-07-22 00:27:43 UTC, end at Fri 2022-07-22 02:35:02 UTC. --
Jul 22 01:58:43 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Jul 22 01:58:43 ubuntu dstat.sh[91932]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Jul 22 01:58:43 ubuntu dstat.sh[91932]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Jul 22 01:59:02 ubuntu dstat.sh[91932]: 22-07 01:59:02| 44   4  51   1   0| 996M 1343M  189M 5214M| 122k 2751 |   0  8414k|   0   390 |2144  2783 |1.56 1.05 0.73|2.0   0  13|   0     0 |   0     0 |  9    6    0   10    2
Jul 22 01:59:03 ubuntu dstat.sh[91932]: 22-07 01:59:03| 45   4  50   1   0|1024M 1314M  189M 5214M|9448  2230 |   0  7121k|   0   410 |2024  2851 |1.60 1.07 0.73|1.0   0 1.0|   0     0 |   0     0 |  9    6    0   10    2
Jul 22 01:59:04 ubuntu dstat.sh[91932]: 22-07 01:59:04| 28   1  68   2   0|1041M 1297M  189M 5215M| 598k   12k|   0  7449k|   0   389 |2345  2815 |1.60 1.07 0.73|2.0   0 1.0|   0     0 |   0     0 |  9    6    0   10    2
Jul 22 01:59:05 ubuntu dstat.sh[91932]: 22-07 01:59:05| 22  10  68   1   0| 955M 1382M  190M 5216M| 388k   13k|   0  6603k|   0   154 |2487  3385 |1.60 1.07 0.73|1.0   0 169|   0     0 |   0     0 |  9    6    0   10    2
Jul 22 01:59:06 ubuntu dstat.sh[91932]: 22-07 01:59:06| 14  19  66   1   0| 955M 1381M  190M 5216M|  68k 6262 |   0   649k|   0  26.0 |2658  4343 |1.60 1.07 0.73|1.0   0 375|   0     0 |   0     0 |  9    6    0   10    2
Jul 22 01:59:07 ubuntu dstat.sh[91932]: 22-07 01:59:07| 23  15  59   0   0| 957M 1379M  190M 5217M|  21k 4345 |   0   439k|   0  12.0 |4417  7921 |1.60 1.07 0.73|1.0   0 166|   0     0 |   0     0 |  9    6    0   10    2
Jul 22 01:59:08 ubuntu dstat.sh[91932]: 22-07 01:59:08| 49  13  38   1   0|1077M 1259M  190M 5217M| 163k 7426 |   0   448k|   0  6.00 |2842  5441 |1.63 1.08 0.74|3.0   0 152|   0     0 |   0     0 |  9    7    0   10    2
Jul 22 01:59:09 ubuntu dstat.sh[91932]: 22-07 01:59:09| 49   6  44   1   0|1146M 1189M  190M 5218M| 139k 7447 |   0   600k|   0  10.0 |1437  1213 |1.63 1.08 0.74|3.0   0 1.0|   0     0 |   0     0 |  9    7    0   10    2
Jul 22 01:59:10 ubuntu dstat.sh[91932]: 22-07 01:59:10| 73   2  24   0   0|1183M 1151M  190M 5218M|8813  1619 |   0  9471k|   0   170 |1503   907 |1.63 1.08 0.74|4.0   0 2.0|   0     0 |   0     0 |  9    7    0   10    2
Jul 22 01:59:11 ubuntu dstat.sh[91932]: 22-07 01:59:11| 49  11  41   0   0|1185M 1146M  190M 5220M|  13k 3878 |   0   860k|   0  9.00 |1978  5392 |1.63 1.08 0.74|2.0   0 109|   0     0 |   0     0 |  9    6    0   11    2
Jul 22 01:59:12 ubuntu dstat.sh[91932]: 22-07 01:59:12| 40   8  53   0   0|1251M 1080M  190M 5220M|  15k 2454 |   0   316k|   0  5.99 |1657  2163 |1.63 1.08 0.74|2.0   0  36|   0     0 |   0     0 |  9    6    0   11    2
Jul 22 01:59:13 ubuntu dstat.sh[91932]: 22-07 01:59:13| 49   2  49   0   0|1295M 1036M  190M 5221M|  18k 1566 |   0     0 |   0     0 |1110   912 |1.66 1.10 0.75|2.0   0   0|   0     0 |   0     0 |  9    6    0   11    2
Jul 22 01:59:14 ubuntu dstat.sh[91932]: 22-07 01:59:14| 54   5  42   0   0|1302M 1028M  190M 5221M|9821  2712 |   0  4102B|   0  1.00 |1616  4879 |1.66 1.10 0.75|2.0   0  36|   0     0 |   0     0 |  9    6    0   11    2
Jul 22 01:59:15 ubuntu dstat.sh[91932]: 22-07 01:59:15| 44   5  48   1   0|1206M 1122M  190M 5223M|  73k   64k|   0  7636k|   0   328 |3879  6063 |1.66 1.10 0.75|2.0   0  44|   0     0 |   0     0 |  9    6    0   13    2
Jul 22 01:59:16 ubuntu dstat.sh[91932]: 22-07 01:59:16| 44   5  49   1   0|1233M 1094M  190M 5224M|9322  1619 |  20k   16k|5.00  1.00 |1233  2063 |1.66 1.10 0.75|3.0   0 3.0|   0     0 |   0     0 |  9    6    0   12    2
Jul 22 01:59:17 ubuntu dstat.sh[91932]: 22-07 01:59:17| 45   4  49   3   0|1266M 1060M  190M 5224M| 117k  112k| 132k  909k|33.0  7.01 |1778  2270 |1.66 1.10 0.75|3.0   0 3.0|   0     0 |   0     0 |  9   31    0   12    2
Jul 22 01:59:18 ubuntu dstat.sh[91932]: 22-07 01:59:18| 46   5  49   1   0|1225M 1100M  190M 5225M|  21k   14k|   0   924k|   0  16.0 |1481  1698 |1.69 1.12 0.75|2.0 1.0  45|   0     0 |   0     0 |  9   30    0   11    2
Jul 22 01:59:19 ubuntu dstat.sh[91932]: 22-07 01:59:19| 36  13  46   6   1|1196M 1110M  191M 5243M|  72k   60k|   0  2013k|   0  82.0 |2082  3042 |1.69 1.12 0.75|5.0   0 193|   0     0 |   0     0 |  9   30    0   11    2
Jul 22 01:59:20 ubuntu dstat.sh[91932]: 22-07 01:59:20| 63   9  27   0   0|1288M 1008M  191M 5250M|  12k 1619 |   0  4832k|   0  59.0 |1635  1324 |1.69 1.12 0.75|2.0 1.0 2.0|   0     0 |   0     0 |  9   30    0    9    2
Jul 22 01:59:21 ubuntu dstat.sh[91932]: 22-07 01:59:21| 58   9  28   5   0|1321M  966M  192M 5258M| 609k  600k|   0  2488k|   0   109 |4332  8668 |1.69 1.12 0.75|4.0   0 4.0|   0     0 |   0     0 |  9   35    0    9    2
Jul 22 01:59:22 ubuntu dstat.sh[91932]: 22-07 01:59:22| 70  18  10   2   0|1288M  976M  193M 5277M| 191k  185k|   0  1926k|   0  74.1 |3103  5968 |1.69 1.12 0.75|8.0   0 347|   0     0 |   0     0 |  9   34    0   10    2
Jul 22 01:59:23 ubuntu dstat.sh[91932]: 22-07 01:59:23| 84  15   0   0   0|1417M  843M  193M 5281M| 174k  168k|   0  1507k|   0  45.0 |2488  4229 |2.19 1.23 0.79|7.0   0 170|   0     0 |   0     0 |  9   37    0   10    2
Jul 22 01:59:24 ubuntu dstat.sh[91932]: 22-07 01:59:24| 84  13   2   0   0|1402M  857M  193M 5281M| 749k  731k|   0  1287k|   0   107 |4677    12k|2.19 1.23 0.79|7.0   0  97|   0     0 |   0     0 |  9   36    0   11    2
Jul 22 01:59:25 ubuntu dstat.sh[91932]: 22-07 01:59:25| 77  15   7   1   0|1260M 1018M  193M 5263M| 416k  411k|   0  5824k|   0   145 |3294  7931 |2.19 1.23 0.79|5.0   0 169|   0     0 |   0     0 |  9   32    0   11    0
Jul 22 01:59:26 ubuntu dstat.sh[91932]: 22-07 01:59:26| 66  10  24   0   0|1297M  980M  193M 5263M| 380k  373k|   0   613k|   0  24.1 |2855  6589 |2.19 1.23 0.79|6.0   0  73|   0     0 |   0     0 |  9   33    0   11    0
Jul 22 01:59:27 ubuntu dstat.sh[91932]: 22-07 01:59:27| 55   7  37   0   0|1265M 1012M  193M 5263M| 218k  212k|   0   431k|   0  12.0 |7002    16k|2.19 1.23 0.79|3.0   0  70|   0     0 |   0     0 |  9   33    0   11    0
Jul 22 01:59:28 ubuntu dstat.sh[91932]: 22-07 01:59:28| 43   9  48   0   0|1209M 1069M  193M 5263M|  61k   54k|   0  1308k|   0  22.0 |2137  2862 |2.26 1.26 0.81|3.0   0  77|   0     0 |   0     0 |  9   32    0   11    0
Jul 22 01:59:29 ubuntu dstat.sh[91932]: 22-07 01:59:29| 47   4  50   0   0|1265M 1013M  193M 5263M|  53k   46k|   0   344k|   0  6.00 |1416  1592 |2.26 1.26 0.81|3.0   0 6.0|   0     0 |   0     0 |  9   33    0   11    0
Jul 22 01:59:30 ubuntu dstat.sh[91932]: 22-07 01:59:30| 41  15  40   1   0|1208M 1070M  193M 5263M| 172k  165k|   0  8897k|   0   492 |7697    17k|2.26 1.26 0.81|3.0   0 270|   0     0 |   0     0 |  9   32    0   11    0
Jul 22 01:59:31 ubuntu dstat.sh[91932]: 22-07 01:59:31| 44  26  29   0   0|1221M 1056M  193M 5263M|  10k 1663 |   0   116k|   0  10.0 |2634  5163 |2.26 1.26 0.81|8.0   0 703|   0     0 |   0     0 |  9   32    0   11    0
Jul 22 01:59:32 ubuntu dstat.sh[91932]: 22-07 01:59:32| 84  15   0   0   0|1302M  975M  193M 5263M|  40k   30k|   0   372k|   0  15.0 |1898  2828 |2.26 1.26 0.81|7.0   0 219|   0     0 |   0     0 |  9   33    0   11    0
Jul 22 01:59:33 ubuntu dstat.sh[91932]: 22-07 01:59:33| 89  11   1   0   0|1420M  857M  193M 5264M| 988k  980k|   0   380k|   0  30.0 |4186  9010 |2.72 1.37 0.84|6.0   0 7.0|   0     0 |   0     0 |  9   35    0   11    0
Jul 22 01:59:34 ubuntu dstat.sh[91932]: 22-07 01:59:34| 89  10   1   0   0|1351M  926M  193M 5264M|1020k 1017k|   0   464k|   0  30.0 |4918    10k|2.72 1.37 0.84|7.0   0  68|   0     0 |   0     0 |  9   34    0   11    0
Jul 22 01:59:35 ubuntu dstat.sh[91932]: 22-07 01:59:35| 81  15   2   0   0|1302M  975M  193M 5264M| 602k  598k|   0   554k|   0  41.8 |4989  9998 |2.72 1.37 0.84|7.0   0 190|   0     0 |   0     0 |  9   33    0   12    0
Jul 22 01:59:36 ubuntu dstat.sh[91932]: 22-07 01:59:36| 83  15   2   0   0|1376M  901M  193M 5264M| 838k  834k|   0   795k|   0  54.2 |4898    10k|2.72 1.37 0.84|6.0   0 141|   0     0 |   0     0 |  9   33    0   12    0
Jul 22 01:59:37 ubuntu dstat.sh[91932]: 22-07 01:59:37| 86  13   0   0   0|1382M  894M  193M 5264M| 656k  648k|   0   520k|   0  50.0 |4121  9396 |2.72 1.37 0.84|6.0   0 100|   0     0 |   0     0 |  9   34    0   13    0
Jul 22 01:59:38 ubuntu dstat.sh[91932]: 22-07 01:59:38| 88  10   1   0   0|1357M  919M  193M 5264M| 935k  928k|   0   633k|   0  58.8 |4645    12k|3.06 1.47 0.88|7.0   0 122|   0     0 |   0     0 |  9   34    0   13    0
Jul 22 01:59:39 ubuntu dstat.sh[91932]: 22-07 01:59:39| 87  12   0   0   0|1352M  924M  193M 5265M| 790k  782k|   0   384k|   0  32.0 |3653    10k|3.06 1.47 0.88|7.0   0  63|   0     0 |   0     0 |  9   34    0   10    0
Jul 22 01:59:40 ubuntu dstat.sh[91932]: 22-07 01:59:40| 84  11   5   0   0|1309M  966M  193M 5266M|1123k 1113k|   0   626k|   0  58.2 |6092    15k|3.06 1.47 0.88|5.0   0  74|   0     0 |   0     0 |  9   33    0   11    0
Jul 22 01:59:41 ubuntu dstat.sh[91932]: 22-07 01:59:41| 72  22   6   0   0|1212M 1063M  193M 5266M| 863k  838k|   0  2870k|   0  70.0 |5226    14k|3.06 1.47 0.88|7.0   0 564|   0     0 |   0     0 |  9   32    0   12    0
Jul 22 01:59:42 ubuntu dstat.sh[91932]: 22-07 01:59:42| 84  13   2   0   0|1368M  906M  193M 5266M| 405k  387k|   0   310k|   0  23.9 |2586  5879 |3.06 1.47 0.88|4.0   0  45|   0     0 |   0     0 |  9   35    0   12    0
Jul 22 01:59:43 ubuntu dstat.sh[91932]: 22-07 01:59:43| 60  12  26   1   0|1278M  996M  193M 5266M|1316k 1302k|   0   644k|   0  61.4 |5457    17k|3.06 1.49 0.89|5.0   0 250|   0     0 |   0     0 |  9   33    0   13    0
Jul 22 01:59:44 ubuntu dstat.sh[91932]: 22-07 01:59:44| 89  11   0   0   0|1319M  955M  193M 5267M| 230k  221k|   0   276k|   0  19.0 |1936  3948 |3.06 1.49 0.89|5.0   0  66|   0     0 |   0     0 |  9   32    0   13    0
Jul 22 01:59:45 ubuntu dstat.sh[91932]: 22-07 01:59:45| 63  11  25   0   0|1318M  956M  193M 5267M|1125k 1117k|   0   609k|   0  58.7 |6126    15k|3.06 1.49 0.89|3.0   0  75|   0     0 |   0     0 |  9   35    0   15    0
Jul 22 01:59:46 ubuntu dstat.sh[91932]: 22-07 01:59:46| 76  18   5   0   0|1272M 1002M  193M 5267M| 486k  478k|   0  2193k|   0   145 |4014  8977 |3.06 1.49 0.89|5.0   0 301|   0     0 |   0     0 |  9   32    0   15    0
Jul 22 01:59:47 ubuntu dstat.sh[91932]: 22-07 01:59:47| 87  13   0   0   0|1405M  868M  193M 5267M| 430k  426k|   0   159k|   0  14.9 |2969  5973 |3.06 1.49 0.89|5.0   0   0|   0     0 |   0     0 |  9   34    0   15    0
Jul 22 01:59:48 ubuntu dstat.sh[91932]: 22-07 01:59:48| 66  10  24   0   0|1376M  897M  193M 5267M|1259k 1253k|   0   433k|   0  37.1 |7018    16k|3.53 1.62 0.93|2.0   0  69|   0     0 |   0     0 |  9   36    0   21    0
Jul 22 01:59:49 ubuntu dstat.sh[91932]: 22-07 01:59:49| 69  15  15   0   0|1219M 1053M  193M 5267M| 651k  638k|   0   620k|   0  56.0 |4767    11k|3.53 1.62 0.93|5.0   0 333|   0     0 |   0     0 |  9   32    0   21    0
Jul 22 01:59:50 ubuntu dstat.sh[91932]: 22-07 01:59:50| 87  11   2   0   0|1372M  901M  193M 5267M| 228k  219k|   0   208k|   0  12.0 |2502  3925 |3.53 1.62 0.93|4.0   0  20|   0     0 |   0     0 |  9   34    0   21    0
Jul 22 01:59:51 ubuntu dstat.sh[91932]: 22-07 01:59:51| 58  12  29   0   0|1275M  998M  194M 5268M|1128k 1119k|   0    31M|   0   213 |7080    16k|3.53 1.62 0.93|8.0   0 144|   0     0 |   0     0 |  9   33    0   25    0
Jul 22 01:59:52 ubuntu dstat.sh[91932]: 22-07 01:59:52| 84  14   1   0   0|1300M  973M  194M 5268M| 188k  183k|   0   232k|   0  14.0 |2464  4519 |3.53 1.62 0.93|5.0   0 180|   0     0 |   0     0 |  9   32    0   25    0
Jul 22 01:59:53 ubuntu dstat.sh[91932]: 22-07 01:59:53| 72   9  19   0   0|1320M  953M  194M 5268M| 971k  963k|   0   476k|   0  44.0 |5742    13k|3.65 1.67 0.96|4.0 1.0  52|   0     0 |   0     0 |  9   35    0   25    0
Jul 22 01:59:54 ubuntu dstat.sh[91932]: 22-07 01:59:54| 67  12  18   0   0|1231M 1041M  194M 5268M| 506k  496k|   0   487k|   0  44.9 |3543  8796 |3.65 1.67 0.96|4.0   0 165|   0     0 |   0     0 |  9   32    0   26    0
Jul 22 01:59:55 ubuntu dstat.sh[91932]: 22-07 01:59:55| 64  14  22   0   0|1267M 1005M  194M 5268M| 409k  403k|   0   649k|   0  54.1 |3860  7633 |3.65 1.67 0.96|4.0   0 179|   0     0 |   0     0 |  9   34    0   26    0
Jul 22 01:59:56 ubuntu dstat.sh[91932]: 22-07 01:59:56| 79  18   3   0   0|1286M  986M  194M 5268M| 495k  489k|   0    34M|   0   215 |5109  9490 |3.65 1.67 0.96|7.0   0 389|   0     0 |   0     0 |  9   32    0   26    0
Jul 22 01:59:57 ubuntu dstat.sh[91932]: 22-07 01:59:57| 87  13   0   0   0|1434M  838M  194M 5268M| 619k  612k|   0   535k|   0  37.0 |3753  8468 |3.65 1.67 0.96|5.0   0 165|   0     0 |   0     0 |  9   36    0   27    0
Jul 22 01:59:58 ubuntu dstat.sh[91932]: 22-07 01:59:58| 80  17   2   0   0|1392M  880M  194M 5269M|1245k 1239k|   0   741k|   0  49.0 |5678    16k|3.84 1.75 0.98|9.0   0 199|   0     0 |   0     0 |  9   35    0   29    0
Jul 22 01:59:59 ubuntu dstat.sh[91932]: 22-07 01:59:59| 83  15   2   0   0|1357M  914M  194M 5269M|1148k 1133k|   0   700k|   0  44.0 |6069    15k|3.84 1.75 0.98|6.0   0 201|   0     0 |   0     0 |  9   33    0   29    0
Jul 22 02:00:00 ubuntu dstat.sh[91932]: 22-07 02:00:00| 82  16   1   0   0|1361M  910M  194M 5269M| 749k  744k|   0   608k|   0  32.0 |5950    11k|3.84 1.75 0.98|8.0 1.0 168|   0     0 |   0     0 |  9   34    0   29    0
Jul 22 02:00:01 ubuntu dstat.sh[91932]: 22-07 02:00:01| 81  17   1   0   0|1365M  905M  194M 5270M| 842k  828k|   0   880k|   0  77.7 |6010    12k|3.84 1.75 0.98|6.0   0 205|   0     0 |   0     0 |  9   33    0   29    0
Jul 22 02:00:02 ubuntu dstat.sh[91932]: 22-07 02:00:02| 84  14   2   0   0|1301M  970M  194M 5270M| 696k  688k|   0   671k|   0  59.2 |5022    11k|3.84 1.75 0.98|6.0   0 215|   0     0 |   0     0 |  9   32    0   29    0
Jul 22 02:00:03 ubuntu dstat.sh[91932]: 22-07 02:00:03| 84  15   1   0   0|1407M  863M  194M 5270M|1107k 1098k|   0   632k|   0  44.0 |4377    14k|4.25 1.87 1.03|8.0   0 140|   0     0 |   0     0 |  9   34    0   29    0
Jul 22 02:00:04 ubuntu dstat.sh[91932]: 22-07 02:00:04| 70  19  10   0   0|1255M 1014M  194M 5270M|1471k 1466k|   0   920k|   0  51.0 |6507    19k|4.25 1.87 1.03|5.0   0 460|   0     0 |   0     0 |  9   34    0   29    0
Jul 22 02:00:05 ubuntu dstat.sh[91932]: 22-07 02:00:05| 22  21  54   0   0|1135M 1135M  194M 5271M| 242k  235k|   0   519k|   0  27.0 |3959  7031 |4.25 1.87 1.03|2.0   0 449|   0     0 |   0     0 |  9   32    0   29    0
Jul 22 02:00:06 ubuntu dstat.sh[91932]: 22-07 02:00:06| 51  30  19   0   0|1235M 1035M  194M 5271M|5098  1622 |   0  2058k|   0  96.1 |2540  5420 |4.25 1.87 1.03|6.0   0 782|   0     0 |   0     0 |  9   32    0   29    0
Jul 22 02:00:07 ubuntu dstat.sh[91932]: 22-07 02:00:07| 84  15   0   0   0|1323M  946M  194M 5271M| 527k  519k|   0  1150k|   0  77.8 |3963  8644 |4.25 1.87 1.03|6.0 1.0 184|   0     0 |   0     0 |  9   34    0   29    0
Jul 22 02:00:08 ubuntu dstat.sh[91932]: 22-07 02:00:08| 79  18   3   0   0|1261M 1008M  194M 5271M| 610k  603k|   0   637k|   0  65.1 |5363    11k|4.23 1.90 1.04|6.0   0 336|   0     0 |   0     0 |  9   32    0   30    0
Jul 22 02:00:09 ubuntu dstat.sh[91932]: 22-07 02:00:09| 84  13   2   0   0|1345M  924M  194M 5271M| 564k  555k|   0   478k|   0  35.9 |5037  9811 |4.23 1.90 1.04|6.0   0 167|   0     0 |   0     0 |  9   34    0   30    0
Jul 22 02:00:10 ubuntu dstat.sh[91932]: 22-07 02:00:10| 82  10   8   0   0|1424M  845M  194M 5272M|1255k 1246k|   0   473k|   0  40.1 |6083    16k|4.23 1.90 1.04|4.0   0 1.0|   0     0 |   0     0 |  9   36    0   31    0
Jul 22 02:00:11 ubuntu dstat.sh[91932]: 22-07 02:00:11| 55   6  37   0   0|1439M  829M  194M 5272M|1183k 1175k|   0  2191k|   0  46.0 |5797    15k|4.23 1.90 1.04|3.0   0 2.0|   0     0 |   0     0 |  9   37    0   35    0
Jul 22 02:00:12 ubuntu dstat.sh[91932]: 22-07 02:00:12| 56  10  32   0   0|1402M  866M  194M 5272M|1070k 1061k|   0   536k|   0  56.0 |7040    15k|4.23 1.90 1.04|5.0   0  19|   0     0 |   0     0 |  9   35    0   40    0
Jul 22 02:00:13 ubuntu dstat.sh[91932]: 22-07 02:00:13| 86  12   2   0   0|1336M  931M  194M 5272M| 672k  664k|   0   368k|   0  31.0 |3744  9143 |4.37 1.97 1.07|5.0   0 147|   0     0 |   0     0 |  9   33    0   40    0
Jul 22 02:00:14 ubuntu dstat.sh[91932]: 22-07 02:00:14| 84  14   1   0   0|1432M  835M  194M 5272M| 624k  618k|   0   288k|   0  22.0 |4622    15k|4.37 1.97 1.07|5.0   0  53|   0     0 |   0     0 | 10   36    0   40    0
Jul 22 02:00:15 ubuntu dstat.sh[91932]: 22-07 02:00:15| 60   9  30   0   0|1434M  830M  194M 5275M|1386k 1375k|   0   536k|   0  57.0 |6071    19k|4.37 1.97 1.07|4.0   0   0|   0     0 |   0     0 |  9   36    0   45    0
Jul 22 02:00:16 ubuntu dstat.sh[91932]: 22-07 02:00:16| 69   9  21   0   0|1413M  850M  194M 5276M|1315k 1309k|   0   560k|   0  53.0 |6173    15k|4.37 1.97 1.07|3.0   0  51|   0     0 |   0     0 |  9   36    0   48    0
Jul 22 02:00:17 ubuntu dstat.sh[91932]: 22-07 02:00:17| 70  11  19   0   0|1405M  859M  194M 5276M|1129k 1114k|   0   646k|   0  60.8 |7463    16k|4.37 1.97 1.07|5.0   0  51|   0     0 |   0     0 |  9   35    0   50    0
Jul 22 02:00:18 ubuntu dstat.sh[91932]: 22-07 02:00:18| 85  12   3   0   0|1325M  938M  194M 5276M| 940k  932k|   0   623k|   0  66.3 |5345    13k|4.58 2.05 1.10|5.0   0 121|   0     0 |   0     0 |  9   33    0   50    0
Jul 22 02:00:19 ubuntu dstat.sh[91932]: 22-07 02:00:19| 84  12   3   0   0|1363M  900M  194M 5276M|1106k 1097k|   0   512k|   0  42.0 |6313    15k|4.58 2.05 1.10|5.0   0  73|   0     0 |   0     0 |  9   35    0   50    0
Jul 22 02:00:20 ubuntu dstat.sh[91932]: 22-07 02:00:20| 76  11  11   0   0|1413M  849M  194M 5277M|1567k 1558k|   0   574k|   0  51.8 |6439    17k|4.58 2.05 1.10|4.0   0  64|   0     0 |   0     0 |  9   35    0   52    0
