-- Logs begin at Mon 2022-08-01 17:10:28 UTC, end at Mon 2022-08-01 18:15:16 UTC. --
Aug 01 18:02:37 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Aug 01 18:02:37 ubuntu dstat.sh[91877]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Aug 01 18:02:37 ubuntu dstat.sh[91877]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Aug 01 18:02:58 ubuntu dstat.sh[91877]: 01-08 18:02:58| 19  11  69   1   0|1012M 1347M  188M 5197M| 153k 5070 |   0   388k|   0  16.0 |2253  3414 |1.71 1.25 0.81|1.0   0 228|   0     0 |   0     0 |  9    8    0   11    2
Aug 01 18:02:59 ubuntu dstat.sh[91877]: 01-08 18:02:59| 20  20  59   1   0|1027M 1329M  188M 5198M| 164k 5134 |   0  2893k|   0  24.0 |2592  4177 |1.71 1.25 0.81|2.0   0 358|   0     0 |   0     0 |  9    8    0   11    2
Aug 01 18:03:00 ubuntu dstat.sh[91877]: 01-08 18:03:00| 43  17  38   0   0|1071M 1284M  188M 5200M| 137k 3266 |   0  8182B|   0  2.00 |4273  7847 |1.71 1.25 0.81|7.0   0 184|   0     0 |   0     0 |  9    8    0   11    2
Aug 01 18:03:01 ubuntu dstat.sh[91877]: 01-08 18:03:01| 60  11  29   0   0|1080M 1275M  188M 5200M|  11k 2965 |   0  1826k|   0  7.01 |1957  3163 |1.73 1.26 0.81|2.0   0  99|   0     0 |   0     0 |  9    7    0   11    2
Aug 01 18:03:02 ubuntu dstat.sh[91877]: 01-08 18:03:02| 49   4  47   0   0|1142M 1212M  188M 5201M|  46k 4280 |   0   579k|   0  19.0 |1495  1630 |1.73 1.26 0.81|2.0   0   0|   0     0 |   0     0 |  9    7    0   11    2
Aug 01 18:03:03 ubuntu dstat.sh[91877]: 01-08 18:03:03| 51   1  48   0   0|1152M 1201M  188M 5201M| 183k 5124 |   0   116k|   0  3.00 |1273  1161 |1.73 1.26 0.81|3.0   0 1.0|   0     0 |   0     0 |  9    7    0   11    2
Aug 01 18:03:04 ubuntu dstat.sh[91877]: 01-08 18:03:04| 43  14  41   0   0|1206M 1138M  189M 5209M| 706k   14k|   0  1471k|   0  4.00 |3308  7259 |1.73 1.26 0.81|2.0   0 143|   0     0 |   0     0 |  9    6    0   12    2
Aug 01 18:03:05 ubuntu dstat.sh[91877]: 01-08 18:03:05| 47   4  49   0   0|1267M 1077M  189M 5209M|6930  1622 |   0    12M|   0   177 |1555  1288 |1.73 1.26 0.81|2.0   0 1.0|   0     0 |   0     0 |  9    6    0   12    2
Aug 01 18:03:06 ubuntu dstat.sh[91877]: 01-08 18:03:06| 33   2  64   1   0|1268M 1076M  189M 5209M|  74k 3933 |   0   844k|   0  5.00 |1126  1245 |1.67 1.25 0.82|2.0   0 1.0|   0     0 |   0     0 |  9    6    0   12    2
Aug 01 18:03:07 ubuntu dstat.sh[91877]: 01-08 18:03:07| 25   2  71   1   0|1285M 1058M  189M 5210M| 500k   36k|   0   956k|   0  62.0 |1957  2558 |1.67 1.25 0.82|1.0   0 2.0|   0     0 |   0     0 |  9   12    0   12    2
Aug 01 18:03:08 ubuntu dstat.sh[91877]: 01-08 18:03:08| 23   5  66   3   0|1175M 1167M  189M 5210M| 143k   42k|   0  2327k|   0   184 |2849  4681 |1.67 1.25 0.82|1.0   0  45|   0     0 |   0     0 |  9    6    0   14    2
Aug 01 18:03:09 ubuntu dstat.sh[91877]: 01-08 18:03:09| 23   4  72   2   0|1205M 1136M  189M 5211M| 346k 9543 |  20k  669k|5.01  6.01 |1383  1449 |1.67 1.25 0.82|1.0   0 2.0|   0     0 |   0     0 |  9    6    0   14    2
Aug 01 18:03:10 ubuntu dstat.sh[91877]: 01-08 18:03:10| 18   2  70   8   0|1229M 1113M  189M 5211M| 101k   82k|  36k   14M|9.00   629 |2925  3781 |1.67 1.25 0.82|  0 1.0 2.0|   0     0 |   0     0 |  9   18    0   14    2
Aug 01 18:03:11 ubuntu dstat.sh[91877]: 01-08 18:03:11| 18   4  69   9   0|1181M 1160M  189M 5211M| 104k   48k|  88k  368k|22.0  6.00 |1512  2021 |1.78 1.28 0.83|1.0   0  35|   0     0 |   0     0 |  9   30    0   12    2
Aug 01 18:03:12 ubuntu dstat.sh[91877]: 01-08 18:03:12| 25   5  70   0   0|1228M 1113M  189M 5211M|  15k 2244 |   0   108k|   0  3.00 |1161  1358 |1.78 1.28 0.83|1.0   0  12|   0     0 |   0     0 |  9   30    0   12    2
Aug 01 18:03:13 ubuntu dstat.sh[91877]: 01-08 18:03:13| 30  10  60   0   0|1214M 1127M  189M 5212M| 211k   66k|   0   396k|   0  12.0 |2155  3137 |1.78 1.28 0.83|2.0   0 195|   0     0 |   0     0 |  9   30    0   10    2
Aug 01 18:03:14 ubuntu dstat.sh[91877]: 01-08 18:03:14| 48   6  46   1   1|1293M 1048M  189M 5212M|  29k   14k|   0   376k|   0  10.0 |1438  1542 |1.78 1.28 0.83|2.0   0 1.0|   0     0 |   0     0 |  9   31    0   10    2
Aug 01 18:03:15 ubuntu dstat.sh[91877]: 01-08 18:03:15| 53   8  39   0   0|1211M 1129M  189M 5212M| 892k  760k|   0  3020k|   0  38.0 |4641    10k|1.78 1.28 0.83|3.0   0  68|   0     0 |   0     0 |  9   34    0   12    2
Aug 01 18:03:16 ubuntu dstat.sh[91877]: 01-08 18:03:16| 81  17   0   0   0|1346M  994M  189M 5212M|7411  1714 |   0    32k|   0  8.00 |2176  3479 |2.20 1.38 0.86|7.0   0 333|   0     0 |   0     0 |  9   34    0   12    2
Aug 01 18:03:17 ubuntu dstat.sh[91877]: 01-08 18:03:17| 86  13   1   0   0|1442M  897M  189M 5213M| 773k  762k|   0   878k|   0  57.9 |3700    12k|2.20 1.38 0.86|6.0   0 144|   0     0 |   0     0 |  9   35    0   12    2
Aug 01 18:03:18 ubuntu dstat.sh[91877]: 01-08 18:03:18| 82  14   3   0   0|1333M 1006M  189M 5213M| 209k  198k|   0   769k|   0  58.1 |3184  5997 |2.20 1.38 0.86|3.0   0 195|   0     0 |   0     0 |  9   35    0   12    2
Aug 01 18:03:19 ubuntu dstat.sh[91877]: 01-08 18:03:19| 55  10  34   0   0|1277M 1062M  189M 5213M| 503k  499k|   0   968k|   0  68.0 |3533  8212 |2.20 1.38 0.86|3.0   0 108|   0     0 |   0     0 |  9   35    0   12    2
Aug 01 18:03:20 ubuntu dstat.sh[91877]: 01-08 18:03:20| 61   7  31   0   0|1281M 1057M  189M 5213M| 273k  269k|   0  3909k|   0  71.9 |2463  4646 |2.20 1.38 0.86|2.0   0  73|   0     0 |   0     0 |  9   34    0   13    2
Aug 01 18:03:21 ubuntu dstat.sh[91877]: 01-08 18:03:21| 45   6  49   1   0|1224M 1114M  189M 5214M| 216k  211k|   0   420k|   0  29.0 |2487  4454 |2.18 1.39 0.87|2.0   0  71|   0     0 |   0     0 |  9   34    0   13    2
Aug 01 18:03:22 ubuntu dstat.sh[91877]: 01-08 18:03:22| 47   4  49   0   0|1279M 1057M  189M 5215M|9509  1620 |   0   312k|   0  11.0 |1490  1756 |2.18 1.39 0.87|2.0   0 1.0|   0     0 |   0     0 |  9   34    0   13    2
Aug 01 18:03:23 ubuntu dstat.sh[91877]: 01-08 18:03:23| 39  14  47   0   0|1226M 1107M  190M 5218M| 214k  202k|   0  2945k|   0   133 |4111  6973 |2.18 1.39 0.87|3.0   0 234|   0     0 |   0     0 |  9   34    0   13    2
Aug 01 18:03:24 ubuntu dstat.sh[91877]: 01-08 18:03:24| 46  26  27   0   0|1268M 1067M  190M 5216M|6691  1621 |   0    44k|   0  11.0 |2856  6158 |2.18 1.39 0.87|6.0   0 783|   0     0 |   0     0 |  9   34    0   13    2
Aug 01 18:03:25 ubuntu dstat.sh[91877]: 01-08 18:03:25| 88  12   0   0   0|1396M  939M  190M 5216M|9502  5135 |   0  1972k|   0  22.0 |1969  2546 |2.18 1.39 0.87|6.0   0 157|   0     0 |   0     0 |  9   35    0   13    2
Aug 01 18:03:26 ubuntu dstat.sh[91877]: 01-08 18:03:26| 88  10   1   0   0|1485M  836M  190M 5228M| 993k  987k|   0  1800k|   0  78.0 |5030  9869 |2.49 1.47 0.89|5.0   0   0|   0     0 |   0     0 |  9   37    0   13    2
Aug 01 18:03:27 ubuntu dstat.sh[91877]: 01-08 18:03:27| 85  11   2   0   0|1467M  843M  190M 5238M|1146k 1140k|   0  2348k|   0   118 |5570    12k|2.49 1.47 0.89|7.0   0  38|   0     0 |   0     0 |  9   35    0   14    2
Aug 01 18:03:28 ubuntu dstat.sh[91877]: 01-08 18:03:28| 83  16   0   0   0|1364M  936M  191M 5245M| 463k  457k|   0  2515k|   0  82.6 |3803  7848 |2.49 1.47 0.89|8.0   0 223|   0     0 |   0     0 |  9   35    0   14    2
Aug 01 18:03:29 ubuntu dstat.sh[91877]: 01-08 18:03:29| 89  11   0   0   0|1417M  876M  191M 5251M| 707k  699k|   0  2091k|   0  99.5 |5268    10k|2.49 1.47 0.89|9.0   0  53|   0     0 |   0     0 |  9   34    0   14    2
Aug 01 18:03:30 ubuntu dstat.sh[91877]: 01-08 18:03:30| 87  12   0   0   0|1491M  783M  192M 5268M| 497k  492k|   0  4780k|   0  89.0 |4139  7338 |2.49 1.47 0.89|7.0   0  90|   0     0 |   0     0 |  9   35    0   14    2
Aug 01 18:03:31 ubuntu dstat.sh[91877]: 01-08 18:03:31| 86  12   1   0   0|1537M  732M  192M 5273M| 851k  844k|   0  1852k|   0  98.0 |6224    11k|2.93 1.58 0.93| 12 1.0  65|   0     0 |   0     0 |  9   36    0   13    2
Aug 01 18:03:32 ubuntu dstat.sh[91877]: 01-08 18:03:32| 85  13   2   0   0|1420M  846M  192M 5274M| 899k  894k|   0  1387k|   0  61.9 |6436    16k|2.93 1.58 0.93|6.0   0 150|   0     0 |   0     0 |  9   37    0   15    2
Aug 01 18:03:33 ubuntu dstat.sh[91877]: 01-08 18:03:33| 87  12   1   0   0|1474M  791M  192M 5275M| 833k  829k|   0   328k|   0  27.0 |4858    11k|2.93 1.58 0.93|7.0   0  32|   0     0 |   0     0 |  9   36    0   15    2
Aug 01 18:03:34 ubuntu dstat.sh[91877]: 01-08 18:03:34| 73  18   8   0   0|1347M  917M  193M 5276M|1097k 1089k|   0   964k|   0  72.0 |5943    16k|2.93 1.58 0.93|6.0   0 488|   0     0 |   0     0 |  9   37    0   13    2
Aug 01 18:03:35 ubuntu dstat.sh[91877]: 01-08 18:03:35| 87  12   1   0   0|1273M 1011M  193M 5258M| 322k  308k|   0  3625k|   0  71.0 |3474  6064 |2.93 1.58 0.93|6.0   0 181|   0     0 |   0     0 |  9   32    0   13    1
Aug 01 18:03:36 ubuntu dstat.sh[91877]: 01-08 18:03:36| 85  13   2   0   0|1417M  866M  193M 5258M| 695k  691k|   0   812k|   0  34.0 |5250  9500 |3.10 1.63 0.96|5.0   0  42|   0     0 |   0     0 |  9   35    0   13    1
Aug 01 18:03:37 ubuntu dstat.sh[91877]: 01-08 18:03:37| 86  11   2   0   0|1300M  983M  193M 5258M|1005k 1000k|   0   976k|   0  58.0 |5292    13k|3.10 1.63 0.96|5.0   0 109|   0     0 |   0     0 |  9   33    0   14    1
Aug 01 18:03:38 ubuntu dstat.sh[91877]: 01-08 18:03:38| 84  15   1   0   0|1336M  947M  193M 5258M| 239k  235k|   0  1476k|   0  17.0 |2597  5176 |3.10 1.63 0.96|6.0   0 235|   0     0 |   0     0 |  9   33    0   14    0
Aug 01 18:03:39 ubuntu dstat.sh[91877]: 01-08 18:03:39| 89  10   0   0   0|1437M  846M  193M 5258M| 783k  778k|   0   866k|   0  46.9 |4975    11k|3.10 1.63 0.96|7.0   0  12|   0     0 |   0     0 |  9   34    0   14    0
Aug 01 18:03:40 ubuntu dstat.sh[91877]: 01-08 18:03:40| 84  13   3   0   0|1339M  944M  193M 5259M| 832k  827k|   0  7566k|   0   358 |6137    41k|3.10 1.63 0.96|5.0   0 155|   0     0 |   0     0 |  9   32    0   14    0
Aug 01 18:03:41 ubuntu dstat.sh[91877]: 01-08 18:03:41| 87  12   1   0   0|1403M  879M  193M 5258M| 315k  309k|   0   352k|   0  18.0 |3206  6573 |3.33 1.71 0.98|6.0   0 203|   0     0 |   0     0 |  9   34    0   14    0
Aug 01 18:03:42 ubuntu dstat.sh[91877]: 01-08 18:03:42| 86  13   1   0   0|1412M  870M  193M 5259M| 903k  899k|   0   564k|   0  37.0 |5317    11k|3.33 1.71 0.98|7.0   0  31|   0     0 |   0     0 |  9   34    0   14    0
Aug 01 18:03:43 ubuntu dstat.sh[91877]: 01-08 18:03:43| 78  15   5   0   0|1229M 1053M  193M 5259M|1006k 1002k|   0  1049k|   0  80.1 |6556    15k|3.33 1.71 0.98|6.0   0 283|   0     0 |   0     0 |  9   33    0   14    0
Aug 01 18:03:44 ubuntu dstat.sh[91877]: 01-08 18:03:44| 86  12   2   0   0|1329M  953M  193M 5259M| 228k  222k|   0   312k|   0  16.0 |2452  4442 |3.33 1.71 0.98|5.0   0 129|   0     0 |   0     0 |  9   33    0   11    0
Aug 01 18:03:45 ubuntu dstat.sh[91877]: 01-08 18:03:45| 87  11   1   0   0|1353M  929M  193M 5259M| 872k  867k|   0   396k|   0  30.0 |4648    10k|3.33 1.71 0.98|6.0   0 6.0|   0     0 |   0     0 |  9   35    0   11    0
Aug 01 18:03:46 ubuntu dstat.sh[91877]: 01-08 18:03:46| 67  15  17   0   1|1224M 1057M  193M 5259M| 552k  546k|   0   789k|   0  55.0 |4944    11k|3.38 1.74 1.00|4.0   0 395|   0     0 |   0     0 |  9   32    0   12    0
Aug 01 18:03:47 ubuntu dstat.sh[91877]: 01-08 18:03:47| 84  12   3   0   0|1372M  910M  193M 5259M| 314k  307k|   0   264k|   0  24.0 |2709  4818 |3.38 1.74 1.00|4.0   0   0|   0     0 |   0     0 |  9   36    0   12    0
Aug 01 18:03:48 ubuntu dstat.sh[91877]: 01-08 18:03:48| 70  11  19   0   0|1243M 1039M  193M 5260M|1082k 1077k|   0   764k|   0  79.0 |6044    15k|3.38 1.74 1.00|4.0   0 117|   0     0 |   0     0 |  9   33    0   18    0
Aug 01 18:03:49 ubuntu dstat.sh[91877]: 01-08 18:03:49| 71  12  17   0   0|1302M  979M  193M 5260M| 255k  249k|   0   280k|   0  20.0 |2399  4256 |3.38 1.74 1.00|3.0   0  71|   0     0 |   0     0 |  9   33    0   18    0
Aug 01 18:03:50 ubuntu dstat.sh[91877]: 01-08 18:03:50| 52  15  32   1   0|1151M 1130M  193M 5260M| 727k  712k|   0   736k|   0  61.0 |4681    11k|3.38 1.74 1.00|4.0   0 317|   0     0 |   0     0 |  9   32    0   19    0
Aug 01 18:03:51 ubuntu dstat.sh[91877]: 01-08 18:03:51| 85  15   0   0   0|1317M  964M  193M 5260M|8147  1620 |   0  5360k|   0   105 |2097  2990 |3.59 1.81 1.03|6.0   0 259|   0     0 |   0     0 |  9   32    0   19    0
Aug 01 18:03:52 ubuntu dstat.sh[91877]: 01-08 18:03:52| 87  12   1   0   0|1440M  840M  193M 5260M| 876k  870k|   0  1245k|   0  89.0 |5179    11k|3.59 1.81 1.03|6.0   0 163|   0     0 |   0     0 |  9   36    0   19    0
Aug 01 18:03:53 ubuntu dstat.sh[91877]: 01-08 18:03:53| 83  15   2   0   0|1375M  905M  193M 5260M|1280k 1274k|   0   640k|   0  41.0 |6267    16k|3.59 1.81 1.03|8.0   0 233|   0     0 |   0     0 |  9   34    0   19    0
Aug 01 18:03:54 ubuntu dstat.sh[91877]: 01-08 18:03:54| 89  10   0   0   0|1282M  998M  193M 5261M|1020k 1014k|   0   404k|   0  27.0 |2582    13k|3.59 1.81 1.03|6.0   0 164|   0     0 |   0     0 |  9   32    0   19    0
Aug 01 18:03:55 ubuntu dstat.sh[91877]: 01-08 18:03:55| 86  13   0   0   0|1371M  909M  193M 5261M| 329k  325k|   0   180k|   0  9.00 |2241  5570 |3.59 1.81 1.03|7.0   0 119|   0     0 |   0     0 |  9   34    0   20    0
Aug 01 18:03:56 ubuntu dstat.sh[91877]: 01-08 18:03:56| 81  13   4   0   0|1325M  954M  193M 5261M|1146k 1142k|   0  1949k|   0   103 |6873    17k|3.70 1.87 1.05| 10 3.0 198|   0     0 |   0     0 |  9   34    0   21    0
Aug 01 18:03:57 ubuntu dstat.sh[91877]: 01-08 18:03:57| 85  14   1   0   0|1256M 1023M  193M 5261M| 606k  602k|   0   781k|   0  66.1 |3702  9458 |3.70 1.87 1.05|7.0   0 232|   0     0 |   0     0 |  9   32    0   21    0
Aug 01 18:03:58 ubuntu dstat.sh[91877]: 01-08 18:03:58| 87  12   0   0   0|1386M  893M  193M 5262M| 675k  669k|   0   531k|   0  30.0 |3075  9313 |3.70 1.87 1.05| 10   0 102|   0     0 |   0     0 |  9   34    0   21    0
Aug 01 18:03:59 ubuntu dstat.sh[91877]: 01-08 18:03:59| 78  15   6   0   0|1311M  967M  193M 5262M|1306k 1299k|   0   801k|   0  50.1 |6481    18k|3.70 1.87 1.05|4.0   0 318|   0     0 |   0     0 |  9   35    0   21    0
Aug 01 18:04:00 ubuntu dstat.sh[91877]: 01-08 18:04:00| 45  20  34   0   0|1131M 1147M  193M 5262M| 844k  840k|   0   707k|   0  40.9 |6310    13k|3.70 1.87 1.05|1.0   0 476|   0     0 |   0     0 |  9   32    0   22    0
Aug 01 18:04:01 ubuntu dstat.sh[91877]: 01-08 18:04:01| 24  29  45   0   0|1168M 1110M  193M 5262M|  14k 1622 |   0    54M|   0   193 |3096  5548 |3.73 1.90 1.06|4.0   0 684|   0     0 |   0     0 |  9   32    0   22    0
Aug 01 18:04:02 ubuntu dstat.sh[91877]: 01-08 18:04:02| 81  19   0   0   0|1323M  955M  193M 5262M| 160k  153k|   0  1149k|   0  66.0 |2851  5819 |3.73 1.90 1.06|6.0   0 429|   0     0 |   0     0 |  9   33    0   23    0
Aug 01 18:04:03 ubuntu dstat.sh[91877]: 01-08 18:04:03| 82  14   3   0   0|1249M 1028M  193M 5262M| 805k  801k|   0   776k|   0  79.0 |6412    14k|3.73 1.90 1.06|5.0   0 169|   0     0 |   0     0 |  9   33    0   24    0
Aug 01 18:04:04 ubuntu dstat.sh[91877]: 01-08 18:04:04| 79  17   2   0   0|1334M  944M  193M 5262M| 442k  438k|   0   556k|   0  45.0 |5000  9599 |3.73 1.90 1.06|5.0   0 307|   0     0 |   0     0 |  9   32    0   23    0
Aug 01 18:04:05 ubuntu dstat.sh[91877]: 01-08 18:04:05| 86  12   2   0   0|1384M  893M  193M 5263M|1023k 1015k|   0   483k|   0  41.9 |5286    13k|3.73 1.90 1.06|5.0   0  70|   0     0 |   0     0 |  9   35    0   23    0
Aug 01 18:04:06 ubuntu dstat.sh[91877]: 01-08 18:04:06| 70   9  19   1   0|1435M  842M  193M 5263M|1326k 1321k|   0  4596k|   0  63.1 |5773    16k|3.59 1.91 1.07|2.0   0   0|   0     0 |   0     0 |  9   37    0   24    0
Aug 01 18:04:07 ubuntu dstat.sh[91877]: 01-08 18:04:07| 66   8  24   0   0|1409M  867M  193M 5264M|1201k 1197k|   0   484k|   0  44.0 |6835    16k|3.59 1.91 1.07|3.0   0  19|   0     0 |   0     0 |  9   36    0   30    0
Aug 01 18:04:08 ubuntu dstat.sh[91877]: 01-08 18:04:08| 85  13   2   0   0|1318M  958M  193M 5264M| 892k  887k|   0   559k|   0  48.9 |3755    12k|3.59 1.91 1.07|5.0   0 149|   0     0 |   0     0 |  9   34    0   28    0
Aug 01 18:04:09 ubuntu dstat.sh[91877]: 01-08 18:04:09| 90   9   0   0   0|1380M  895M  193M 5265M| 713k  709k|   0   224k|   0  21.0 |3113  9969 |3.59 1.91 1.07|5.0   0  19|   0     0 |   0     0 |  9   33    0   29    0
Aug 01 18:04:10 ubuntu dstat.sh[91877]: 01-08 18:04:10| 83  11   6   0   0|1400M  873M  193M 5267M|1503k 1500k|   0   668k|   0  68.0 |5572    18k|3.59 1.91 1.07|3.0   0  51|   0     0 |   0     0 |  9   36    0   32    0
Aug 01 18:04:11 ubuntu dstat.sh[91877]: 01-08 18:04:11| 63  10  26   0   0|1433M  840M  193M 5267M|1398k 1393k|   0  3866k|   0   122 |9029    17k|3.46 1.91 1.08|2.0   0   0|   0     0 |   0     0 |  9   37    0   34    0
Aug 01 18:04:12 ubuntu dstat.sh[91877]: 01-08 18:04:12| 72   9  17   0   0|1307M  965M  193M 5268M|1004k  997k|   0   604k|   0  66.0 |6806    14k|3.46 1.91 1.08|6.0   0 102|   0     0 |   0     0 |  9   34    0   37    0
Aug 01 18:04:13 ubuntu dstat.sh[91877]: 01-08 18:04:13| 85  12   2   0   0|1356M  916M  193M 5268M| 999k  993k|   0   608k|   0  64.0 |5271    13k|3.46 1.91 1.08|6.0   0  69|   0     0 |   0     0 |  9   34    0   37    0
Aug 01 18:04:14 ubuntu dstat.sh[91877]: 01-08 18:04:14| 81  12   7   0   0|1356M  915M  193M 5268M|1119k 1106k|   0   468k|   0  39.0 |5279    16k|3.46 1.91 1.08|7.0   0  27|   0     0 |   0     0 |  9   35    0   38    0
