-- Logs begin at Wed 2022-09-28 10:53:02 UTC, end at Wed 2022-09-28 12:50:21 UTC. --
Sep 28 12:10:56 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Sep 28 12:10:56 ubuntu dstat.sh[72705]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Sep 28 12:10:56 ubuntu dstat.sh[72705]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Sep 28 12:11:09 ubuntu dstat.sh[72705]: 28-09 12:11:09|  9   3  65  22   0|1070M 1398M  189M 5098M|  72k   11k|   0  6323k|   0   580 |4794  8643 |1.48 0.98 0.62|1.0   0 3.0|   0     0 |   0     0 |  9    8    0   10    2
Sep 28 12:11:10 ubuntu dstat.sh[72705]: 28-09 12:11:10| 27   8  57   8   0| 980M 1486M  189M 5101M|  86k 8552 |   0  2983k|   0   258 |3518  5660 |1.48 0.98 0.62|1.0   0  91|   0     0 |   0     0 |  9    6    0   10    2
Sep 28 12:11:11 ubuntu dstat.sh[72705]: 28-09 12:11:11| 24   4  69   1   0|1033M 1432M  189M 5101M| 214k   10k|   0  1288k|   0  22.0 |1372  1382 |1.44 0.98 0.62|1.0   0 2.0|   0     0 |   0     0 |  9    6    0   10    2
Sep 28 12:11:12 ubuntu dstat.sh[72705]: 28-09 12:11:12| 27   2  66   3   0|1069M 1394M  189M 5103M| 979k   26k|   0    10M|   0   400 |3278  3500 |1.44 0.98 0.62|2.0   0 1.0|   0     0 |   0     0 |  9    6    0   10    2
Sep 28 12:11:13 ubuntu dstat.sh[72705]: 28-09 12:11:13| 35   6  58   2   0| 999M 1459M  189M 5107M|  15k 3459 |   0  7922k|   0   422 |2457  3168 |1.44 0.98 0.62|1.0   0  13|   0     0 |   0     0 |  9    6    0   10    2
Sep 28 12:11:14 ubuntu dstat.sh[72705]: 28-09 12:11:14| 25   5  66   4   0|1057M 1400M  190M 5107M| 395k   13k|   0  7800k|   0   413 |2560  3124 |1.44 0.98 0.62|1.0   0 1.0|   0     0 |   0     0 |  9    6    0   10    2
Sep 28 12:11:15 ubuntu dstat.sh[72705]: 28-09 12:11:15| 28   2  66   2   0|1073M 1383M  190M 5109M| 627k   18k|   0  8450k|   0   400 |2956  3387 |1.44 0.98 0.62|1.0   0 1.0|   0     0 |   0     0 |  9    6    0   10    2
Sep 28 12:11:16 ubuntu dstat.sh[72705]: 28-09 12:11:16| 16  15  68   1   0| 981M 1474M  190M 5109M|  52k 5927 |   0   868k|   0  39.0 |2674  4090 |1.49 1.00 0.63|2.0   0 309|   0     0 |   0     0 |  9    6    0   10    2
Sep 28 12:11:17 ubuntu dstat.sh[72705]: 28-09 12:11:17| 15  19  64   1   1| 981M 1473M  190M 5109M|  74k 6689 |   0   868k|   0  28.0 |2758  4347 |1.49 1.00 0.63|1.0   0 361|   0     0 |   0     0 |  9    6    0   10    2
Sep 28 12:11:18 ubuntu dstat.sh[72705]: 28-09 12:11:18| 32  15  49   2   0|1021M 1434M  190M 5110M|  83k 6301 | 196k 6990k|3.00   356 |4683  9349 |1.49 1.00 0.63|3.0   0 150|   0     0 |   0     0 |  9    6    0   10    2
Sep 28 12:11:19 ubuntu dstat.sh[72705]: 28-09 12:11:19| 50   8  41   1   0|1118M 1336M  190M 5111M| 226k 9663 | 128k  876k|1.00  10.0 |1975  2386 |1.49 1.00 0.63|2.0   0  75|   0     0 |   0     0 |  9    7    0   10    2
Sep 28 12:11:20 ubuntu dstat.sh[72705]: 28-09 12:11:20| 57   5  37   2   0|1179M 1273M  190M 5112M|  21k 2900 | 372k  484k|8.00  7.00 |1448  1520 |1.49 1.00 0.63|5.0   0 2.0|   0     0 |   0     0 |  9    7    0   10    2
Sep 28 12:11:21 ubuntu dstat.sh[72705]: 28-09 12:11:21| 53   5  43   0   0|1207M 1244M  190M 5113M|  38k 5152 |   0   652k|   0  7.00 |1756  4379 |1.53 1.02 0.64|2.0   0   0|   0     0 |   0     0 |  9    7    0   10    2
Sep 28 12:11:22 ubuntu dstat.sh[72705]: 28-09 12:11:22| 45  15  39   0   0|1263M 1180M  191M 5118M|  20k 2681 |   0   536k|   0  15.0 |3121  5592 |1.53 1.02 0.64|4.0   0 145|   0     0 |   0     0 |  9    6    0   11    2
Sep 28 12:11:23 ubuntu dstat.sh[72705]: 28-09 12:11:23| 46   5  49   0   0|1301M 1144M  191M 5117M|8006  1619 |   0  6000k|   0  26.0 |1480  1676 |1.53 1.02 0.64|3.0   0 2.0|   0     0 |   0     0 |  9    6    0   11    2
Sep 28 12:11:24 ubuntu dstat.sh[72705]: 28-09 12:11:24| 37   6  49   7   0|1317M 1107M  191M 5135M|  14k 6805 |   0  3321k|   0  91.1 |1511  1756 |1.53 1.02 0.64|2.0 1.0 1.0|   0     0 |   0     0 |  9    8    0   11    2
Sep 28 12:11:25 ubuntu dstat.sh[72705]: 28-09 12:11:25| 36   9  47   7   0|1222M 1194M  192M 5142M|  68k   60k|   0  5051k|   0   330 |3787  6117 |1.53 1.02 0.64|2.0   0  43|   0     0 |   0     0 |  9    6    0   13    2
Sep 28 12:11:26 ubuntu dstat.sh[72705]: 28-09 12:11:26| 36   7  49   9   0|1265M 1140M  193M 5150M|8317  1620 |  36k 3545k|3.00  96.0 |1588  1776 |1.57 1.03 0.64|2.0   0 3.0|   0     0 |   0     0 |  9    6    0   13    2
Sep 28 12:11:27 ubuntu dstat.sh[72705]: 28-09 12:11:27| 36   6  50   8   0|1284M 1098M  193M 5171M|  86k   78k| 168k 2332k|38.0  60.0 |2026  2748 |1.57 1.03 0.64|2.0 1.0 2.0|   0     0 |   0     0 |  9   18    0   13    2
Sep 28 12:11:28 ubuntu dstat.sh[72705]: 28-09 12:11:28| 34   7  53   5   0|1253M 1121M  194M 5177M|  55k   48k|  76k 8589k|19.0   260 |2096  2483 |1.57 1.03 0.64|1.0   0  49|   0     0 |   0     0 |  9   32    1   11    2
Sep 28 12:11:29 ubuntu dstat.sh[72705]: 28-09 12:11:29| 23   3  74   0   0|1292M 1082M  194M 5177M|  33k   24k|   0     0 |   0     0 |1006  1373 |1.57 1.03 0.64|2.0   0   0|   0     0 |   0     0 |  9   33    0   12    2
Sep 28 12:11:30 ubuntu dstat.sh[72705]: 28-09 12:11:30| 36  14  49   0   0|1207M 1187M  194M 5158M|  50k   41k|   0   840k|   0  19.0 |2019  2852 |1.57 1.03 0.64|3.0   0 206|   0     0 |   0     0 |  9   30    0   10    0
Sep 28 12:11:31 ubuntu dstat.sh[72705]: 28-09 12:11:31| 65  11  24   0   0|1340M 1054M  194M 5158M|  17k   11k|   0  1005k|   0  5.01 |3611  5765 |1.68 1.07 0.66|4.0   0  11|   0     0 |   0     0 |  9   31    0   10    0
Sep 28 12:11:32 ubuntu dstat.sh[72705]: 28-09 12:11:32| 67   9  23   1   0|1332M 1061M  194M 5158M| 729k  723k|   0  1947k|   0  24.0 |8276    17k|1.68 1.07 0.66|3.0   0  10|   0     0 |   0     0 |  9   36    0   11    0
Sep 28 12:11:33 ubuntu dstat.sh[72705]: 28-09 12:11:33| 71  20   8   0   0|1323M 1071M  194M 5158M|  67k   51k|   0   236k|   0  23.0 |9096    18k|1.68 1.07 0.66|6.0   0 377|   0     0 |   0     0 |  9   34    0   11    0
Sep 28 12:11:34 ubuntu dstat.sh[72705]: 28-09 12:11:34| 85  14   0   0   0|1432M  961M  194M 5159M| 236k  230k|   0  2020k|   0  38.0 |2602  5364 |1.68 1.07 0.66|9.0   0 169|   0     0 |   0     0 |  9   35    0   11    0
Sep 28 12:11:35 ubuntu dstat.sh[72705]: 28-09 12:11:35| 86  13   1   0   0|1420M  973M  194M 5159M| 666k  658k|   0  5104k|   0   268 |5417    11k|1.68 1.07 0.66|7.0   0  59|   0     0 |   0     0 |  9   34    0   13    0
Sep 28 12:11:36 ubuntu dstat.sh[72705]: 28-09 12:11:36| 85  13   0   0   0|1354M 1039M  194M 5159M| 223k  217k|   0  1136k|   0  39.0 |3169  5798 |2.11 1.16 0.69|4.0   0 206|   0     0 |   0     0 |  9   35    0   13    0
Sep 28 12:11:37 ubuntu dstat.sh[72705]: 28-09 12:11:37| 71  11  16   0   0|1255M 1138M  194M 5159M| 260k  255k|   0   780k|   0  50.0 |3404  6479 |2.11 1.16 0.69|3.0   0 149|   0     0 |   0     0 |  9   34    0   13    0
Sep 28 12:11:38 ubuntu dstat.sh[72705]: 28-09 12:11:38| 45   7  47   0   0|1226M 1167M  194M 5159M| 436k  428k|   0  4608k|   0  88.9 |3133  6270 |2.11 1.16 0.69|3.0   0  73|   0     0 |   0     0 |  9   34    0   13    0
Sep 28 12:11:39 ubuntu dstat.sh[72705]: 28-09 12:11:39| 21   7  72   0   0|1178M 1214M  194M 5159M| 160k  153k|   0   312k|   0  25.0 |2375  4058 |2.11 1.16 0.69|1.0   0  83|   0     0 |   0     0 |  9   34    0   13    0
Sep 28 12:11:40 ubuntu dstat.sh[72705]: 28-09 12:11:40| 23   3  74   0   0|1214M 1178M  194M 5159M|  21k 1620 |   0   360k|   0  9.00 |1063  1180 |2.11 1.16 0.69|1.0   0   0|   0     0 |   0     0 |  9   34    0   13    0
Sep 28 12:11:41 ubuntu dstat.sh[72705]: 28-09 12:11:41| 23   3  72   0   0|1226M 1167M  194M 5159M| 219k  207k|   0   996k|   0  73.0 |1959  4005 |2.02 1.16 0.69|1.0   0   0|   0     0 |   0     0 |  9   34    0   13    0
Sep 28 12:11:42 ubuntu dstat.sh[72705]: 28-09 12:11:42| 12  18  70   0   0|1157M 1235M  194M 5159M|  12k 1620 |   0   196k|   0  8.00 |2502  3465 |2.02 1.16 0.69|1.0   0 338|   0     0 |   0     0 |  9   34    0   13    0
Sep 28 12:11:43 ubuntu dstat.sh[72705]: 28-09 12:11:43| 33  25  41   0   0|1218M 1174M  194M 5159M|  10k 1460 |   0  2043k|   0  31.0 |2809  5550 |2.02 1.16 0.69|5.0   0 782|   0     0 |   0     0 |  9   34    0   13    0
Sep 28 12:11:44 ubuntu dstat.sh[72705]: 28-09 12:11:44| 88  12   0   0   0|1404M  989M  194M 5159M|  18k 1620 |   0  1220k|   0  40.0 |1857  2215 |2.02 1.16 0.69|5.0   0  89|   0     0 |   0     0 |  9   34    0   13    0
Sep 28 12:11:45 ubuntu dstat.sh[72705]: 28-09 12:11:45| 83   8   7   0   0|1498M  894M  194M 5159M| 878k  871k|   0   928k|   0  42.0 |5824    12k|2.02 1.16 0.69|3.0   0   0|   0     0 |   0     0 |  9   38    0   14    0
Sep 28 12:11:46 ubuntu dstat.sh[72705]: 28-09 12:11:46| 61   7  30   0   0|1453M  938M  194M 5160M|1135k 1129k|   0   460k|   0  44.0 |6168    14k|2.42 1.26 0.73|5.0   0  21|   0     0 |   0     0 |  9   37    0   17    0
Sep 28 12:11:47 ubuntu dstat.sh[72705]: 28-09 12:11:47| 83  14   2   0   0|1302M 1090M  194M 5160M| 482k  473k|   0   808k|   0  32.0 |3713  7941 |2.42 1.26 0.73|7.0   0 267|   0     0 |   0     0 |  9   34    0   17    0
Sep 28 12:11:48 ubuntu dstat.sh[72705]: 28-09 12:11:48| 89  11   0   0   0|1480M  912M  194M 5160M| 365k  358k|   0  7880k|   0   447 |3885  5350 |2.42 1.26 0.73|6.0   0  24|   0     0 |   0     0 |  9   36    0   17    0
Sep 28 12:11:49 ubuntu dstat.sh[72705]: 28-09 12:11:49| 82  16   1   0   0|1537M  854M  194M 5160M| 749k  742k|   0   716k|   0  42.0 |5374    16k|2.42 1.26 0.73|5.0   0  84|   0     0 |   0     0 |  9   38    0   17    0
Sep 28 12:11:50 ubuntu dstat.sh[72705]: 28-09 12:11:50| 84  12   4   0   0|1440M  952M  194M 5160M|1290k 1285k|   0  1377k|   0  92.1 |6955    16k|2.42 1.26 0.73|7.0   0  79|   0     0 |   0     0 |  9   36    0   20    0
Sep 28 12:11:51 ubuntu dstat.sh[72705]: 28-09 12:11:51| 87  13   1   0   0|1403M  988M  194M 5160M| 292k  284k|   0  1412k|   0  39.0 |3117  5680 |2.79 1.35 0.76|6.0   0 163|   0     0 |   0     0 |  9   35    0   19    0
Sep 28 12:11:52 ubuntu dstat.sh[72705]: 28-09 12:11:52| 87  11   1   0   0|1462M  929M  194M 5161M| 836k  815k|   0   964k|   0  29.0 |6053    11k|2.79 1.35 0.76|6.0   0  48|   0     0 |   0     0 |  9   37    0   19    0
Sep 28 12:11:53 ubuntu dstat.sh[72705]: 28-09 12:11:53| 72  12  16   0   0|1435M  955M  194M 5162M|1239k 1229k|   0  2929k|   0  58.9 |8021    17k|2.79 1.35 0.76|4.0   0  58|   0     0 |   0     0 |  9   37    0   18    0
Sep 28 12:11:54 ubuntu dstat.sh[72705]: 28-09 12:11:54| 61  20  19   0   0|1199M 1190M  194M 5162M| 661k  652k|   0   753k|   0  70.1 |5165    12k|2.79 1.35 0.76|5.0   0 407|   0     0 |   0     0 |  9   34    0   19    0
Sep 28 12:11:55 ubuntu dstat.sh[72705]: 28-09 12:11:55| 81  18   2   0   0|1374M 1015M  194M 5162M| 125k  119k|   0   488k|   0  14.0 |2407  3869 |2.79 1.35 0.76|4.0   0 241|   0     0 |   0     0 |  9   35    0   19    0
Sep 28 12:11:56 ubuntu dstat.sh[72705]: 28-09 12:11:56| 74  10  14   0   0|1368M 1021M  194M 5162M|1166k 1157k|   0   867k|   0  43.9 |6283    15k|2.88 1.40 0.78|2.0   0  74|   0     0 |   0     0 |  9   37    0   22    0
Sep 28 12:11:57 ubuntu dstat.sh[72705]: 28-09 12:11:57| 63  16  19   1   0|1238M 1150M  194M 5162M| 654k  646k|   0   537k|   0  50.1 |5018    11k|2.88 1.40 0.78|4.0   0 279|   0     0 |   0     0 |  9   34    0   23    0
Sep 28 12:11:58 ubuntu dstat.sh[72705]: 28-09 12:11:58| 87  11   2   0   0|1409M  980M  194M 5162M| 152k  145k|   0  4385k|   0  34.0 |2047  2591 |2.88 1.40 0.78|6.0   0 1.0|   0     0 |   0     0 |  9   35    0   23    0
Sep 28 12:11:59 ubuntu dstat.sh[72705]: 28-09 12:11:59| 68  12  19   0   0|1369M 1019M  194M 5163M|1068k 1061k|   0    58M|   0   241 |5910    14k|2.88 1.40 0.78|5.0   0 138|   0     0 |   0     0 |  9   36    0   23    0
Sep 28 12:12:00 ubuntu dstat.sh[72705]: 28-09 12:12:00| 83  16   1   0   0|1336M 1053M  194M 5163M| 393k  386k|   0   444k|   0  32.0 |3176  6933 |2.88 1.40 0.78|5.0   0 220|   0     0 |   0     0 |  9   34    0   23    0
Sep 28 12:12:01 ubuntu dstat.sh[72705]: 28-09 12:12:01| 88  11   1   0   0|1486M  902M  194M 5163M| 406k  400k|   0   652k|   0  21.0 |2930  5801 |3.05 1.46 0.80|6.0   0 1.0|   0     0 |   0     0 |  9   37    0   23    0
Sep 28 12:12:02 ubuntu dstat.sh[72705]: 28-09 12:12:02| 77  12   9   0   0|1380M 1008M  194M 5163M|1515k 1507k|   0  1808k|   0   128 |5740    20k|3.05 1.46 0.80|6.0   0 245|   0     0 |   0     0 |  9   36    0   24    0
Sep 28 12:12:03 ubuntu dstat.sh[72705]: 28-09 12:12:03| 87  11   2   0   0|1336M 1052M  194M 5163M| 444k  436k|   0   596k|   0  30.0 |4060  7332 |3.05 1.46 0.80|5.0   0 158|   0     0 |   0     0 |  9   34    0   22    0
Sep 28 12:12:04 ubuntu dstat.sh[72705]: 28-09 12:12:04| 84  11   5   0   0|1303M 1085M  194M 5163M| 775k  768k|   0   652k|   0  39.0 |4323    10k|3.05 1.46 0.80|4.0   0  53|   0     0 |   0     0 |  9   35    0   23    0
Sep 28 12:12:05 ubuntu dstat.sh[72705]: 28-09 12:12:05| 80  16   3   0   0|1368M 1020M  194M 5163M| 796k  789k|   0  1068k|   0  50.0 |6001    13k|3.05 1.46 0.80|5.0   0 274|   0     0 |   0     0 |  9   34    0   23    0
Sep 28 12:12:06 ubuntu dstat.sh[72705]: 28-09 12:12:06| 87  11   1   0   0|1428M  959M  194M 5164M| 517k  511k|   0   680k|   0  21.0 |3505  7215 |3.21 1.52 0.82|6.0 1.0  74|   0     0 |   0     0 |  9   36    0   25    0
Sep 28 12:12:07 ubuntu dstat.sh[72705]: 28-09 12:12:07| 79  14   7   0   0|1330M 1056M  194M 5164M| 920k  906k|   0  1132k|   0  68.0 |5422    14k|3.21 1.52 0.82|6.0   0 117|   0     0 |   0     0 |  9   35    0   25    0
Sep 28 12:12:08 ubuntu dstat.sh[72705]: 28-09 12:12:08| 73   9  17   0   0|1366M 1020M  194M 5164M| 194k  188k|   0   639k|   0  11.0 |2387  3843 |3.21 1.52 0.82|4.0   0  72|   0     0 |   0     0 |  9   36    0   25    0
Sep 28 12:12:09 ubuntu dstat.sh[72705]: 28-09 12:12:09| 60  18  21   0   0|1260M 1126M  194M 5164M| 776k  770k|   0  5753k|   0   142 |6069    14k|3.21 1.52 0.82|5.0   0 347|   0     0 |   0     0 |  9   34    0   26    0
Sep 28 12:12:10 ubuntu dstat.sh[72705]: 28-09 12:12:10| 82  18   0   0   0|1369M 1017M  194M 5164M|9654  1620 |   0   420k|   0  14.0 |2068  3014 |3.21 1.52 0.82|7.0   0 250|   0     0 |   0     0 |  9   34    0   26    0
Sep 28 12:12:11 ubuntu dstat.sh[72705]: 28-09 12:12:11| 85  14   1   0   0|1498M  888M  194M 5164M| 721k  714k|   0  1288k|   0  35.0 |3703  9997 |3.43 1.59 0.85|7.0   0 184|   0     0 |   0     0 |  9   38    0   26    0
Sep 28 12:12:12 ubuntu dstat.sh[72705]: 28-09 12:12:12| 86  13   1   0   1|1363M 1023M  194M 5165M|1380k 1372k|   0  1196k|   0  47.0 |4212    18k|3.43 1.59 0.85|8.0   0 161|   0     0 |   0     0 |  9   35    0   27    0
Sep 28 12:12:13 ubuntu dstat.sh[72705]: 28-09 12:12:13| 85  14   1   0   0|1422M  964M  194M 5165M| 762k  755k|   0  1308k|   0  32.0 |4488    11k|3.43 1.59 0.85|7.0   0 196|   0     0 |   0     0 |  9   35    0   27    0
Sep 28 12:12:14 ubuntu dstat.sh[72705]: 28-09 12:12:14| 85  14   1   0   0|1418M  968M  194M 5165M| 685k  678k|   0   946k|   0  32.9 |4490  9116 |3.43 1.59 0.85|7.0   0 164|   0     0 |   0     0 |  9   37    0   27    0
Sep 28 12:12:15 ubuntu dstat.sh[72705]: 28-09 12:12:15| 83  14   2   0   0|1379M 1006M  194M 5165M|1010k 1004k|   0  1431k|   0  74.1 |5870    15k|3.43 1.59 0.85|7.0   0 206|   0     0 |   0     0 |  9   34    0   27    0
Sep 28 12:12:16 ubuntu dstat.sh[72705]: 28-09 12:12:16| 85  14   1   0   0|1425M  960M  194M 5165M| 725k  719k|   0  1720k|   0  56.0 |5723    11k|3.88 1.72 0.90|7.0   0 157|   0     0 |   0     0 |  9   35    0   27    0
Sep 28 12:12:17 ubuntu dstat.sh[72705]: 28-09 12:12:17| 83  14   1   0   0|1437M  948M  195M 5166M| 601k  596k|   0  1324k|   0  51.0 |5084  9903 |3.88 1.72 0.90|7.0   0 190|   0     0 |   0     0 |  9   37    0   28    0
Sep 28 12:12:18 ubuntu dstat.sh[72705]: 28-09 12:12:18| 83  13   3   0   0|1365M 1019M  195M 5166M| 956k  945k|   0  1016k|   0  41.0 |5348    13k|3.88 1.72 0.90|8.0   0 201|   0     0 |   0     0 |  9   35    0   28    0
Sep 28 12:12:19 ubuntu dstat.sh[72705]: 28-09 12:12:19| 61  17  21   0   0|1298M 1086M  195M 5166M|1293k 1286k|   0  2684k|   0   149 |5414    17k|3.88 1.72 0.90|2.0   0 441|   0     0 |   0     0 |  9   35    0   28    0
Sep 28 12:12:20 ubuntu dstat.sh[72705]: 28-09 12:12:20| 21  20  58   0   0|1163M 1221M  195M 5166M|  94k   84k|   0   256k|   0  14.0 |2976  5061 |3.88 1.72 0.90|2.0   0 398|   0     0 |   0     0 |  9   34    0   28    0
Sep 28 12:12:21 ubuntu dstat.sh[72705]: 28-09 12:12:21| 53  31  15   0   1|1278M 1106M  195M 5166M|  10k 1621 |   0   328k|   0  20.0 |2560  6160 |3.73 1.72 0.90|7.0   0 821|   0     0 |   0     0 |  9   34    0   28    0
Sep 28 12:12:22 ubuntu dstat.sh[72705]: 28-09 12:12:22| 86  13   0   0   0|1439M  945M  195M 5166M| 389k  380k|   0  1812k|   0  68.0 |3183  7235 |3.73 1.72 0.90|6.0   0 173|   0     0 |   0     0 |  9   36    0   29    0
Sep 28 12:12:23 ubuntu dstat.sh[72705]: 28-09 12:12:23| 81  15   4   0   0|1334M 1050M  195M 5167M| 712k  705k|   0  1324k|   0  79.0 |5457    13k|3.73 1.72 0.90|5.0   0 323|   0     0 |   0     0 |  9   35    0   29    0
Sep 28 12:12:24 ubuntu dstat.sh[72705]: 28-09 12:12:24| 86  12   1   0   0|1339M 1044M  195M 5167M| 385k  377k|  28k 1544k|2.00  36.0 |3524  7166 |3.73 1.72 0.90|5.0   0 136|   0     0 |   0     0 |  9   34    0   28    0
Sep 28 12:12:25 ubuntu dstat.sh[72705]: 28-09 12:12:25| 87  11   2   0   0|1470M  914M  195M 5167M| 884k  878k|   0  1138k|   0  31.9 |4240    12k|3.73 1.72 0.90|4.0   0  46|   0     0 |   0     0 |  9   37    0   28    0
Sep 28 12:12:26 ubuntu dstat.sh[72705]: 28-09 12:12:26| 72   8  19   0   0|1509M  873M  195M 5168M|1391k 1382k|   0   605k|   0  48.1 |6490    18k|3.75 1.76 0.92|2.0   0 2.0|   0     0 |   0     0 |  9   39    0   28    0
Sep 28 12:12:27 ubuntu dstat.sh[72705]: 28-09 12:12:27| 64   8  28   1   0|1471M  911M  195M 5168M|1102k 1094k|   0   676k|   0  50.0 |7177    15k|3.75 1.76 0.92|5.0   0  19|   0     0 |   0     0 |  9   37    0   30    0
Sep 28 12:12:28 ubuntu dstat.sh[72705]: 28-09 12:12:28| 81  15   3   0   0|1364M 1019M  195M 5168M| 778k  771k|   0   976k|   0  36.0 |4950    12k|3.75 1.76 0.92|6.0   0 146|   0     0 |   0     0 |  9   35    0   30    0
Sep 28 12:12:29 ubuntu dstat.sh[72705]: 28-09 12:12:29| 89  11   0   0   0|1419M  963M  195M 5168M| 543k  526k|   0  2880k|   0  30.0 |4473  7631 |3.75 1.76 0.92|7.0   0  19|   0     0 |   0     0 |  9   36    0   31    0
Sep 28 12:12:30 ubuntu dstat.sh[72705]: 28-09 12:12:30| 85   9   5   0   1|1498M  882M  195M 5171M|1031k 1025k|   0   786k|   0  37.1 |5451    14k|3.75 1.76 0.92|4.0   0 1.0|   0     0 |   0     0 |  9   38    0   31    0
Sep 28 12:12:31 ubuntu dstat.sh[72705]: 28-09 12:12:31| 57   8  34   0   0|1441M  938M  195M 5171M|1362k 1352k|   0   617k|   0  63.7 |6736    15k|3.61 1.76 0.93|5.0   0  15|   0     0 |   0     0 |  9   38    0   33    0
Sep 28 12:12:32 ubuntu dstat.sh[72705]: 28-09 12:12:32| 75  11  14   0   0|1436M  942M  195M 5172M|1375k 1368k|   0   968k|   0  46.2 |7788    18k|3.61 1.76 0.93|9.0   0  55|   0     0 |   0     0 |  9   37    0   35    0
Sep 28 12:12:33 ubuntu dstat.sh[72705]: 28-09 12:12:33| 85  12   2   0   0|1341M 1037M  195M 5172M| 778k  772k|   0  1220k|   0  69.0 |5573    14k|3.61 1.76 0.93|5.0   0 151|   0     0 |   0     0 |  9   35    0   35    0
