-- Logs begin at Tue 2022-08-09 12:34:44 UTC, end at Tue 2022-08-09 14:05:56 UTC. --
Aug 09 13:49:50 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Aug 09 13:49:50 ubuntu dstat.sh[491]: [286B blob data]
Aug 09 13:49:50 ubuntu dstat.sh[491]:      time     |usr sys idl wai stl| used  free  buff  cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out |process              pid  cpu read write|process              pid  read write cpu|  memory process | used  free|lis  act  syn  tim  clo 
Aug 09 13:50:36 ubuntu dstat.sh[491]: 09-08 13:50:36| 22   5  73   1   0| 780M 1347M  153M 5479M|7758B 1620B|   0    32k|   0  3.00 |1221  1782 |1.22 1.12 0.85|1.0   0  77|   0     0 |openstack            3802 8.5%2134k   0 |bash                 2692   11M3096B  0%|mysqld       205M|   0     0 |  14   29    0   68    0
Aug 09 13:50:37 ubuntu dstat.sh[491]: 09-08 13:50:37| 23   4  74   0   0| 818M 1309M  153M 5479M|6888B 1620B|   0   152k|   0  9.00 | 970  1323 |1.22 1.12 0.85|2.0   0 2.0|   0     0 |openstack            3802  22%8887k   0 |openstack            3802 8887k   0  22%|mysqld       205M|   0     0 |  14   31    0   72    0
Aug 09 13:50:38 ubuntu dstat.sh[491]: 09-08 13:50:38| 20   7  73   0   0| 800M 1327M  153M 5479M|7407B 1620B|   0    28k|   0  3.00 |1172  1647 |1.22 1.12 0.85|1.0   0  85|   0     0 |openstack            3889  16%6745k   0 |bash                 2692   11M3987B0.2%|mysqld       205M|   0     0 |  14   29    0   73    0
Aug 09 13:50:39 ubuntu dstat.sh[491]: 09-08 13:50:39| 23   4  73   0   0| 769M 1358M  153M 5479M|6609B 1404B|   0  1120k|   0  13.0 |1313  1958 |1.21 1.12 0.85|2.0   0  56|   0     0 |uwsgi                2736 2.5%2482B7321B|bash                 2692   11M3955B  0%|mysqld       205M|   0     0 |  14   29    0   78    0
Aug 09 13:50:40 ubuntu dstat.sh[491]: 09-08 13:50:40| 21   5  73   0   0| 812M 1315M  153M 5479M|8804B 1620B|   0     0 |   0     0 | 797  1055 |1.21 1.12 0.85|1.0   0  41|   0     0 |openstack            3986  24%9857k   0 |openstack            3986 9857k   0  24%|mysqld       205M|   0     0 |  14   29    0   78    0
Aug 09 13:50:41 ubuntu dstat.sh[491]: 09-08 13:50:41| 20   8  72   0   0| 782M 1345M  153M 5479M|7229B 1620B|   0   236k|   0  19.0 |1717  2759 |1.21 1.12 0.85|1.0   0 144|   0     0 |openstack            4130 4.0%2020k   0 |bash                 2692   11M6656B0.2%|mysqld       205M|   0     0 |  14   29    0   83    0
Aug 09 13:50:42 ubuntu dstat.sh[491]: 09-08 13:50:42| 23   3  74   0   0| 819M 1308M  153M 5479M|8406B 1566B|   0   852k|   0  32.0 | 881  1046 |1.21 1.12 0.85|1.0   0   0|   0     0 |openstack            4130  24%8986k   0 |openstack            4130 8986k   0  24%|mysqld       205M|   0     0 |  14   31    0   85    0
Aug 09 13:50:43 ubuntu dstat.sh[491]: 09-08 13:50:43| 23   4  73   0   0| 788M 1338M  153M 5480M|  10k 1566B|   0     0 |   0     0 |1408  2015 |1.21 1.12 0.85|1.0   0  21|   0     0 |openstack            4151  11%3549k   0 |bash                 2692   11M4251B0.2%|mysqld       205M|   0     0 |  14   29    0   92    0
Aug 09 13:50:44 ubuntu dstat.sh[491]: 09-08 13:50:44| 24   2  73   1   0| 817M 1310M  153M 5480M|7205B 1566B|   0  1172k|   0   125 |1478  1825 |1.19 1.11 0.85|1.0   0   0|   0     0 |openstack            4151  18%7448k   0 |openstack            4151 7448k   0  18%|mysqld       205M|   0     0 |  14   31    0   99    0
Aug 09 13:50:45 ubuntu dstat.sh[491]: 09-08 13:50:45| 23   5  72   0   0| 806M 1320M  153M 5480M|8075B 1620B|   0    60k|   0  3.00 |1020  1405 |1.19 1.11 0.85|2.0   0  71|   0     0 |openstack            4222  19%7894k   0 |bash                 2692   11M   0   0%|mysqld       205M|   0     0 |  14   29    0  100    0
Aug 09 13:50:46 ubuntu dstat.sh[491]: 09-08 13:50:46| 23   5  73   0   0| 771M 1356M  153M 5480M|9219B 1620B|   0    60k|   0  6.00 |1508  2397 |1.19 1.11 0.85|1.0   0  42|   0     0 |uwsgi                2737 4.8%4908B  15k|bash                 2692   11M6930B  0%|mysqld       205M|   0     0 |  14   29    0  109    0
Aug 09 13:50:47 ubuntu dstat.sh[491]: 09-08 13:50:47| 20   8  72   0   0| 803M 1323M  153M 5480M|8343B 1620B|   0     0 |   0     0 |1208  1734 |1.19 1.11 0.85|2.0   0 128|   0     0 |openstack            4390  20%7390k   0 |openstack            4390 7390k   0  20%|mysqld       205M|   0     0 |  14   29    0  106    0
Aug 09 13:50:48 ubuntu dstat.sh[491]: 09-08 13:50:48| 23   4  73   0   0| 773M 1354M  153M 5480M|6525B 1620B|   0     0 |   0     0 |1356  1986 |1.19 1.11 0.85|1.0   0  21|   0     0 |uwsgi                2737 3.8%6161B  18k|bash                 2692   11M4249B  0%|mysqld       205M|   0     0 |  14   29    0  115    0
Aug 09 13:50:49 ubuntu dstat.sh[491]: 09-08 13:50:49| 23   3  74   0   0| 814M 1313M  153M 5480M|6744B 1620B|   0  1340k|   0  37.0 | 723   766 |1.17 1.11 0.85|1.0   0   0|   0     0 |openstack            4413  25%  10M   0 |openstack            4413   10M   0  25%|mysqld       205M|   0     0 |  14   29    0  115    0
Aug 09 13:50:50 ubuntu dstat.sh[491]: 09-08 13:50:50| 23   6  71   0   0| 792M 1334M  153M 5480M|  17k 1620B|   0   236k|   0  14.0 |1559  2450 |1.17 1.11 0.85|1.0   0  71|   0     0 |openstack            4484  12%4592k   0 |bash                 2692   11M   0 0.2%|mysqld       205M|   0     0 |  14   29    0  123    0
Aug 09 13:50:51 ubuntu dstat.sh[491]: 09-08 13:50:51| 24   3  73   0   0| 819M 1308M  153M 5480M|6759B 1620B|   0    72k|   0  6.00 |1096  1578 |1.17 1.11 0.85|1.0   0   0|   0     0 |openstack            4484  17%6414k   0 |openstack            4484 6414k   0  17%|mysqld       205M|   0     0 |  14   31    0  129    0
Aug 09 13:50:52 ubuntu dstat.sh[491]: 09-08 13:50:52| 20   8  72   0   0| 791M 1335M  153M 5480M|  11k 1566B|   0     0 |   0     0 |1663  2610 |1.17 1.11 0.85|1.0   0 168|   0     0 |openstack            4652  13%3306k   0 |bash                 2692   11M9494B  0%|mysqld       205M|   0     0 |  14   29    0  132    0
Aug 09 13:50:53 ubuntu dstat.sh[491]: 09-08 13:50:53| 24   3  74   0   0| 820M 1307M  153M 5480M|7383B 1512B|   0   344k|   0  19.0 |1191  1762 |1.17 1.11 0.85|2.0   0   0|   0     0 |openstack            4652  20%7700k   0 |openstack            4652 7700k   0  20%|mysqld       205M|   0     0 |  14   31    0  140    0
Aug 09 13:50:54 ubuntu dstat.sh[491]: 09-08 13:50:54| 22   4  74   0   0| 804M 1322M  153M 5480M|7143B 1620B|   0  2136k|   0  52.0 |1005  1198 |1.16 1.11 0.85|1.0   0  21|   0     0 |openstack            4673  20%7658k   0 |bash                 2692   11M4261B0.2%|mysqld       205M|   0     0 |  14   29    0  141    0
Aug 09 13:50:55 ubuntu dstat.sh[491]: 09-08 13:50:55| 24   4  71   0   0| 782M 1344M  153M 5480M|7140B 1620B|   0    56k|   0  3.00 |1218  2064 |1.16 1.11 0.85|1.0   0  71|   0     0 |openstack            4744 5.0%1928k   0 |bash                 2692   11M   0   0%|mysqld       205M|   0     0 |  14   29    0  147    0
Aug 09 13:50:56 ubuntu dstat.sh[491]: 09-08 13:50:56| 23   3  73   0   0| 820M 1306M  153M 5480M|8064B 1620B|   0   148k|   0  9.00 | 820  1068 |1.16 1.11 0.85|1.0   0   0|   0     0 |openstack            4744  23%9078k   0 |openstack            4744 9078k   0  23%|mysqld       205M|   0     0 |  14   31    0  149    0
Aug 09 13:50:57 ubuntu dstat.sh[491]: 09-08 13:50:57| 20   9  71   0   0| 783M 1343M  153M 5480M|7351B 1620B|   0     0 |   0     0 |1678  2942 |1.16 1.11 0.85|1.0   0 170|   0     0 |openstack            4914 6.8%2020k   0 |bash                 2692   11M9495B0.2%|mysqld       205M|   0     0 |  14   29    0  156    0
Aug 09 13:50:58 ubuntu dstat.sh[491]: 09-08 13:50:58| 23   4  73   0   0| 820M 1306M  153M 5480M|  19k 1620B|   0    60k|   0  6.00 | 813   966 |1.16 1.11 0.85|1.0   0   0|   0     0 |openstack            4914  25%8983k   0 |openstack            4914 8983k   0  25%|mysqld       205M|   0     0 |  14   31    0  157    0
Aug 09 13:50:59 ubuntu dstat.sh[491]: 09-08 13:50:59| 23   4  74   0   0| 795M 1331M  153M 5480M|  11k 1620B|   0  8192B|   0  2.00 |1151  1796 |1.15 1.11 0.86|1.0   0  21|   0     0 |openstack            4935  13%5346k   0 |bash                 2692   11M4251B  0%|mysqld       205M|   0     0 |  14   29    0  165    0
Aug 09 13:51:00 ubuntu dstat.sh[491]: 09-08 13:51:00| 23   3  74   0   0| 818M 1308M  153M 5481M|9855B 1566B|   0   144k|   0  15.0 | 998  1713 |1.15 1.11 0.86|1.0   0   0|   0     0 |uwsgi                2737 3.0%5161B  15k|bash                 2692   11M   0   0%|mysqld       205M|   0     0 |  14   29    0  173    0
Aug 09 13:51:01 ubuntu dstat.sh[491]: 09-08 13:51:01| 22   5  72   0   0| 816M 1310M  153M 5481M|6418B 1674B|   0    96k|   0  11.0 | 899  1337 |1.15 1.11 0.86|1.0   0  71|   0     0 |openstack            5006  23%  10M   0 |openstack            5006   10M   0  23%|mysqld       205M|   0     0 |  14   29    0  173    0
Aug 09 13:51:02 ubuntu dstat.sh[491]: 09-08 13:51:02| 21   6  73   0   0| 781M 1344M  153M 5481M|8641B 1662B|   0    84k|   0  6.00 |1679  2824 |1.15 1.11 0.86|1.0   0 109|   0     0 |openstack            5115 5.0%1928k   0 |bash                 2692   11M7359B0.2%|mysqld       205M|   0     0 |  14   29    0  182    0
Aug 09 13:51:03 ubuntu dstat.sh[491]: 09-08 13:51:03| 23   4  73   0   0| 819M 1306M  153M 5481M|5707B 1458B|   0   344k|   0  20.0 | 887  1083 |1.15 1.11 0.86|3.0   0   0|   0     0 |openstack            5115  24%9092k   0 |openstack            5115 9092k   0  24%|mysqld       205M|   0     0 |  14   31    0  184    0
Aug 09 13:51:04 ubuntu dstat.sh[491]: 09-08 13:51:04| 20   7  73   0   0| 794M 1332M  153M 5481M|  16k 1620B|   0   320k|   0  27.0 |1424  1919 |1.13 1.11 0.86|1.0   0  97|   0     0 |openstack            5212  14%4786k   0 |bash                 2692   11M3971B  0%|mysqld       205M|   0     0 |  14   29    0  187    0
