-- Logs begin at Mon 2022-08-01 17:15:25 UTC, end at Mon 2022-08-01 18:21:08 UTC. --
Aug 01 18:08:30 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Aug 01 18:08:30 ubuntu dstat.sh[91840]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Aug 01 18:08:30 ubuntu dstat.sh[91840]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Aug 01 18:08:52 ubuntu dstat.sh[91840]: 01-08 18:08:52| 39  11  49   0   0| 969M 1378M  191M 5205M|5454  1402 |   0  3076k|   0  21.0 |2327  3506 |1.70 1.05 0.70|2.0   0 268|   0     0 |   0     0 |  9    6    0   11    2
Aug 01 18:08:53 ubuntu dstat.sh[91840]: 01-08 18:08:53| 16  19  64   0   0| 949M 1397M  191M 5205M| 233k 9772 |   0   320k|   0  12.0 |2791  4467 |1.65 1.05 0.70|1.0   0 363|   0     0 |   0     0 |  9    6    0   11    2
Aug 01 18:08:54 ubuntu dstat.sh[91840]: 01-08 18:08:54| 30  17  51   0   0| 990M 1355M  191M 5207M| 415k   12k|   0   836k|   0  7.00 |4056  8610 |1.65 1.05 0.70|3.0   0 181|   0     0 |   0     0 |  9    6    0   11    2
Aug 01 18:08:55 ubuntu dstat.sh[91840]: 01-08 18:08:55| 47   8  44   0   0|1095M 1249M  191M 5207M| 347k   12k|   0   567k|   0  5.99 |2015  2383 |1.65 1.05 0.70|2.0   0  48|   0     0 |   0     0 |  9    7    0   11    2
Aug 01 18:08:56 ubuntu dstat.sh[91840]: 01-08 18:08:56| 50   3  47   0   0|1144M 1200M  191M 5208M|  41k 5334 |   0   809k|   0  13.0 |1358  1452 |1.65 1.05 0.70|2.0   0   0|   0     0 |   0     0 |  9    7    0   11    2
Aug 01 18:08:57 ubuntu dstat.sh[91840]: 01-08 18:08:57| 50   3  46   2   0|1161M 1181M  191M 5208M| 112k 6598 |   0  6927k|   0   159 |1701  1426 |1.65 1.05 0.70|  0 3.0   0|   0     0 |   0     0 |  9    7    0   11    2
Aug 01 18:08:58 ubuntu dstat.sh[91840]: 01-08 18:08:58| 43  11  42   2   0|1188M 1152M  191M 5210M|  93k 6212 |   0  1019k|   0  6.99 |3482  7523 |1.68 1.06 0.71|1.0   0 142|   0     0 |   0     0 |  9    6    0   12    2
Aug 01 18:08:59 ubuntu dstat.sh[91840]: 01-08 18:08:59| 28   4  66   1   0|1250M 1090M  191M 5211M| 146k 6909 |   0   508k|   0  9.00 |1241  1342 |1.68 1.06 0.71|2.0   0 2.0|   0     0 |   0     0 |  9    6    0   12    2
Aug 01 18:09:00 ubuntu dstat.sh[91840]: 01-08 18:09:00| 49   1  49   0   0|1287M 1053M  191M 5211M|5924  1620 |   0     0 |   0     0 |1150  1131 |1.68 1.06 0.71|2.0   0 3.0|   0     0 |   0     0 |  9    6    0   12    2
Aug 01 18:09:01 ubuntu dstat.sh[91840]: 01-08 18:09:01| 35   2  62   1   0|1283M 1057M  191M 5211M|  54k   34k|   0   749k|   0  52.0 |1753  2486 |1.68 1.06 0.71|2.0 1.0 1.0|   0     0 |   0     0 |  9   12    0   12    2
Aug 01 18:09:02 ubuntu dstat.sh[91840]: 01-08 18:09:02| 26   5  63   5   0|1190M 1149M  191M 5211M|  42k   37k|  12k   21M|3.00   786 |4026  5805 |1.68 1.06 0.71|1.0 1.0  44|   0     0 |   0     0 |  9    6    0   14    2
Aug 01 18:09:03 ubuntu dstat.sh[91840]: 01-08 18:09:03| 45   5  50   2   0|1236M 1102M  191M 5212M|7116  1621 |8199B    0 |2.00     0 |1271  1264 |1.70 1.08 0.72|2.0   0 3.0|   0     0 |   0     0 |  9    6    0   14    2
Aug 01 18:09:04 ubuntu dstat.sh[91840]: 01-08 18:09:04| 44   4  48   4   0|1257M 1081M  191M 5212M| 127k  121k| 124k 1599k|31.0  17.0 |2104  2963 |1.70 1.08 0.72|2.0   0 6.0|   0     0 |   0     0 |  9   31    0   14    2
Aug 01 18:09:05 ubuntu dstat.sh[91840]: 01-08 18:09:05| 46   5  49   0   0|1233M 1102M  191M 5214M|8529  2414 |   0    12k|   0  3.00 |1678  2055 |1.70 1.08 0.72|2.0   0  45|   0     0 |   0     0 |  9   30    0   14    2
Aug 01 18:09:06 ubuntu dstat.sh[91840]: 01-08 18:09:06| 43   8  48   0   0|1201M 1134M  192M 5215M|  65k   60k|   0    20k|   0  2.00 |2076  3059 |1.70 1.08 0.72|2.0   0  51|   0     0 |   0     0 |  9   30    0   14    2
Aug 01 18:09:07 ubuntu dstat.sh[91840]: 01-08 18:09:07| 65   9  25   0   0|1285M 1049M  192M 5215M|6677  1620 |   0  3723k|   0  27.0 |1814  2111 |1.70 1.08 0.72|3.0   0 146|   0     0 |   0     0 |  9   30    0    9    2
Aug 01 18:09:08 ubuntu dstat.sh[91840]: 01-08 18:09:08| 65   9  25   1   0|1309M 1015M  192M 5224M| 719k  715k|   0  1625k|   0  64.0 |4807  9621 |1.81 1.11 0.73|3.0   0 2.0|   0     0 |   0     0 |  9   35    0   11    2
Aug 01 18:09:09 ubuntu dstat.sh[91840]: 01-08 18:09:09| 68  18  13   1   0|1292M 1018M  192M 5236M|  53k   49k|   0  2245k|   0  91.0 |2875  5053 |1.81 1.11 0.73|7.0   0 367|   0     0 |   0     0 |  9   34    0   11    2
Aug 01 18:09:10 ubuntu dstat.sh[91840]: 01-08 18:09:10| 84  14   0   0   0|1431M  871M  193M 5242M| 292k  284k|   0  1568k|   0  50.0 |3046  5166 |1.81 1.11 0.73|6.0   0 173|   0     0 |   0     0 |  9   37    0   11    2
Aug 01 18:09:11 ubuntu dstat.sh[91840]: 01-08 18:09:11| 86  13   1   1   0|1349M  949M  193M 5245M| 673k  666k|   0  3173k|   0   156 |5638    12k|1.81 1.11 0.73|6.0   0  98|   0     0 |   0     0 |  9   34    0   11    2
Aug 01 18:09:12 ubuntu dstat.sh[91840]: 01-08 18:09:12| 69  14  11   6   0|1304M  984M  194M 5254M| 335k  330k|   0  3942k|   0  79.0 |3534  6304 |1.81 1.11 0.73|1.0 2.0 144|   0     0 |   0     0 |  9   35    0   11    2
Aug 01 18:09:13 ubuntu dstat.sh[91840]: 01-08 18:09:13| 57  10  29   3   0|1302M  970M  194M 5269M| 316k  313k|   0  1388k|   0  69.0 |3047  5571 |1.82 1.13 0.74|6.0   0  62|   0     0 |   0     0 |  9   35    0   11    2
Aug 01 18:09:14 ubuntu dstat.sh[91840]: 01-08 18:09:14| 39   9  47   5   0|1268M  998M  194M 5273M| 284k  276k|   0  1476k|   0  46.0 |2750  5409 |1.82 1.13 0.74|1.0   0  70|   0     0 |   0     0 |  9   36    0   11    2
Aug 01 18:09:15 ubuntu dstat.sh[91840]: 01-08 18:09:15| 21   5  73   0   0|1234M 1032M  194M 5273M|  64k   48k|   0    96k|   0  12.0 |1710  2849 |1.82 1.13 0.74|1.0   0  70|   0     0 |   0     0 |  9   35    0   11    2
Aug 01 18:09:16 ubuntu dstat.sh[91840]: 01-08 18:09:16| 38   6  56   1   0|1210M 1075M  194M 5254M| 125k  120k|   0   725k|   0  13.0 |1445  2322 |1.82 1.13 0.74|2.0   0 2.0|   0     0 |   0     0 |  9   33    0   11    0
Aug 01 18:09:17 ubuntu dstat.sh[91840]: 01-08 18:09:17| 35  19  46   1   0|1194M 1091M  194M 5254M|  96k   91k|   0  6783k|   0   171 |3156  5326 |1.82 1.13 0.74|2.0   0 312|   0     0 |   0     0 |  9   32    0   11    0
Aug 01 18:09:18 ubuntu dstat.sh[91840]: 01-08 18:09:18| 47  29  23   0   0|1247M 1039M  194M 5254M|9192  1621 |   0    44k|   0  11.0 |9503    19k|2.16 1.21 0.77|7.0   0 702|   0     0 |   0     0 |  9   32    0   11    0
Aug 01 18:09:19 ubuntu dstat.sh[91840]: 01-08 18:09:19| 85  14   0   0   0|1362M  923M  194M 5254M|  73k   68k|   0  1820k|   0  20.0 |2196  3208 |2.16 1.21 0.77|7.0   0 177|   0     0 |   0     0 |  9   33    0   11    0
Aug 01 18:09:20 ubuntu dstat.sh[91840]: 01-08 18:09:20| 88  11   0   0   0|1481M  804M  194M 5255M| 777k  772k|   0   416k|   0  19.0 |3667  8448 |2.16 1.21 0.77|5.0   0 4.0|   0     0 |   0     0 |  9   35    0   11    0
Aug 01 18:09:21 ubuntu dstat.sh[91840]: 01-08 18:09:21| 87   9   4   0   0|1475M  810M  194M 5255M|1168k 1163k|   0   523k|   0  52.9 |8390    19k|2.16 1.21 0.77|6.0   0  24|   0     0 |   0     0 |  9   34    0   12    0
Aug 01 18:09:22 ubuntu dstat.sh[91840]: 01-08 18:09:22| 87  11   1   0   0|1345M  940M  194M 5255M| 667k  661k|   0   480k|   0  26.0 |3778  9640 |2.16 1.21 0.77|7.0   0 184|   0     0 |   0     0 |  9   33    0   12    0
Aug 01 18:09:23 ubuntu dstat.sh[91840]: 01-08 18:09:23| 87  13   0   0   1|1382M  902M  194M 5255M| 270k  263k|   0   721k|   0  31.0 |2634  5503 |2.71 1.34 0.81|8.0   0 154|   0     0 |   0     0 |  9   33    0   12    0
Aug 01 18:09:24 ubuntu dstat.sh[91840]: 01-08 18:09:24| 85  14   0   0   0|1475M  809M  194M 5255M| 770k  764k|   0   499k|   0  36.0 |5049  9766 |2.71 1.34 0.81|6.0   0 5.0|   0     0 |   0     0 |  9   36    0   12    0
Aug 01 18:09:25 ubuntu dstat.sh[91840]: 01-08 18:09:25| 86  13   1   0   0|1414M  870M  195M 5256M| 891k  883k|   0   773k|   0  83.1 |5672    12k|2.71 1.34 0.81|7.0   0 110|   0     0 |   0     0 |  9   34    0   12    0
Aug 01 18:09:26 ubuntu dstat.sh[91840]: 01-08 18:09:26| 86  13   1   0   0|1405M  878M  195M 5256M| 840k  834k|   0   480k|   0  32.0 |6073    13k|2.71 1.34 0.81|7.0   0 126|   0     0 |   0     0 |  9   33    0   12    0
Aug 01 18:09:27 ubuntu dstat.sh[91840]: 01-08 18:09:27| 89  11   0   0   0|1401M  882M  195M 5256M| 378k  371k|   0   336k|   0  30.0 |3899  6929 |2.71 1.34 0.81|7.0   0  86|   0     0 |   0     0 |  9   35    0   12    0
Aug 01 18:09:28 ubuntu dstat.sh[91840]: 01-08 18:09:28| 81  10   8   0   0|1416M  866M  195M 5257M|1252k 1247k|   0  2603k|   0  61.0 |7453    16k|2.73 1.37 0.82|4.0   0  51|   0     0 |   0     0 |  9   35    0   10    0
Aug 01 18:09:29 ubuntu dstat.sh[91840]: 01-08 18:09:29| 65  23  11   0   0|1237M 1045M  195M 5257M| 782k  767k|   0   836k|   0  67.0 |4714    14k|2.73 1.37 0.82|4.0   0 601|   0     0 |   0     0 |  9   32    0   11    0
Aug 01 18:09:30 ubuntu dstat.sh[91840]: 01-08 18:09:30| 86  14   1   0   0|1343M  939M  195M 5257M|7577  1512 |   0   176k|   0  11.0 |1809  1916 |2.73 1.37 0.82|4.0   0  55|   0     0 |   0     0 |  9   32    0   11    0
Aug 01 18:09:31 ubuntu dstat.sh[91840]: 01-08 18:09:31| 62  13  24   0   0|1316M  966M  195M 5257M|1222k 1218k|   0   620k|   0  62.0 |5707    14k|2.73 1.37 0.82|6.0   0 211|   0     0 |   0     0 |  9   35    0   11    0
Aug 01 18:09:32 ubuntu dstat.sh[91840]: 01-08 18:09:32| 88  12   1   0   0|1270M 1012M  195M 5258M| 698k  694k|   0   364k|   0  29.0 |2876  8176 |2.73 1.37 0.82|5.0   0  65|   0     0 |   0     0 |  9   32    0   11    0
Aug 01 18:09:33 ubuntu dstat.sh[91840]: 01-08 18:09:33| 84  12   3   0   0|1387M  894M  195M 5258M| 663k  657k|   0  6870k|   0   404 |4957    15k|3.15 1.48 0.86|8.0   0  98|   0     0 |   0     0 |  9   34    0   12    0
Aug 01 18:09:34 ubuntu dstat.sh[91840]: 01-08 18:09:34| 81  15   3   0   0|1328M  953M  195M 5258M| 917k  912k|   0   565k|   0  56.1 |5087    14k|3.15 1.48 0.86|5.0   0 248|   0     0 |   0     0 |  9   33    0   12    0
Aug 01 18:09:35 ubuntu dstat.sh[91840]: 01-08 18:09:35| 88  11   1   0   0|1372M  909M  195M 5258M| 147k  142k|   0   272k|   0  26.0 |2155  3563 |3.15 1.48 0.86|6.0   0 102|   0     0 |   0     0 |  9   34    0   12    0
Aug 01 18:09:36 ubuntu dstat.sh[91840]: 01-08 18:09:36| 79  16   4   0   0|1319M  961M  195M 5258M|1328k 1323k|   0   879k|   0  79.9 |5806    18k|3.15 1.48 0.86|7.0   0 221|   0     0 |   0     0 |  9   34    0   10    0
Aug 01 18:09:37 ubuntu dstat.sh[91840]: 01-08 18:09:37| 88  11   1   0   0|1391M  889M  195M 5258M| 791k  787k|   0   416k|   0  34.0 |4214  8710 |3.15 1.48 0.86|6.0   0  63|   0     0 |   0     0 |  9   33    0   10    0
Aug 01 18:09:38 ubuntu dstat.sh[91840]: 01-08 18:09:38| 79  11   9   0   0|1371M  909M  195M 5259M| 674k  670k|   0  1568k|   0  37.0 |4003  8770 |3.38 1.55 0.89|4.0   0 138|   0     0 |   0     0 |  9   36    0   11    0
Aug 01 18:09:39 ubuntu dstat.sh[91840]: 01-08 18:09:39| 62  15  22   0   0|1174M 1107M  195M 5259M| 936k  931k|   0   764k|   0  68.0 |5564    14k|3.38 1.55 0.89|6.0   0 326|   0     0 |   0     0 |  9   32    0   13    0
Aug 01 18:09:40 ubuntu dstat.sh[91840]: 01-08 18:09:40| 88  12   0   0   0|1350M  930M  195M 5259M|  26k   21k|   0   184k|   0  10.0 |1787  1828 |3.38 1.55 0.89|5.0   0  29|   0     0 |   0     0 |  9   33    0   13    0
Aug 01 18:09:41 ubuntu dstat.sh[91840]: 01-08 18:09:41| 69  10  19   0   0|1338M  942M  195M 5259M|1217k 1203k|   0   720k|   0  79.0 |6774    16k|3.38 1.55 0.89|7.0   0  66|   0     0 |   0     0 |  9   34    0   18    0
Aug 01 18:09:42 ubuntu dstat.sh[91840]: 01-08 18:09:42| 70  14  16   0   0|1268M 1012M  195M 5259M| 358k  353k|   0   292k|   0  17.0 |2783  6193 |3.38 1.55 0.89|4.0   0 120|   0     0 |   0     0 |  9   33    0   18    0
Aug 01 18:09:43 ubuntu dstat.sh[91840]: 01-08 18:09:43| 62  22  13   1   0|1296M  983M  195M 5259M| 558k  553k|   0    53M|   0   222 |4906  9883 |3.67 1.64 0.92|6.0   0 311|   0     0 |   0     0 |  9   33    0   18    0
Aug 01 18:09:44 ubuntu dstat.sh[91840]: 01-08 18:09:44| 82  17   0   0   0|1319M  960M  195M 5259M| 242k  238k|   0   533k|   0  34.0 |2970  6137 |3.67 1.64 0.92|6.0   0 288|   0     0 |   0     0 |  9   33    0   18    0
Aug 01 18:09:45 ubuntu dstat.sh[91840]: 01-08 18:09:45| 82  17   0   0   0|1429M  851M  195M 5260M| 980k  974k|   0   526k|   0  37.9 |4429    13k|3.67 1.64 0.92|8.0   0 154|   0     0 |   0     0 |  9   35    0   18    0
Aug 01 18:09:46 ubuntu dstat.sh[91840]: 01-08 18:09:46| 83  15   1   0   0|1406M  873M  195M 5260M|1181k 1175k|   0   681k|   0  41.1 |4925    16k|3.67 1.64 0.92|9.0   0 173|   0     0 |   0     0 |  9   34    0   19    0
Aug 01 18:09:47 ubuntu dstat.sh[91840]: 01-08 18:09:47| 82  17   1   0   1|1325M  953M  195M 5260M| 788k  783k|   0   552k|   0  32.0 |5819    12k|3.67 1.64 0.92|7.0   0 181|   0     0 |   0     0 |  9   33    0   19    0
Aug 01 18:09:48 ubuntu dstat.sh[91840]: 01-08 18:09:48| 85  13   1   0   0|1378M  901M  195M 5260M| 853k  847k|   0    11M|   0   146 |4891    11k|4.02 1.75 0.96|6.0   0 178|   0     0 |   0     0 |  9   34    0   19    0
Aug 01 18:09:49 ubuntu dstat.sh[91840]: 01-08 18:09:49| 83  14   1   0   0|1346M  932M  195M 5261M|1037k 1031k|   0   904k|   0  88.0 |4990    13k|4.02 1.75 0.96|7.0   0 201|   0     0 |   0     0 |  9   32    0   20    0
Aug 01 18:09:50 ubuntu dstat.sh[91840]: 01-08 18:09:50| 85  15   0   0   1|1305M  973M  195M 5261M| 433k  429k|   0   508k|   0  41.0 |3552  8132 |4.02 1.75 0.96|6.0   0 188|   0     0 |   0     0 |  9   32    0   20    0
Aug 01 18:09:51 ubuntu dstat.sh[91840]: 01-08 18:09:51| 82  14   2   0   0|1347M  931M  195M 5261M|1118k 1109k|   0   551k|   0  41.0 |4651    12k|4.02 1.75 0.96|6.0   0 156|   0     0 |   0     0 |  9   34    0   21    0
Aug 01 18:09:52 ubuntu dstat.sh[91840]: 01-08 18:09:52| 65  20  13   0   0|1307M  971M  195M 5261M|1305k 1296k|   0   756k|   0  46.0 |6566    18k|4.02 1.75 0.96|3.0   0 476|   0     0 |   0     0 |  9   33    0   21    0
Aug 01 18:09:53 ubuntu dstat.sh[91840]: 01-08 18:09:53| 32  16  52   0   0|1128M 1149M  195M 5262M| 418k  409k|   0   908k|   0  41.0 |4462  8403 |3.78 1.73 0.96|1.0   0 312|   0     0 |   0     0 |  9   32    0   21    0
Aug 01 18:09:54 ubuntu dstat.sh[91840]: 01-08 18:09:54| 29  27  42   0   0|1181M 1096M  195M 5262M|8207  1620 |   0   248k|   0  19.0 |2937  5554 |3.78 1.73 0.96|5.0   0 701|   0     0 |   0     0 |  9   32    0   21    0
Aug 01 18:09:55 ubuntu dstat.sh[91840]: 01-08 18:09:55| 81  19   0   0   0|1324M  953M  195M 5262M| 142k  138k|   0   632k|   0  47.0 |2526  4679 |3.78 1.73 0.96|9.0   0 322|   0     0 |   0     0 |  9   33    0   21    0
Aug 01 18:09:56 ubuntu dstat.sh[91840]: 01-08 18:09:56| 83  15   2   0   0|1243M 1034M  195M 5262M| 968k  956k|   0  2308k|   0   165 |4732    14k|3.78 1.73 0.96|5.0   0 253|   0     0 |   0     0 |  9   33    0   21    0
Aug 01 18:09:57 ubuntu dstat.sh[91840]: 01-08 18:09:57| 81  17   1   0   0|1343M  934M  195M 5262M| 227k  223k|   0   480k|   0  44.0 |3412  6668 |3.78 1.73 0.96|6.0   0 275|   0     0 |   0     0 |  9   33    0   21    0
Aug 01 18:09:58 ubuntu dstat.sh[91840]: 01-08 18:09:58| 86  13   2   0   1|1394M  882M  195M 5262M| 967k  961k|   0  2117k|   0  41.0 |5964    12k|3.95 1.81 0.99|4.0   0  70|   0     0 |   0     0 |  9   35    0   20    0
Aug 01 18:09:59 ubuntu dstat.sh[91840]: 01-08 18:09:59| 68   8  24   0   0|1432M  844M  195M 5263M|1267k 1263k|   0   435k|   0  43.9 |6105    15k|3.95 1.81 0.99|2.0   0   0|   0     0 |   0     0 |  9   37    0   24    0
Aug 01 18:10:00 ubuntu dstat.sh[91840]: 01-08 18:10:00| 49   7  45   1   0|1433M  843M  195M 5263M|1138k 1132k|   0   408k|   0  38.0 |6400    15k|3.95 1.81 0.99|3.0   0 2.0|   0     0 |   0     0 |  9   36    0   28    0
Aug 01 18:10:01 ubuntu dstat.sh[91840]: 01-08 18:10:01| 75  14  11   0   0|1251M 1024M  195M 5263M| 996k  990k|   0   580k|   0  53.0 |5811    14k|3.95 1.81 0.99|6.0   0 163|   0     0 |   0     0 |  9   33    0   29    0
Aug 01 18:10:02 ubuntu dstat.sh[91840]: 01-08 18:10:02| 89  12   0   0   0|1334M  941M  195M 5263M| 377k  372k|   0   240k|   0  17.0 |3830  6357 |3.95 1.81 0.99|6.0   0  22|   0     0 |   0     0 |  9   33    0   29    0
Aug 01 18:10:03 ubuntu dstat.sh[91840]: 01-08 18:10:03| 76  11  13   0   0|1419M  853M  195M 5266M|1047k 1042k|   0   420k|   0  38.0 |6500    15k|3.72 1.79 0.99|5.0   0   0|   0     0 |   0     0 |  9   36    0   28    0
Aug 01 18:10:04 ubuntu dstat.sh[91840]: 01-08 18:10:04| 56   7  35   0   0|1378M  893M  195M 5266M|1247k 1242k|   0  1798k|   0   101 |6490    18k|3.72 1.79 0.99|4.0   0  50|   0     0 |   0     0 |  9   36    0   29    0
Aug 01 18:10:05 ubuntu dstat.sh[91840]: 01-08 18:10:05| 68   8  23   0   0|1413M  858M  195M 5267M|1129k 1125k|   0   512k|   0  53.0 |8234    17k|3.72 1.79 0.99|6.0   0 1.0|   0     0 |   0     0 |  9   35    0   31    0
Aug 01 18:10:06 ubuntu dstat.sh[91840]: 01-08 18:10:06| 84  14   2   0   0|1316M  955M  196M 5267M|1188k 1184k|   0   704k|   0  73.0 |4560    16k|3.72 1.79 0.99|7.0   0 106|   0     0 |   0     0 |  9   33    0   32    0
Aug 01 18:10:07 ubuntu dstat.sh[91840]: 01-08 18:10:07| 88  12   1   0   0|1389M  882M  196M 5267M| 886k  880k|   0   412k|   0  33.0 |4712    14k|3.72 1.79 0.99|5.0   0  66|   0     0 |   0     0 |  9   35    0   32    0
