-- Logs begin at Thu 2022-05-12 19:17:07 UTC, end at Thu 2022-05-12 20:56:07 UTC. --
May 12 20:17:53 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
May 12 20:17:53 ubuntu dstat.sh[79421]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
May 12 20:17:53 ubuntu dstat.sh[79421]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
May 12 20:18:26 ubuntu dstat.sh[79421]: 12-05 20:18:26| 38   8  50   4   0|1308M 1120M  196M 5122M|  21k 2084 | 161k 5892k|9.03  89.3 |1618  1807 |1.77 1.20 0.80|2.0   0  44|   0     0 |   0     0 |  9    6    0   10    2
May 12 20:18:27 ubuntu dstat.sh[79421]: 12-05 20:18:27| 41   7  51   2   0|1343M 1058M  197M 5145M|  29k   11k|  64k 3057k|6.00  93.0 |1651  1840 |1.77 1.20 0.80|2.0   0 1.0|   0     0 |   0     0 |  9   13    0   10    2
May 12 20:18:28 ubuntu dstat.sh[79421]: 12-05 20:18:28| 25   5  63   6   0|1294M 1101M  197M 5149M| 168k  115k| 132k 1519k|33.0  45.0 |1777  2211 |1.77 1.20 0.80|1.0   0  36|   0     0 |   0     0 |  9   31    0   11    2
May 12 20:18:29 ubuntu dstat.sh[79421]: 12-05 20:18:29| 42   8  50   0   0|1306M 1108M  197M 5131M|  35k 2342 |   0   408k|   0  7.01 |1474  1247 |1.77 1.20 0.80|2.0   0  17|   0     0 |   0     0 |  9   28    0   11    0
May 12 20:18:30 ubuntu dstat.sh[79421]: 12-05 20:18:30| 45  14  40   0   0|1312M 1102M  197M 5131M|  83k   60k|   0    12k|   0  3.00 |9149    18k|1.77 1.20 0.80|3.0   0 203|   0     0 |   0     0 |  9   28    0   11    0
May 12 20:18:31 ubuntu dstat.sh[79421]: 12-05 20:18:31| 66   9  25   0   0|1397M 1017M  197M 5131M|  32k 1618 |   0  1866k|   0  14.0 |1493  1209 |1.87 1.23 0.81|3.0   0 9.0|   0     0 |   0     0 |  9   28    0   11    0
May 12 20:18:32 ubuntu dstat.sh[79421]: 12-05 20:18:32| 69   5  26   0   0|1411M 1003M  197M 5131M| 789k  760k|   0    80k|   0  1.00 |4485  7670 |1.87 1.23 0.81|3.0   0 2.0|   0     0 |   0     0 |  9   29    0   12    0
May 12 20:18:33 ubuntu dstat.sh[79421]: 12-05 20:18:33| 74  17   9   0   0|1397M 1017M  197M 5131M|  34k 6476 |   0    28k|   0  7.01 |9995    19k|1.87 1.23 0.81|6.0   0 310|   0     0 |   0     0 |  9   28    0   12    0
May 12 20:18:34 ubuntu dstat.sh[79421]: 12-05 20:18:34| 86  13   0   0   0|1511M  903M  197M 5132M| 419k  390k|   0  2073k|   0  11.0 |2900  5267 |1.87 1.23 0.81|8.0   0 176|   0     0 |   0     0 |  9   30    0   12    0
May 12 20:18:35 ubuntu dstat.sh[79421]: 12-05 20:18:35| 87  13   0   0   0|1359M 1055M  197M 5132M| 457k  435k|   0   653k|   0  58.1 |3783  6876 |1.87 1.23 0.81|7.0   0 135|   0     0 |   0     0 |  9   28    0   12    0
May 12 20:18:36 ubuntu dstat.sh[79421]: 12-05 20:18:36| 85  13   1   0   0|1393M 1021M  197M 5132M| 284k  263k|   0   752k|   0  46.0 |3220  5055 |2.28 1.33 0.85|4.0   0 137|   0     0 |   0     0 |  9   28    0   12    0
May 12 20:18:37 ubuntu dstat.sh[79421]: 12-05 20:18:37| 65  12  22   0   0|1330M 1083M  197M 5132M| 618k  604k|   0   376k|   0  23.0 |4141  7189 |2.28 1.33 0.85|3.0   0 112|   0     0 |   0     0 |  9   29    0   13    0
May 12 20:18:38 ubuntu dstat.sh[79421]: 12-05 20:18:38| 52   7  41   0   0|1279M 1135M  197M 5132M|  34k 4029 |   0   188k|   0  9.99 |1689  1847 |2.28 1.33 0.85|3.0   0 108|   0     0 |   0     0 |  9   28    0   13    0
May 12 20:18:39 ubuntu dstat.sh[79421]: 12-05 20:18:39| 22   4  72   0   0|1231M 1182M  197M 5132M| 220k  203k|   0   332k|   0  29.0 |2131  3328 |2.28 1.33 0.85|1.0   0  33|   0     0 |   0     0 |  9   28    0   13    0
May 12 20:18:40 ubuntu dstat.sh[79421]: 12-05 20:18:40| 21   5  73   0   0|1270M 1143M  197M 5132M|  35k 1621 |   0   188k|   0  11.0 |1378  1665 |2.28 1.33 0.85|1.0   0  49|   0     0 |   0     0 |  9   28    0   13    0
May 12 20:18:41 ubuntu dstat.sh[79421]: 12-05 20:18:41| 22   4  73   1   0|1231M 1182M  197M 5132M| 230k  201k|   0  9124k|   0   423 |2887  3612 |2.18 1.32 0.85|1.0   0  43|   0     0 |   0     0 |  9   28    0   13    0
May 12 20:18:42 ubuntu dstat.sh[79421]: 12-05 20:18:42| 10  21  68   0   0|1228M 1185M  197M 5132M|  17k 1618 |   0   336k|   0  14.0 |2730  3904 |2.18 1.32 0.85|2.0   0 431|   0     0 |   0     0 |  9   28    0   11    0
May 12 20:18:43 ubuntu dstat.sh[79421]: 12-05 20:18:43| 58  25  17   0   0|1362M 1051M  197M 5132M|  21k 1622 |   0   260k|   0  23.0 |2469  5329 |2.18 1.32 0.85|5.0   0 698|   0     0 |   0     0 |  9   28    0   11    0
May 12 20:18:44 ubuntu dstat.sh[79421]: 12-05 20:18:44| 88  12   0   0   0|1515M  899M  197M 5132M| 278k  261k|   0  1164k|   0  73.0 |2568  3410 |2.18 1.32 0.85|5.0   0 1.0|   0     0 |   0     0 |  9   31    0   11    0
May 12 20:18:45 ubuntu dstat.sh[79421]: 12-05 20:18:45| 66   7  28   0   0|1544M  869M  197M 5132M|1386k 1363k|   0    76k|   0  6.00 |4095  9737 |2.18 1.32 0.85|3.0   0   0|   0     0 |   0     0 |  9   32    0   15    0
May 12 20:18:46 ubuntu dstat.sh[79421]: 12-05 20:18:46| 82  11   7   0   0|1318M 1094M  197M 5133M| 849k  826k|   0   252k|   0  23.0 |3774  7856 |2.33 1.37 0.86|6.0   0 134|   0     0 |   0     0 |  9   28    0   15    0
May 12 20:18:47 ubuntu dstat.sh[79421]: 12-05 20:18:47| 85  14   0   0   0|1465M  948M  197M 5133M| 303k  286k|   0   188k|   0  11.0 |2899  4415 |2.33 1.37 0.86|7.0   0 166|   0     0 |   0     0 |  9   29    0   13    0
May 12 20:18:48 ubuntu dstat.sh[79421]: 12-05 20:18:48| 90  11   0   0   0|1501M  912M  197M 5133M| 837k  813k|   0   344k|   0  38.0 |3638  8048 |2.33 1.37 0.86|6.0   0  51|   0     0 |   0     0 |  9   29    0   13    0
May 12 20:18:49 ubuntu dstat.sh[79421]: 12-05 20:18:49| 89   9   1   0   0|1512M  900M  197M 5133M| 984k  967k|   0   340k|   0  29.0 |3910  8572 |2.33 1.37 0.86|8.0   0 103|   0     0 |   0     0 |  9   30    0   13    0
May 12 20:18:50 ubuntu dstat.sh[79421]: 12-05 20:18:50| 88  11   0   0   0|1428M  983M  197M 5133M| 764k  731k|   0   296k|   0  25.0 |3655  7807 |2.33 1.37 0.86|6.0   0 137|   0     0 |   0     0 |  9   30    0   13    0
May 12 20:18:51 ubuntu dstat.sh[79421]: 12-05 20:18:51| 89  12   0   0   0|1491M  921M  197M 5134M| 872k  853k|   0   164k|   0  8.01 |2740  6025 |2.78 1.48 0.90|6.0   0  26|   0     0 |   0     0 |  9   31    0   14    0
May 12 20:18:52 ubuntu dstat.sh[79421]: 12-05 20:18:52| 80  13   6   0   0|1414M  996M  197M 5134M|1278k 1258k|   0  5539k|   0  52.0 |5032    11k|2.78 1.48 0.90|3.0   0 186|   0     0 |   0     0 |  9   29    0   14    0
May 12 20:18:53 ubuntu dstat.sh[79421]: 12-05 20:18:53| 46  19  33   1   0|1281M 1130M  197M 5135M| 392k  364k|   0   733k|   0  66.1 |4215  7892 |2.78 1.48 0.90|4.0   0 514|   0     0 |   0     0 |  9   28    0   14    0
May 12 20:18:54 ubuntu dstat.sh[79421]: 12-05 20:18:54| 89  11   0   0   0|1452M  959M  197M 5135M|  25k 1620 |   0   404k|   0  22.0 |1738  1364 |2.78 1.48 0.90|4.0   0 3.0|   0     0 |   0     0 |  9   28    0   14    0
May 12 20:18:55 ubuntu dstat.sh[79421]: 12-05 20:18:55| 62   8  29   1   0|1424M  986M  197M 5135M|1124k 1106k|   0  2552k|   0   136 |4979  9773 |2.78 1.48 0.90|4.0   0  50|   0     0 |   0     0 |  9   31    0   15    0
May 12 20:18:56 ubuntu dstat.sh[79421]: 12-05 20:18:56| 81  14   3   0   0|1325M 1085M  197M 5135M| 810k  769k|   0   200k|   0  12.0 |3465  7688 |2.96 1.54 0.92|4.0   0 288|   0     0 |   0     0 |  9   28    0   15    0
May 12 20:18:57 ubuntu dstat.sh[79421]: 12-05 20:18:57| 88  10   1   0   0|1461M  949M  197M 5135M| 567k  550k|   0    38M|   0   214 |3190  5507 |2.96 1.54 0.92|4.0   0 2.0|   0     0 |   0     0 |  9   29    0   16    0
May 12 20:18:58 ubuntu dstat.sh[79421]: 12-05 20:18:58| 82  15   3   0   0|1445M  965M  197M 5135M| 935k  915k|   0   293k|   0  21.1 |4264  9796 |2.96 1.54 0.92|6.0   0 249|   0     0 |   0     0 |  9   29    0   16    0
May 12 20:18:59 ubuntu dstat.sh[79421]: 12-05 20:18:59| 88  10   0   0   0|1469M  940M  197M 5135M| 348k  330k|   0   446k|   0  42.9 |3156  5198 |2.96 1.54 0.92|6.0   0 102|   0     0 |   0     0 |  9   29    0   14    0
May 12 20:19:00 ubuntu dstat.sh[79421]: 12-05 20:19:00| 84  14   2   0   0|1501M  908M  197M 5136M| 983k  968k|   0   357k|   0  23.1 |3784  9000 |2.96 1.54 0.92|7.0   0 197|   0     0 |   0     0 |  9   29    0   14    0
May 12 20:19:01 ubuntu dstat.sh[79421]: 12-05 20:19:01| 86  13   1   0   0|1509M  900M  198M 5136M| 931k  899k|   0   283k|   0  24.9 |5791  9135 |3.20 1.61 0.95|6.0   0  90|   0     0 |   0     0 |  9   30    0   15    0
May 12 20:19:02 ubuntu dstat.sh[79421]: 12-05 20:19:02| 87  12   1   0   0|1421M  988M  198M 5136M| 444k  419k|   0    22M|   0  81.2 |3575  5786 |3.20 1.61 0.95|7.0   0 140|   0     0 |   0     0 |  9   29    0   15    0
May 12 20:19:03 ubuntu dstat.sh[79421]: 12-05 20:19:03| 81  16   3   0   0|1502M  907M  198M 5136M|1236k 1216k|   0   300k|   0  25.0 |3980    15k|3.20 1.61 0.95|6.0   0 246|   0     0 |   0     0 |  9   30    0   16    0
May 12 20:19:04 ubuntu dstat.sh[79421]: 12-05 20:19:04| 88  10   1   0   0|1419M  989M  198M 5136M| 616k  598k|   0   374k|   0  26.9 |2981  6197 |3.20 1.61 0.95|4.0   0 138|   0     0 |   0     0 |  9   29    0   16    0
May 12 20:19:05 ubuntu dstat.sh[79421]: 12-05 20:19:05| 88  12   1   0   0|1448M  960M  198M 5137M| 453k  438k|   0   188k|   0  9.00 |2209  4471 |3.20 1.61 0.95|4.0   0  85|   0     0 |   0     0 |  9   30    0   16    0
May 12 20:19:06 ubuntu dstat.sh[79421]: 12-05 20:19:06| 80  16   4   0   0|1345M 1063M  198M 5137M| 970k  951k|   0   421k|   0  47.1 |3445  9040 |3.27 1.65 0.97|5.0   0 271|   0     0 |   0     0 |  9   29    0   16    0
May 12 20:19:07 ubuntu dstat.sh[79421]: 12-05 20:19:07| 83  15   0   0   0|1446M  961M  198M 5137M| 441k  424k|   0   542k|   0  32.9 |2865  5687 |3.27 1.65 0.97|7.0   0 280|   0     0 |   0     0 |  9   29    0   16    0
May 12 20:19:08 ubuntu dstat.sh[79421]: 12-05 20:19:08| 88  13   0   0   0|1510M  897M  198M 5137M| 650k  623k|   0   245k|   0  17.1 |3654  6583 |3.27 1.65 0.97|8.0   0 216|   0     0 |   0     0 |  9   30    0   16    0
May 12 20:19:09 ubuntu dstat.sh[79421]: 12-05 20:19:09| 87  11   1   0   0|1466M  941M  198M 5137M|1250k 1235k|   0   188k|   0  8.00 |3378  9061 |3.27 1.65 0.97|7.0   0 153|   0     0 |   0     0 |  9   29    0   16    0
May 12 20:19:10 ubuntu dstat.sh[79421]: 12-05 20:19:10| 85  14   1   0   0|1459M  948M  198M 5137M| 756k  739k|   0   200k|   0  11.0 |3676  7433 |3.27 1.65 0.97|7.0   0 199|   0     0 |   0     0 |  9   30    0   16    0
May 12 20:19:11 ubuntu dstat.sh[79421]: 12-05 20:19:11| 86  12   1   0   0|1516M  891M  198M 5138M| 947k  926k|   0   188k|   0  8.01 |3272  7866 |3.57 1.74 1.00|5.0   0 147|   0     0 |   0     0 |  9   30    0   16    0
May 12 20:19:12 ubuntu dstat.sh[79421]: 12-05 20:19:12| 82  15   2   0   0|1407M  999M  198M 5138M| 993k  968k|   0  1870k|   0  85.9 |4086  8956 |3.57 1.74 1.00|6.0   0 252|   0     0 |   0     0 |  9   28    0   16    0
May 12 20:19:13 ubuntu dstat.sh[79421]: 12-05 20:19:13| 85  14   0   0   0|1414M  992M  198M 5138M| 427k  412k|   0   296k|   0  20.0 |3188  5347 |3.57 1.74 1.00|8.0   0 158|   0     0 |   0     0 |  9   29    0   16    0
May 12 20:19:14 ubuntu dstat.sh[79421]: 12-05 20:19:14| 86  13   1   0   0|1468M  938M  198M 5138M|1108k 1094k|   0   284k|   0  21.0 |3733  8771 |3.57 1.74 1.00|7.0   0 188|   0     0 |   0     0 |  9   31    0   16    0
May 12 20:19:15 ubuntu dstat.sh[79421]: 12-05 20:19:15| 81  16   4   0   0|1405M 1001M  198M 5139M|1308k 1290k|   0   160k|   0  9.00 |4159    10k|3.57 1.74 1.00|4.0   0 297|   0     0 |   0     0 |  9   29    0   16    0
May 12 20:19:16 ubuntu dstat.sh[79421]: 12-05 20:19:16| 42  18  38   0   0|1298M 1107M  198M 5139M| 718k  703k|   0   359k|   0  23.0 |4360  9306 |3.52 1.76 1.01|2.0   0 507|   0     0 |   0     0 |  9   29    0   16    0
May 12 20:19:17 ubuntu dstat.sh[79421]: 12-05 20:19:17| 16  12  71   0   0|1234M 1171M  198M 5139M| 133k  116k|   0   228k|   0  14.0 |2432  3724 |3.52 1.76 1.01|2.0   0 200|   0     0 |   0     0 |  9   28    0   16    0
May 12 20:19:18 ubuntu dstat.sh[79421]: 12-05 20:19:18| 49  32  19   0   0|1331M 1074M  198M 5139M|  23k 1622 |   0   208k|   0  23.0 |2470  6217 |3.52 1.76 1.01|7.0   0 777|   0     0 |   0     0 |  9   28    0   16    0
May 12 20:19:19 ubuntu dstat.sh[79421]: 12-05 20:19:19| 84  15   1   0   0|1489M  916M  198M 5139M| 454k  441k|   0   576k|   0  41.0 |2930  5481 |3.52 1.76 1.01|8.0   0 184|   0     0 |   0     0 |  9   30    0   16    0
May 12 20:19:20 ubuntu dstat.sh[79421]: 12-05 20:19:20| 79  17   3   0   0|1349M 1056M  198M 5140M| 674k  658k|   0   516k|   0  50.0 |4005  8434 |3.52 1.76 1.01|6.0   0 377|   0     0 |   0     0 |  9   28    0   16    0
May 12 20:19:21 ubuntu dstat.sh[79421]: 12-05 20:19:21| 85  14   1   0   0|1431M  974M  198M 5140M| 533k  514k|  28k  288k|2.00  15.0 |3382  6007 |3.72 1.83 1.04|5.0   0  95|   0     0 |   0     0 |  9   29    0   16    0
May 12 20:19:22 ubuntu dstat.sh[79421]: 12-05 20:19:22| 84  11   5   0   0|1529M  875M  198M 5140M|1416k 1400k|   0  6023k|   0   128 |4348    11k|3.72 1.83 1.04|5.0   0  43|   0     0 |   0     0 |  9   32    0   17    0
May 12 20:19:23 ubuntu dstat.sh[79421]: 12-05 20:19:23| 65   8  27   0   0|1513M  891M  198M 5141M|1374k 1357k|   0   164k|   0  8.02 |5108    12k|3.72 1.83 1.04|6.0   0  19|   0     0 |   0     0 |  9   32    0   22    0
May 12 20:19:24 ubuntu dstat.sh[79421]: 12-05 20:19:24| 73   9  16   0   0|1432M  971M  198M 5141M|1132k 1118k|   0   304k|   0  26.0 |4253    10k|3.72 1.83 1.04| 10   0  85|   0     0 |   0     0 |  9   30    0   23    0
May 12 20:19:25 ubuntu dstat.sh[79421]: 12-05 20:19:25| 84  14   1   0   0|1440M  964M  198M 5141M| 878k  855k|   0   188k|   0  11.0 |4217  8871 |3.72 1.83 1.04|6.0   0  80|   0     0 |   0     0 |  9   29    0   23    0
May 12 20:19:26 ubuntu dstat.sh[79421]: 12-05 20:19:26| 85  12   2   0   0|1498M  903M  198M 5143M|1134k 1117k|   0   287k|   0  23.9 |3874    10k|3.82 1.89 1.06|6.0   0  52|   0     0 |   0     0 |  9   29    0   24    1
May 12 20:19:27 ubuntu dstat.sh[79421]: 12-05 20:19:27| 69   8  24   0   0|1549M  851M  198M 5144M|1320k 1303k|   0     0 |   0     0 |5273    11k|3.82 1.89 1.06|3.0   0   0|   0     0 |   0     0 |  9   33    0   29    0
May 12 20:19:28 ubuntu dstat.sh[79421]: 12-05 20:19:28| 59   9  30   0   0|1513M  886M  198M 5144M|1307k 1286k|   0   836k|   0  33.0 |4155  9896 |3.82 1.89 1.06|4.0   0  51|   0     0 |   0     0 |  9   32    0   30    0
May 12 20:19:29 ubuntu dstat.sh[79421]: 12-05 20:19:29| 82  12   6   0   0|1484M  915M  198M 5145M|1045k 1025k|   0   371k|   0  33.9 |3732  8335 |3.82 1.89 1.06|6.0   0  70|   0     0 |   0     0 |  9   29    0   31    0
May 12 20:19:30 ubuntu dstat.sh[79421]: 12-05 20:19:30| 87   9   2   0   0|1462M  937M  198M 5145M| 899k  884k|   0   152k|   0  9.02 |3074  7270 |3.82 1.89 1.06|4.0   0  88|   0     0 |   0     0 |  9   31    0   30    0
May 12 20:19:31 ubuntu dstat.sh[79421]: 12-05 20:19:31| 85  11   4   0   0|1470M  929M  198M 5145M|1565k 1549k|   0   148k|   0  7.99 |3413    11k|4.08 1.97 1.09|5.0   0 130|   0     0 |   0     0 |  9   31    0   31    0
