-- Logs begin at Wed 2022-11-02 12:53:20 UTC, end at Wed 2022-11-02 15:11:44 UTC. --
Nov 02 14:28:16 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Nov 02 14:28:16 ubuntu dstat.sh[71630]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Nov 02 14:28:16 ubuntu dstat.sh[71630]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Nov 02 14:29:01 ubuntu dstat.sh[71630]: 02-11 14:29:01| 29   4  66   0   0|1424M 1051M  177M 5103M|1475k  147k|   0   436k|   0  9.00 |3168  3164 |1.83 0.99 0.65|4.0   0 1.0|   0     0 |   0     0 |  9   38    0   11    2
Nov 02 14:29:02 ubuntu dstat.sh[71630]: 02-11 14:29:02| 22  14  62   1   0|1294M 1176M  177M 5108M|2540k  138k|   0   196k|   0  15.0 |5239  5675 |1.83 0.99 0.65|2.0   0 253|   0     0 |   0     0 |  9   36    0   11    2
Nov 02 14:29:03 ubuntu dstat.sh[71630]: 02-11 14:29:03| 22  25  51   1   0|1322M 1144M  177M 5111M|1657k   35k|   0  4011k|   0  31.1 |4474  5439 |1.83 0.99 0.65|8.0   0 612|   0     0 |   0     0 |  9   36    0   11    2
Nov 02 14:29:04 ubuntu dstat.sh[71630]: 02-11 14:29:04| 81  18   1   0   0|1430M 1034M  177M 5114M|1626k   36k|   0  4428k|   0  21.0 |3660  3358 |1.83 0.99 0.65|7.0   0 181|   0     0 |   0     0 |  9   34    0   11    2
Nov 02 14:29:05 ubuntu dstat.sh[71630]: 02-11 14:29:05| 88  10   1   0   0|1554M  909M  177M 5115M| 929k  695k|   0  2317k|   0  66.9 |4745  9583 |2.08 1.06 0.67|6.0 1.0 2.0|   0     0 |   0     0 |  9   37    0   12    2
Nov 02 14:29:06 ubuntu dstat.sh[71630]: 02-11 14:29:06| 83   9   7   0   1|1494M  968M  177M 5115M|1394k 1177k|   0  2158k|   0   120 |8475    18k|2.08 1.06 0.67|5.0 1.0  66|   0     0 |   0     0 |  9   35    0   13    2
Nov 02 14:29:07 ubuntu dstat.sh[71630]: 02-11 14:29:07| 84  15   1   0   0|1454M 1008M  177M 5115M| 225k  154k|   0  1364k|   0  30.0 |2952  5157 |2.08 1.06 0.67|9.0   0 229|   0     0 |   0     0 |  9   35    0   13    2
Nov 02 14:29:08 ubuntu dstat.sh[71630]: 02-11 14:29:08| 89  11   1   0   0|1586M  875M  177M 5117M|1004k  852k|   0  1880k|   0  49.0 |5078  9703 |2.08 1.06 0.67|7.0   0  29|   0     0 |   0     0 |  9   36    0   13    2
Nov 02 14:29:09 ubuntu dstat.sh[71630]: 02-11 14:29:09| 81  12   6   0   0|1505M  955M  177M 5117M|1384k 1250k|   0  1560k|   0  62.0 |6538    16k|2.08 1.06 0.67|4.0   0 101|   0     0 |   0     0 |  9   36    0   15    2
Nov 02 14:29:10 ubuntu dstat.sh[71630]: 02-11 14:29:10| 59  10  29   1   0|1262M 1197M  177M 5118M| 699k  642k|   0  1610k|   0  70.9 |4111    11k|2.23 1.11 0.69|3.0   0 202|   0     0 |   0     0 |  9   34    0   15    2
Nov 02 14:29:11 ubuntu dstat.sh[71630]: 02-11 14:29:11| 48   7  46   1   0|1354M 1105M  177M 5118M|  60k 6005 |   0   896k|   0  16.0 |1399  1398 |2.23 1.11 0.69|3.0   0 2.0|   0     0 |   0     0 |  9   34    0   12    2
Nov 02 14:29:12 ubuntu dstat.sh[71630]: 02-11 14:29:12| 46  11  42   1   0|1308M 1151M  177M 5118M| 641k  600k|   0   997k|   0  56.1 |4798  9299 |2.23 1.11 0.69|3.0   0 161|   0     0 |   0     0 |  9   35    0   13    2
Nov 02 14:29:13 ubuntu dstat.sh[71630]: 02-11 14:29:13| 73  16  11   0   0|1387M 1072M  177M 5118M| 252k  196k|   0  1092k|   0  28.0 |3160  7777 |2.23 1.11 0.69|6.0   0 253|   0     0 |   0     0 |  9   34    0   13    2
Nov 02 14:29:14 ubuntu dstat.sh[71630]: 02-11 14:29:14| 69   7  23   0   0|1438M 1019M  178M 5119M| 705k  554k|   0  1012k|   0  34.0 |3372    11k|2.23 1.11 0.69|3.0   0 3.0|   0     0 |   0     0 |  9   37    0   15    2
Nov 02 14:29:15 ubuntu dstat.sh[71630]: 02-11 14:29:15| 65  17  16   1   0|1333M 1124M  178M 5120M| 635k  492k|   0    15M|   0   224 |5429  9897 |2.54 1.19 0.72|5.0   0 266|   0     0 |   0     0 |  9   34    0   14    2
Nov 02 14:29:16 ubuntu dstat.sh[71630]: 02-11 14:29:16| 88  11   1   1   0|1498M  958M  178M 5121M| 614k   68k|   0  2176k|   0  20.0 |2459  2519 |2.54 1.19 0.72|6.0   0   0|   0     0 |   0     0 |  9   34    0   14    2
Nov 02 14:29:17 ubuntu dstat.sh[71630]: 02-11 14:29:17| 70  12  16   1   0|1381M 1072M  178M 5123M|2149k 1233k|   0  1988k|   0  75.0 |7759    17k|2.54 1.19 0.72|7.0   0 197|   0     0 |   0     0 |  9   36    0   15    2
Nov 02 14:29:18 ubuntu dstat.sh[71630]: 02-11 14:29:18| 81  13   5   0   0|1375M 1078M  178M 5124M|1063k  498k|   0  1342k|   0  29.0 |3802  6556 |2.54 1.19 0.72|5.0   0 134|   0     0 |   0     0 |  9   34    0   15    2
Nov 02 14:29:19 ubuntu dstat.sh[71630]: 02-11 14:29:19| 67   8  24   1   0|1447M 1005M  178M 5124M| 682k  591k|   0  1250k|   0  37.1 |3651  7129 |2.54 1.19 0.72|5.0   0 1.0|   0     0 |   0     0 |  9   37    0   16    2
Nov 02 14:29:20 ubuntu dstat.sh[71630]: 02-11 14:29:20| 61  17  21   1   0|1308M 1144M  178M 5124M| 683k  620k|   0    34M|   0   199 |5076    11k|2.49 1.20 0.73|3.0   0 307|   0     0 |   0     0 |  9   34    0   18    2
Nov 02 14:29:21 ubuntu dstat.sh[71630]: 02-11 14:29:21| 67  10  22   1   0|1433M 1019M  178M 5124M|  96k   46k|   0  1806k|   0  22.9 |1832  1902 |2.49 1.20 0.73|3.0   0   0|   0     0 |   0     0 |  9   35    0   18    2
Nov 02 14:29:22 ubuntu dstat.sh[71630]: 02-11 14:29:22| 73  10  17   0   0|1448M 1000M  178M 5127M|1097k 1023k|   0  1544k|   0  54.1 |5015    12k|2.49 1.20 0.73|4.0 1.0 4.0|   0     0 |   0     0 |  9   35    0   20    2
Nov 02 14:29:23 ubuntu dstat.sh[71630]: 02-11 14:29:23| 64  15  20   0   0|1355M 1093M  178M 5127M| 323k   55k|   0   970k|   0  20.0 |2613  4087 |2.49 1.20 0.73|4.0   0 293|   0     0 |   0     0 |  9   34    0   18    2
Nov 02 14:29:24 ubuntu dstat.sh[71630]: 02-11 14:29:24| 68   8  24   0   0|1448M  998M  178M 5129M|1139k  264k|   0   870k|   0  24.0 |3446  4456 |2.49 1.20 0.73|5.0   0 1.0|   0     0 |   0     0 |  9   35    0   19    2
Nov 02 14:29:25 ubuntu dstat.sh[71630]: 02-11 14:29:25| 69  13  18   1   0|1304M 1137M  179M 5133M| 773k  659k|   0  3642k|   0   127 |4773    11k|2.61 1.25 0.75|6.0   0 118|   0     0 |   0     0 |  9   34    0   20    2
Nov 02 14:29:26 ubuntu dstat.sh[71630]: 02-11 14:29:26| 71   8  20   2   0|1429M 1010M  179M 5134M| 581k   19k|   0  8686k|   0   212 |2274  1973 |2.61 1.25 0.75|5.0   0 2.0|   0     0 |   0     0 |  9   34    0   20    2
Nov 02 14:29:27 ubuntu dstat.sh[71630]: 02-11 14:29:27| 63  10  26   1   0|1387M 1052M  179M 5135M|1207k  841k|   0  1236k|   0  60.0 |6205    13k|2.61 1.25 0.75|4.0   0  52|   0     0 |   0     0 |  9   35    0   22    2
Nov 02 14:29:28 ubuntu dstat.sh[71630]: 02-11 14:29:28| 78  19   3   0   0|1393M 1046M  179M 5135M| 135k   62k|   0  1404k|   0  45.0 |2682  4487 |2.61 1.25 0.75|6.0   0 379|   0     0 |   0     0 |  9   34    0   22    2
Nov 02 14:29:29 ubuntu dstat.sh[71630]: 02-11 14:29:29| 86  13   0   0   0|1533M  905M  179M 5136M| 233k  208k|   0  1363k|   0  42.0 |2658  4384 |2.61 1.25 0.75|6.0   0 107|   0     0 |   0     0 |  9   35    0   22    2
Nov 02 14:29:30 ubuntu dstat.sh[71630]: 02-11 14:29:30| 87  13   1   0   0|1521M  917M  179M 5136M| 642k  471k|   0  2025k|   0  96.1 |5172  9824 |2.97 1.34 0.78|8.0   0 190|   0     0 |   0     0 |  9   34    0   22    2
Nov 02 14:29:31 ubuntu dstat.sh[71630]: 02-11 14:29:31| 87  13   0   0   0|1528M  910M  179M 5136M| 309k  173k|   0  2493k|   0  37.0 |2904  4929 |2.97 1.34 0.78|8.0   0 180|   0     0 |   0     0 |  9   35    0   22    2
Nov 02 14:29:32 ubuntu dstat.sh[71630]: 02-11 14:29:32| 88  12   1   0   0|1555M  881M  179M 5137M| 710k  685k|   0  1504k|   0  48.0 |4427  9199 |2.97 1.34 0.78|7.0   0 155|   0     0 |   0     0 |  9   37    0   23    2
Nov 02 14:29:33 ubuntu dstat.sh[71630]: 02-11 14:29:33| 82  16   2   0   0|1501M  936M  179M 5137M|1050k  998k|   0  1932k|   0  53.0 |5543    12k|2.97 1.34 0.78|6.0   0 230|   0     0 |   0     0 |  9   35    0   27    2
Nov 02 14:29:34 ubuntu dstat.sh[71630]: 02-11 14:29:34| 71  19   7   0   0|1406M 1030M  179M 5138M| 727k  708k|   0  1390k|   0  41.8 |5526    13k|2.97 1.34 0.78|5.0   0 417|   0     0 |   0     0 |  9   36    0   27    2
Nov 02 14:29:35 ubuntu dstat.sh[71630]: 02-11 14:29:35| 57  25  17   0   0|1318M 1113M  180M 5140M| 563k  539k|   0  1422k|   0  36.1 |5107    12k|3.13 1.41 0.80|3.0   0 459|   0     0 |   0     0 |  9   34    0   27    2
Nov 02 14:29:36 ubuntu dstat.sh[71630]: 02-11 14:29:36| 29  26  41   3   0|1253M 1164M  180M 5153M|9503  1620 |   0  8991k|   0  92.0 |3063  5186 |3.13 1.41 0.80|3.0   0 570|   0     0 |   0     0 |  9   34    0   27    2
Nov 02 14:29:37 ubuntu dstat.sh[71630]: 02-11 14:29:37| 67  26   5   1   1|1370M 1033M  180M 5165M|  12k 1620 |   0  3189k|   0   102 |2526  5121 |3.13 1.41 0.80|6.0   0 570|   0     0 |   0     0 |  9   34    0   27    2
Nov 02 14:29:38 ubuntu dstat.sh[71630]: 02-11 14:29:38| 81  19   0   0   0|1473M  918M  181M 5174M| 457k  449k|   0  5187k|   0   164 |4123  7260 |3.13 1.41 0.80|9.0   0 251|   0     0 |   0     0 |  9   36    0   27    2
Nov 02 14:29:39 ubuntu dstat.sh[71630]: 02-11 14:29:39| 81  16   1   1   0|1434M  944M  182M 5186M| 419k  409k|   0  3583k|   0   124 |4734  9016 |3.13 1.41 0.80|6.0   0 251|   0     0 |   0     0 |  9   34    0   27    2
Nov 02 14:29:40 ubuntu dstat.sh[71630]: 02-11 14:29:40| 87  11   0   0   0|1502M  861M  182M 5199M| 191k  184k|   0  2556k|   0  65.0 |2788  4273 |3.36 1.48 0.83|6.0   0  70|   0     0 |   0     0 |  9   36    0   27    2
Nov 02 14:29:41 ubuntu dstat.sh[71630]: 02-11 14:29:41| 83  14   3   0   0|1461M  900M  182M 5200M| 886k  879k|   0  3668k|   0  83.0 |5572    13k|3.36 1.48 0.83|5.0   0 110|   0     0 |   0     0 |  9   37    0   27    2
Nov 02 14:29:42 ubuntu dstat.sh[71630]: 02-11 14:29:42| 87  11   2   0   0|1563M  798M  182M 5201M|1133k 1122k|   0  1362k|   0  50.8 |4961    15k|3.36 1.48 0.83|6.0 1.0  29|   0     0 |   0     0 |  9   37    0   28    2
Nov 02 14:29:43 ubuntu dstat.sh[71630]: 02-11 14:29:43| 86  10   2   0   0|1443M  937M  182M 5182M|1033k 1025k|   0  1647k|   0  62.3 |5011    14k|3.36 1.48 0.83|7.0   0  53|   0     0 |   0     0 |  9   34    0   28    0
Nov 02 14:29:44 ubuntu dstat.sh[71630]: 02-11 14:29:44| 85  14   1   0   0|1545M  835M  183M 5182M|1027k 1019k|   0  1900k|   0  73.0 |  10k   23k|3.36 1.48 0.83|6.0   0  24|   0     0 |   0     0 |  9   33    0   25    0
Nov 02 14:29:45 ubuntu dstat.sh[71630]: 02-11 14:29:45| 87  11   1   0   0|1430M  949M  183M 5183M| 535k  525k|   0  2191k|   0  40.0 |4825  9965 |3.73 1.59 0.87|9.0   0 139|   0     0 |   0     0 |  9   34    0   26    0
Nov 02 14:29:46 ubuntu dstat.sh[71630]: 02-11 14:29:46| 89  10   0   0   0|1552M  827M  183M 5183M| 688k  680k|   0  6771k|   0   158 |4626    13k|3.73 1.59 0.87|7.0   0 7.0|   0     0 |   0     0 |  9   35    0   24    0
Nov 02 14:29:47 ubuntu dstat.sh[71630]: 02-11 14:29:47| 84  12   3   0   0|1570M  808M  183M 5184M|1256k 1249k|   0   695k|   0  37.0 |6709    37k|3.73 1.59 0.87|4.0   0 8.0|   0     0 |   0     0 |  9   36    0   24    0
Nov 02 14:29:48 ubuntu dstat.sh[71630]: 02-11 14:29:48| 87  12   1   0   0|1415M  963M  183M 5184M|1379k 1362k|   0   745k|   0  38.0 |5846    18k|3.73 1.59 0.87|5.0   0 168|   0     0 |   0     0 |  9   35    0   24    0
Nov 02 14:29:49 ubuntu dstat.sh[71630]: 02-11 14:29:49| 88  10   0   0   0|1513M  863M  183M 5185M|1202k 1193k|   0  1112k|   0  35.9 |4787    15k|3.73 1.59 0.87|6.0   0  21|   0     0 |   0     0 |  9   34    0   24    0
Nov 02 14:29:50 ubuntu dstat.sh[71630]: 02-11 14:29:50| 86  13   1   0   0|1304M 1073M  183M 5185M| 569k  562k|   0   627k|   0  45.2 |4002  9468 |3.99 1.68 0.90|7.0   0 166|   0     0 |   0     0 |  9   33    0   24    0
Nov 02 14:29:51 ubuntu dstat.sh[71630]: 02-11 14:29:51| 85  15   1   0   0|1446M  929M  183M 5187M| 634k  628k|   0  2828k|   0  32.0 |4150  9335 |3.99 1.68 0.90|5.0   0 102|   0     0 |   0     0 |  9   33    0   24    0
Nov 02 14:29:52 ubuntu dstat.sh[71630]: 02-11 14:29:52| 88  10   1   0   0|1395M  980M  183M 5187M|1011k 1003k|   0   873k|   0  53.8 |5303    12k|3.99 1.68 0.90|6.0   0  49|   0     0 |   0     0 |  9   34    0   24    0
Nov 02 14:29:53 ubuntu dstat.sh[71630]: 02-11 14:29:53| 86  12   1   0   0|1449M  926M  183M 5187M|1047k 1038k|   0  1659k|   0  42.2 |4681    12k|3.99 1.68 0.90|5.0   0  55|   0     0 |   0     0 |  9   34    0   24    0
