-- Logs begin at Tue 2022-05-10 19:24:38 UTC, end at Tue 2022-05-10 20:30:03 UTC. --
May 10 20:09:31 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
May 10 20:09:32 ubuntu dstat.sh[71185]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
May 10 20:09:32 ubuntu dstat.sh[71185]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
May 10 20:10:48 ubuntu dstat.sh[71185]: 10-05 20:10:48| 84  16   0   0   0|1439M  965M  199M 5141M| 899k  623k|   0   316k|   0  11.0 |2657  5673 |3.53 1.65 0.89|7.0   0 194|   0     0 |   0     0 |  9   29    0   28    0
May 10 20:10:49 ubuntu dstat.sh[71185]: 10-05 20:10:49| 84  15   0   0   0|1435M  969M  199M 5141M| 877k  780k|   0  1400k|   0  33.9 |4565  8445 |3.53 1.65 0.89| 12   0 170|   0     0 |   0     0 |  9   30    0   28    0
May 10 20:10:50 ubuntu dstat.sh[71185]: 10-05 20:10:50| 82  16   1   0   0|1419M  984M  199M 5142M|1011k  958k|   0  2395k|   0  45.1 |4462  9534 |3.53 1.65 0.89|8.0   0 211|   0     0 |   0     0 |  9   29    0   28    0
May 10 20:10:51 ubuntu dstat.sh[71185]: 10-05 20:10:51| 82  16   1   0   0|1471M  932M  199M 5142M|1012k  980k|   0   708k|   0  30.0 |4829  9529 |3.81 1.74 0.93|7.0   0 152|   0     0 |   0     0 |  9   29    0   28    0
May 10 20:10:52 ubuntu dstat.sh[71185]: 10-05 20:10:52| 73  19   8   0   0|1420M  983M  199M 5143M|1272k 1170k|   0   614k|   0  19.9 |4684    12k|3.81 1.74 0.93|5.0   0 441|   0     0 |   0     0 |  9   31    0   29    0
May 10 20:10:53 ubuntu dstat.sh[71185]: 10-05 20:10:53| 40  19  40   0   1|1233M 1169M  199M 5143M|1334k  744k|   0   537k|   0  17.0 |4143  8433 |3.81 1.74 0.93|1.0   0 432|   0     0 |   0     0 |  9   28    0   29    0
May 10 20:10:54 ubuntu dstat.sh[71185]: 10-05 20:10:54| 25  26  48   0   0|1273M 1129M  199M 5143M| 179k 1622 |   0   356k|   0  24.0 |3203  5487 |3.81 1.74 0.93|4.0   0 657|   0     0 |   0     0 |  9   28    0   29    0
May 10 20:10:55 ubuntu dstat.sh[71185]: 10-05 20:10:55| 81  19   0   0   0|1425M  977M  199M 5143M| 243k   47k|   0   372k|   0  23.0 |2239  3877 |3.81 1.74 0.93|8.0   0 396|   0     0 |   0     0 |  9   29    0   29    0
May 10 20:10:56 ubuntu dstat.sh[71185]: 10-05 20:10:56| 82  15   2   0   0|1397M 1005M  199M 5143M| 931k  844k|   0  2496k|   0   117 |5372    10k|4.06 1.83 0.96|6.0   0 187|   0     0 |   0     0 |  9   29    0   29    0
May 10 20:10:57 ubuntu dstat.sh[71185]: 10-05 20:10:57| 82  17   1   0   0|1420M  982M  199M 5143M| 413k  398k|  28k 1100k|2.00  28.0 |2743  6836 |4.06 1.83 0.96|7.0   0 319|   0     0 |   0     0 |  9   29    0   29    0
May 10 20:10:58 ubuntu dstat.sh[71185]: 10-05 20:10:58| 88  12   1   0   0|1486M  915M  199M 5144M|1468k 1105k|   0   396k|   0  9.00 |3033  9252 |4.06 1.83 0.96|4.0   0  84|   0     0 |   0     0 |  9   31    0   29    0
May 10 20:10:59 ubuntu dstat.sh[71185]: 10-05 20:10:59| 80   9  10   0   0|1498M  903M  199M 5144M|1635k 1579k|   0   467k|   0  9.97 |4131    12k|4.06 1.83 0.96|3.0   0  18|   0     0 |   0     0 |  9   32    0   32    0
May 10 20:11:00 ubuntu dstat.sh[71185]: 10-05 20:11:00| 81  11   6   0   1|1438M  963M  199M 5144M|1562k 1484k|   0   562k|   0  22.1 |4081    12k|4.06 1.83 0.96|5.0   0  56|   0     0 |   0     0 |  9   29    0   32    0
May 10 20:11:01 ubuntu dstat.sh[71185]: 10-05 20:11:01| 83  16   1   0   0|1460M  941M  199M 5144M| 842k  809k|   0   436k|   0  9.99 |3811  8020 |4.22 1.90 0.99|5.0   0 111|   0     0 |   0     0 |  9   30    0   32    0
May 10 20:11:02 ubuntu dstat.sh[71185]: 10-05 20:11:02| 77  10  13   0   0|1544M  854M  199M 5147M|1347k 1295k|   0   416k|   0  10.0 |4700    11k|4.22 1.90 0.99|2.0   0   0|   0     0 |   0     0 |  9   33    0   36    0
May 10 20:11:03 ubuntu dstat.sh[71185]: 10-05 20:11:03| 69  10  19   1   0|1458M  939M  199M 5148M|1511k 1484k|   0   609k|   0  33.0 |4852    12k|4.22 1.90 0.99|5.0   0  93|   0     0 |   0     0 |  9   31    0   36    0
May 10 20:11:04 ubuntu dstat.sh[71185]: 10-05 20:11:04| 87  13   1   0   0|1426M  971M  199M 5148M|1466k 1437k|   0   876k|   0  31.0 |3886    10k|4.22 1.90 0.99|5.0   0  77|   0     0 |   0     0 |  9   29    0   35    0
May 10 20:11:05 ubuntu dstat.sh[71185]: 10-05 20:11:05| 89  10   0   0   0|1501M  895M  199M 5149M|1094k  979k|   0   710k|   0  18.9 |3809  7960 |4.22 1.90 0.99|5.0   0  53|   0     0 |   0     0 |  9   30    0   35    0
May 10 20:11:06 ubuntu dstat.sh[71185]: 10-05 20:11:06| 76  11  13   0   0|1508M  888M  199M 5149M|1398k 1369k|   0   406k|   0  9.03 |5703    12k|4.20 1.93 1.00|7.0   0 136|   0     0 |   0     0 |  9   32    0   37    0
May 10 20:11:07 ubuntu dstat.sh[71185]: 10-05 20:11:07| 69   8  21   0   0|1546M  850M  199M 5149M|1599k 1210k|   0   216k|   0  9.98 |6446    11k|4.20 1.93 1.00|4.0   0   0|   0     0 |   0     0 |  9   31    0   40    0
May 10 20:11:08 ubuntu dstat.sh[71185]: 10-05 20:11:08| 76  12  12   0   0|1480M  915M  199M 5150M|1422k 1292k|   0   558k|   0  21.9 |5029    12k|4.20 1.93 1.00|5.0   0 173|   0     0 |   0     0 |  9   30    0   42    0
May 10 20:11:09 ubuntu dstat.sh[71185]: 10-05 20:11:09| 86  13   2   0   0|1465M  930M  199M 5150M|1330k 1066k|   0   728k|   0  16.1 |3909  9441 |4.20 1.93 1.00|6.0   0 160|   0     0 |   0     0 |  9   30    0   42    0
May 10 20:11:10 ubuntu dstat.sh[71185]: 10-05 20:11:10| 84  13   2   0   0|1466M  929M  199M 5150M| 924k  886k|   0   758k|   0  65.8 |5308  9155 |4.20 1.93 1.00|5.0   0 128|   0     0 |   0     0 |  9   29    0   40    0
