-- Logs begin at Mon 2022-07-04 08:35:34 UTC, end at Mon 2022-07-04 10:08:35 UTC. --
Jul 04 09:32:49 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Jul 04 09:32:49 ubuntu dstat.sh[86284]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Jul 04 09:32:49 ubuntu dstat.sh[86284]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Jul 04 09:33:39 ubuntu dstat.sh[86284]: 04-07 09:33:39| 89  10   1   0   0|1300M 1096M  193M 5153M| 884k  872k|   0  1883k|   0  48.2 |5728    11k|1.81 0.89 0.57|6.0   0  68|   0     0 |   0     0 |  9   32    0   13    0
Jul 04 09:33:40 ubuntu dstat.sh[86284]: 04-07 09:33:40| 87  13   0   0   0|1386M 1011M  193M 5153M| 268k  252k|   0   524k|   0  15.0 |5040  8619 |1.81 0.89 0.57|8.0   0 156|   0     0 |   0     0 |  9   34    0   13    0
Jul 04 09:33:41 ubuntu dstat.sh[86284]: 04-07 09:33:41| 86  13   1   0   0|1417M  980M  193M 5153M| 977k  968k|   0   614k|   0  68.7 |7007    31k|1.81 0.89 0.57|8.0   0 138|   0     0 |   0     0 |  9   34    0   13    0
Jul 04 09:33:42 ubuntu dstat.sh[86284]: 04-07 09:33:42| 89  10   1   0   0|1364M 1033M  193M 5153M| 449k  439k|   0  2955k|   0  65.2 |4798  8834 |1.81 0.89 0.57|8.0   0 125|   0     0 |   0     0 |  9   32    0   13    0
Jul 04 09:33:43 ubuntu dstat.sh[86284]: 04-07 09:33:43| 85  14   0   0   0|1409M  987M  193M 5154M| 731k  724k|   0   562k|   0  43.8 |4658    10k|2.23 0.99 0.60| 10   0  53|   0     0 |   0     0 |  9   34    0   13    0
Jul 04 09:33:44 ubuntu dstat.sh[86284]: 04-07 09:33:44| 88  12   1   0   0|1461M  935M  193M 5154M| 754k  745k|   0   468k|   0  34.0 |5931    11k|2.23 0.99 0.60|6.0   0  72|   0     0 |   0     0 |  9   34    0   13    0
Jul 04 09:33:45 ubuntu dstat.sh[86284]: 04-07 09:33:45| 85  14   0   0   0|1411M  984M  193M 5155M| 838k  824k|   0   634k|   0  31.1 |4772    10k|2.23 0.99 0.60|5.0 1.0  72|   0     0 |   0     0 |  9   35    0   11    0
Jul 04 09:33:46 ubuntu dstat.sh[86284]: 04-07 09:33:46| 74  11  13   0   1|1319M 1076M  193M 5155M|1177k 1170k|   0   613k|   0  53.1 |6814    16k|2.23 0.99 0.60|5.0   0 106|   0     0 |   0     0 |  9   33    0   14    0
Jul 04 09:33:47 ubuntu dstat.sh[86284]: 04-07 09:33:47| 74  22   4   0   0|1244M 1150M  193M 5155M| 192k  184k|   0  8529k|   0   384 |3844  7470 |2.23 0.99 0.60|5.0   0 561|   0     0 |   0     0 |  9   32    0   14    0
Jul 04 09:33:48 ubuntu dstat.sh[86284]: 04-07 09:33:48| 84  11   4   0   0|1332M 1062M  193M 5155M| 401k  392k|   0   428k|   0  20.0 |3185  6231 |2.45 1.05 0.63|3.0 1.0  49|   0     0 |   0     0 |  9   35    0   15    0
Jul 04 09:33:49 ubuntu dstat.sh[86284]: 04-07 09:33:49| 53   6  39   0   0|1282M 1112M  193M 5156M|1214k 1206k|   0  1236k|   0  98.0 |7494    16k|2.45 1.05 0.63|4.0   0  11|   0     0 |   0     0 |  9   34    0   18    0
Jul 04 09:33:50 ubuntu dstat.sh[86284]: 04-07 09:33:50| 78  16   4   0   0|1246M 1148M  193M 5156M| 313k  302k|   0   388k|   0  27.0 |3984  7641 |2.45 1.05 0.63|4.0   0 331|   0     0 |   0     0 |  9   32    0   18    0
Jul 04 09:33:51 ubuntu dstat.sh[86284]: 04-07 09:33:51| 75  11  12   0   0|1284M 1110M  193M 5156M| 864k  858k|   0   512k|   0  55.0 |6147    12k|2.45 1.05 0.63|4.0   0  50|   0     0 |   0     0 |  9   35    0   21    0
Jul 04 09:33:52 ubuntu dstat.sh[86284]: 04-07 09:33:52| 76  16   7   1   0|1212M 1181M  193M 5156M| 751k  745k|   0  2016k|   0   162 |4965    12k|2.45 1.05 0.63|5.0   0 298|   0     0 |   0     0 |  9   32    0   23    0
Jul 04 09:33:53 ubuntu dstat.sh[86284]: 04-07 09:33:53| 88  12   0   0   0|1360M 1034M  193M 5156M| 452k  445k|   0   536k|   0  34.0 |3097  6448 |2.65 1.12 0.65|5.0   0 2.0|   0     0 |   0     0 |  9   33    0   23    0
Jul 04 09:33:54 ubuntu dstat.sh[86284]: 04-07 09:33:54| 69  19   9   0   0|1312M 1081M  193M 5156M|1212k 1205k|   0  1030k|   0  88.8 |7880    18k|2.65 1.12 0.65|6.0   0 280|   0     0 |   0     0 |  9   34    0   24    0
Jul 04 09:33:55 ubuntu dstat.sh[86284]: 04-07 09:33:55| 85  14   2   0   0|1244M 1148M  193M 5157M| 668k  661k|   0   589k|   0  45.1 |4045  8733 |2.65 1.12 0.65|5.0   0 106|   0     0 |   0     0 |  9   32    0   22    0
Jul 04 09:33:56 ubuntu dstat.sh[86284]: 04-07 09:33:56| 78  16   4   1   0|1226M 1166M  193M 5157M| 879k  872k|   0   860k|   0  70.0 |4185    12k|2.65 1.12 0.65|5.0   0 257|   0     0 |   0     0 |  9   33    0   22    0
Jul 04 09:33:57 ubuntu dstat.sh[86284]: 04-07 09:33:57| 86  14   1   0   1|1297M 1095M  193M 5157M| 675k  668k|   0   584k|   0  40.0 |4194  8622 |2.65 1.12 0.65|5.0   0  73|   0     0 |   0     0 |  9   32    0   22    0
Jul 04 09:33:58 ubuntu dstat.sh[86284]: 04-07 09:33:58| 80  10   8   1   0|1225M 1167M  193M 5157M| 889k  878k|   0  1954k|   0  82.1 |5249    13k|2.84 1.18 0.68|4.0   0 132|   0     0 |   0     0 |  9   32    0   24    0
Jul 04 09:33:59 ubuntu dstat.sh[86284]: 04-07 09:33:59| 83  14   2   0   0|1316M 1076M  193M 5157M| 441k  435k|   0   436k|   0  33.0 |3268  6349 |2.84 1.18 0.68|5.0   0  45|   0     0 |   0     0 |  9   32    0   24    1
Jul 04 09:34:00 ubuntu dstat.sh[86284]: 04-07 09:34:00| 62  16  19   0   0|1139M 1253M  193M 5157M|1029k 1016k|   0   800k|   0  70.0 |6749    15k|2.84 1.18 0.68|6.0   0 325|   0     0 |   0     0 |  9   32    0   24    0
Jul 04 09:34:01 ubuntu dstat.sh[86284]: 04-07 09:34:01| 83  17   0   0   0|1295M 1096M  193M 5157M|  11k 1620 |   0   308k|   0  23.0 |1901  3003 |2.84 1.18 0.68|6.0   0 301|   0     0 |   0     0 |  9   32    0   24    0
Jul 04 09:34:02 ubuntu dstat.sh[86284]: 04-07 09:34:02| 80  16   3   0   0|1413M  978M  193M 5158M|1027k 1012k|   0   688k|   0  51.0 |5219    14k|2.84 1.18 0.68|5.0   0 224|   0     0 |   0     0 |  9   36    0   25    0
Jul 04 09:34:03 ubuntu dstat.sh[86284]: 04-07 09:34:03| 74  18   6   0   0|1345M 1047M  193M 5158M|1138k 1132k|   0    51M|   0   221 |6067    15k|3.17 1.28 0.71|5.0   0 353|   0     0 |   0     0 |  9   35    0   27    0
Jul 04 09:34:04 ubuntu dstat.sh[86284]: 04-07 09:34:04| 86  14   1   0   0|1276M 1115M  193M 5158M| 995k  988k|   0   630k|   0  39.1 |3296    13k|3.17 1.28 0.71|6.0   0 204|   0     0 |   0     0 |  9   33    0   27    0
Jul 04 09:34:05 ubuntu dstat.sh[86284]: 04-07 09:34:05| 82  17   1   0   0|1350M 1041M  193M 5158M| 794k  777k|   0   544k|   0  38.0 |5093    10k|3.17 1.28 0.71|7.0   0 150|   0     0 |   0     0 |  9   34    0   27    0
Jul 04 09:34:06 ubuntu dstat.sh[86284]: 04-07 09:34:06| 86  13   1   0   0|1283M 1107M  193M 5159M| 970k  963k|   0   860k|   0  77.0 |5252    13k|3.17 1.28 0.71|7.0   0 210|   0     0 |   0     0 |  9   34    0   27    0
Jul 04 09:34:07 ubuntu dstat.sh[86284]: 04-07 09:34:07| 81  17   2   0   1|1293M 1097M  193M 5159M| 689k  684k|   0   760k|   0  62.0 |5825    12k|3.17 1.28 0.71|7.0   0 235|   0     0 |   0     0 |  9   34    0   27    0
Jul 04 09:34:08 ubuntu dstat.sh[86284]: 04-07 09:34:08| 83  13   2   0   0|1325M 1065M  193M 5159M| 911k  903k|   0    13M|   0   161 |5518    12k|3.48 1.38 0.74|5.0   0 181|   0     0 |   0     0 |  9   35    0   27    0
Jul 04 09:34:09 ubuntu dstat.sh[86284]: 04-07 09:34:09| 60  13  26   0   0|1228M 1162M  193M 5160M|1163k 1152k|   0   666k|   0  44.1 |6449    15k|3.48 1.38 0.74|3.0   0 211|   0     0 |   0     0 |  9   34    0   31    0
Jul 04 09:34:10 ubuntu dstat.sh[86284]: 04-07 09:34:10| 30  19  51   0   0|1116M 1273M  193M 5160M| 459k  446k|   0   376k|   0  24.0 |3922  8335 |3.48 1.38 0.74|1.0   0 369|   0     0 |   0     0 |  9   32    0   31    0
Jul 04 09:34:11 ubuntu dstat.sh[86284]: 04-07 09:34:11| 42  28  30   0   0|1202M 1187M  193M 5160M|  11k 1568 |   0   240k|   0  21.0 |2674  5569 |3.48 1.38 0.74|5.0   0 768|   0     0 |   0     0 |  9   32    0   31    0
Jul 04 09:34:12 ubuntu dstat.sh[86284]: 04-07 09:34:12| 84  16   0   0   0|1338M 1051M  193M 5160M| 369k  360k|   0   904k|   0  59.0 |3215  6341 |3.48 1.38 0.74|8.0   0 275|   0     0 |   0     0 |  9   35    0   31    0
Jul 04 09:34:13 ubuntu dstat.sh[86284]: 04-07 09:34:13| 81  15   4   0   0|1260M 1129M  193M 5160M| 789k  778k|   0  1865k|   0   162 |5598    13k|3.68 1.45 0.77|7.0   0 310|   0     0 |   0     0 |  9   33    0   31    0
Jul 04 09:34:14 ubuntu dstat.sh[86284]: 04-07 09:34:14| 85  15   1   0   0|1297M 1091M  194M 5160M| 368k  361k|  28k  388k|2.00  32.0 |3275  7538 |3.68 1.45 0.77|5.0   0 189|   0     0 |   0     0 |  9   33    0   31    0
Jul 04 09:34:15 ubuntu dstat.sh[86284]: 04-07 09:34:15| 82  12   5   0   0|1386M 1002M  194M 5161M|1211k 1205k|   0   432k|   0  39.0 |6112    15k|3.68 1.45 0.77|3.0   0 6.0|   0     0 |   0     0 |  9   36    0   32    0
Jul 04 09:34:16 ubuntu dstat.sh[86284]: 04-07 09:34:16| 50   8  42   1   0|1398M  990M  194M 5161M|1327k 1320k|   0   460k|   0  44.0 |7335    16k|3.68 1.45 0.77|2.0   0   0|   0     0 |   0     0 |  9   37    0   36    0
Jul 04 09:34:17 ubuntu dstat.sh[86284]: 04-07 09:34:17| 62  10  27   1   1|1316M 1071M  194M 5161M|1196k 1180k|   0   600k|   0  55.0 |7535    16k|3.68 1.45 0.77|5.0   0 127|   0     0 |   0     0 |  9   34    0   39    0
Jul 04 09:34:18 ubuntu dstat.sh[86284]: 04-07 09:34:18| 87  12   1   0   0|1327M 1060M  194M 5161M| 620k  611k|   0  2748k|   0  39.0 |4427  8812 |3.95 1.55 0.81|5.0   0  39|   0     0 |   0     0 |  9   33    0   39    0
Jul 04 09:34:19 ubuntu dstat.sh[86284]: 04-07 09:34:19| 82  11   8   0   0|1365M 1020M  194M 5163M| 902k  893k|   0   316k|   0  29.0 |4947    12k|3.95 1.55 0.81|4.0   0  21|   0     0 |   0     0 |  9   36    0   40    0
Jul 04 09:34:20 ubuntu dstat.sh[86284]: 04-07 09:34:20| 62   8  29   0   0|1392M  992M  194M 5164M|1277k 1262k|   0   351k|   0  35.9 |5946    16k|3.95 1.55 0.81|5.0   0   0|   0     0 |   0     0 |  9   37    0   44    1
Jul 04 09:34:21 ubuntu dstat.sh[86284]: 04-07 09:34:21| 60   8  31   1   0|1368M 1016M  194M 5165M|1119k 1111k|   0   517k|   0  53.1 |7284    16k|3.95 1.55 0.81|4.0   0  51|   0     0 |   0     0 |  9   36    0   48    0
Jul 04 09:34:22 ubuntu dstat.sh[86284]: 04-07 09:34:22| 80  11   9   0   0|1315M 1068M  194M 5165M|1035k 1028k|   0   612k|   0  65.0 |6249    15k|3.95 1.55 0.81|7.0   0  44|   0     0 |   0     0 |  9   34    0   46    0
Jul 04 09:34:23 ubuntu dstat.sh[86284]: 04-07 09:34:23| 83  15   2   0   0|1329M 1054M  194M 5165M| 861k  855k|   0  2022k|   0   119 |5161    13k|4.11 1.62 0.83|8.0   0 159|   0     0 |   0     0 |  9   34    0   46    0
Jul 04 09:34:24 ubuntu dstat.sh[86284]: 04-07 09:34:24| 79  11   9   0   0|1393M  989M  194M 5166M|1099k 1092k|   0   452k|   0  40.0 |5906    17k|4.11 1.62 0.83|3.0   0 3.0|   0     0 |   0     0 |  9   36    0   50    0
Jul 04 09:34:25 ubuntu dstat.sh[86284]: 04-07 09:34:25| 56   9  33   1   0|1347M 1035M  194M 5166M|1253k 1247k|   0   496k|   0  46.0 |6941    16k|4.11 1.62 0.83|4.0   0 128|   0     0 |   0     0 |  9   36    0   53    0
Jul 04 09:34:26 ubuntu dstat.sh[86284]: 04-07 09:34:26| 83  12   6   0   0|1364M 1018M  194M 5166M|1343k 1336k|   0   628k|   0  64.0 |4842    15k|4.11 1.62 0.83|4.0   0  58|   0     0 |   0     0 |  9   35    0   53    0
