-- Logs begin at Thu 2022-06-30 07:07:20 UTC, end at Thu 2022-06-30 09:06:32 UTC. --
Jun 30 08:26:08 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Jun 30 08:26:08 ubuntu dstat.sh[20946]: [286B blob data]
Jun 30 08:26:08 ubuntu dstat.sh[20946]:      time     |usr sys idl wai stl| used  free  buff  cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out |process              pid  cpu read write|process              pid  read write cpu|  memory process | used  free|lis  act  syn  tim  clo 
Jun 30 08:26:20 ubuntu dstat.sh[20946]: 30-06 08:26:20|  9   3  72  16   0| 649M 1589M  147M 5381M|  13k  320k|   0  6260k|   0   497 |3742  6070 |1.54 1.36 0.94|  0 1.0   0|   0     0 |keystone-manage      222615.0%  30k  20k|tail                 2590  311k 311k  0%|mysqld       196M|   0     0 |  14    8    0    7    0
Jun 30 08:26:21 ubuntu dstat.sh[20946]: 30-06 08:26:21|  6   3  74  17   0| 651M 1587M  148M 5382M|  11k 6730B|   0  5476k|   0   438 |2686  4345 |1.54 1.36 0.94|  0 1.0 2.0|   0     0 |keystone-manage      222613.8%  16k  10k|keystone-manage      22261  16k  10k3.8%|mysqld       197M|   0     0 |  14    8    0    7    0
Jun 30 08:26:22 ubuntu dstat.sh[20946]: 30-06 08:26:22|  7   3  74  16   0| 652M 1584M  148M 5382M|  11k 5266B|   0  6940k|   0   551 |3207  5714 |1.54 1.36 0.94|1.0   0   0|   0     0 |mysqld               202184.0%   0    0 |keystone-manage      22261  17k  11k3.8%|mysqld       199M|   0     0 |  14    8    0    7    0
Jun 30 08:26:23 ubuntu dstat.sh[20946]: 30-06 08:26:23| 17   4  71   9   0| 653M 1582M  148M 5383M|  12k 6072B|   0  4224k|   0   324 |3903  8319 |1.54 1.36 0.94|1.0   0   0|   0     0 |keystone-manage      22261 11%  40k 380k|python3.7            27534 365k 761k2.5%|mysqld       199M|   0     0 |  14    8    0    7    0
Jun 30 08:26:24 ubuntu dstat.sh[20946]: 30-06 08:26:24| 16   5  71   8   0| 654M 1580M  148M 5384M|  17k  411k|   0    44M|   0   363 |5018    12k|1.54 1.36 0.94|  0 1.0 1.0|   0     0 |keystone-manage      22261 11%  56k 388k|python3.7            27534 368k 767k2.5%|mysqld       200M|   0     0 |  14    8    0    7    0
Jun 30 08:26:25 ubuntu dstat.sh[20946]: 30-06 08:26:25|  9   4  73  14   0| 656M 1578M  149M 5384M|  22k  405k|   0  7016k|   0   559 |3971  6989 |1.58 1.37 0.95|  0 1.0   0|   0     0 |keystone-manage      222616.0%  31k  21k|tail                 2590  394k 394k  0%|mysqld       200M|   0     0 |  14    8    0    7    0
Jun 30 08:26:26 ubuntu dstat.sh[20946]: 30-06 08:26:26| 13   3  74  10   0| 656M 1577M  149M 5385M|9586B   12k|   0  5684k|   0   417 |3192  5536 |1.58 1.37 0.95|1.0   0   0|   0     0 |keystone-manage      22261 12%  36k  24k|keystone-manage      22261  36k  24k 12%|mysqld       201M|   0     0 |  14    8    0    7    0
Jun 30 08:26:27 ubuntu dstat.sh[20946]: 30-06 08:26:27| 20   7  74   0   0| 617M 1616M  149M 5385M|  18k   11k|   0     0 |   0     0 |1182  1595 |1.58 1.37 0.95|1.0   0  77|   0     0 |keystone-manage      22341 17%7747k   0 |bash                 22918  17M1938k1.0%|mysqld       201M|   0     0 |  14    6    0    8    0
Jun 30 08:26:28 ubuntu dstat.sh[20946]: 30-06 08:26:28| 23   3  73   0   0| 652M 1581M  149M 5385M|  10k 4074B|   0  6648k|   0  71.0 | 904  1196 |1.58 1.37 0.95|1.0   0   0|   0     0 |keystone-manage      22341 25%   -    0 |python2              20993  14k 454B  0%|mysqld       201M|   0     0 |  14    6    0    8    0
Jun 30 08:26:29 ubuntu dstat.sh[20946]: 30-06 08:26:29| 22   4  71   3   0| 632M 1600M  149M 5386M|8391B 3770B|   0  7792k|   0  93.0 | 987  1517 |1.58 1.37 0.95|1.0   0  10|   0     0 |keystone-manage      22351 24%  11M   0 |bash                 22918  16M1916B  0%|mysqld       201M|   0     0 |  14    6    0    8    0
Jun 30 08:26:30 ubuntu dstat.sh[20946]: 30-06 08:26:30| 17  11  70   2   0| 585M 1645M  149M 5387M|  12k 1566B|   0  6780k|   0   166 |2278  3912 |1.53 1.37 0.95|1.0   0 245|   0     0 |bash                 229182.2%  16M  18k|bash                 22918  16M  18k2.2%|mysqld       201M|   0     0 |  14    6    0    8    0
Jun 30 08:26:31 ubuntu dstat.sh[20946]: 30-06 08:26:31| 10  21  68   0   0| 586M 1644M  149M 5387M|8993B   18k|   0   140k|   0  21.0 |2701  4595 |1.53 1.37 0.95|2.0   0 411|   0     0 |bash                 229182.8%3418k  26k|bash                 229183418k  26k2.8%|mysqld       201M|   0     0 |  14    6    0    8    0
Jun 30 08:26:32 ubuntu dstat.sh[20946]: 30-06 08:26:32| 30  18  52   0   0| 620M 1610M  149M 5388M|  11k   11k|   0  4096B|   0  1.00 |3632  5981 |1.53 1.37 0.95|2.0   0 221|   0     0 |uwsgi                23100 10%2514k   0 |uwsgi                231013958k   0  10%|mysqld       201M|   0     0 |  14    8    0    8    0
Jun 30 08:26:33 ubuntu dstat.sh[20946]: 30-06 08:26:33| 45   5  49   0   0| 716M 1514M  149M 5388M|9070B 9512B|   0     0 |   0     0 | 891   871 |1.53 1.37 0.95|2.0   0   0|   0     0 |uwsgi                23100 25%  11M   0 |uwsgi                23101  12M 272k 25%|mysqld       201M|   0     0 |  14    8    0    8    0
Jun 30 08:26:34 ubuntu dstat.sh[20946]: 30-06 08:26:34| 39  15  45   0   0| 754M 1473M  149M 5390M|  14k 1620B|   0    12M|   0   368 |3760  8618 |1.53 1.37 0.95|2.0   0 154|   0     0 |uwsgi                23100 20%3731k 111k|uwsgi                231003731k 111k 20%|mysqld       201M|   0     0 |  13    6    0    9    0
Jun 30 08:26:35 ubuntu dstat.sh[20946]: 30-06 08:26:35| 23   4  73   0   0| 799M 1428M  149M 5390M|  11k 8688B|   0     0 |   0     0 |1068  1149 |1.49 1.36 0.95|1.0   0  18|   0     0 |keystone-manage      23429 25%  11M   0 |keystone-manage      23429  11M   0  25%|mysqld       201M|   0     0 |  14    6    0    9    0
Jun 30 08:26:36 ubuntu dstat.sh[20946]: 30-06 08:26:36| 22   3  74   1   0| 833M 1393M  149M 5390M|  10k 1620B|   0  1472k|   0  73.0 |1464  2316 |1.49 1.36 0.95|1.0   0 2.0|   0     0 |keystone-manage      23429 22%5123k  13k|keystone-manage      234295123k  13k 22%|mysqld       203M|   0     0 |  14   12    0    9    0
Jun 30 08:26:37 ubuntu dstat.sh[20946]: 30-06 08:26:37| 22   4  74   0   0| 779M 1447M  149M 5390M|  14k   16k|   0   280k|   0  11.0 |1047  1244 |1.49 1.36 0.95|1.0   0  52|   0     0 |openstack            23510 14%5576k   0 |bash                 22918  17M  13k  0%|mysqld       203M|   0     0 |  14    6    0   12    0
Jun 30 08:26:38 ubuntu dstat.sh[20946]: 30-06 08:26:38| 21   3  73   3   0| 809M 1417M  149M 5390M|  20k 3178B|  76k 2368k|19.0  60.0 |1195  1580 |1.49 1.36 0.95|2.0   0   0|   0     0 |openstack            23510 16%5445k   0 |openstack            235105445k   0  16%|mysqld       203M|   0     0 |  14   24    0   14    0
Jun 30 08:26:39 ubuntu dstat.sh[20946]: 30-06 08:26:39| 22   6  72   1   0| 789M 1437M  149M 5390M|8305B 1620B|   0  3728k|   0  35.0 |1211  1789 |1.49 1.36 0.95|1.0   0  61|   0     0 |openstack            23571 12%4677k   0 |bash                 22918  11M2787B0.2%|mysqld       205M|   0     0 |  14   30    0   17    0
Jun 30 08:26:40 ubuntu dstat.sh[20946]: 30-06 08:26:40| 21   6  72   0   0| 774M 1452M  149M 5390M|  11k 3520B|   0     0 |   0     0 |1213  1890 |1.45 1.35 0.95|3.0   0  72|   0     0 |uwsgi                231012.0%2677B8386B|bash                 22918  11M3641B0.2%|mysqld       205M|   0     0 |  14   30    0   22    0
Jun 30 08:26:41 ubuntu dstat.sh[20946]: 30-06 08:26:41| 23   4  73   0   0| 813M 1413M  149M 5390M|  16k 5194B|   0    68k|   0  6.00 | 888  1095 |1.45 1.35 0.95|1.0   0  29|   0     0 |openstack            23670 24%  10M   0 |openstack            23670  10M   0  24%|mysqld       205M|   0     0 |  14   30    0   22    0
Jun 30 08:26:42 ubuntu dstat.sh[20946]: 30-06 08:26:42| 23   4  73   0   0| 788M 1438M  149M 5390M|9033B 1566B|   0     0 |   0     0 |1314  1913 |1.45 1.35 0.95|2.0   0  21|   0     0 |openstack            23693 10%3377k   0 |bash                 22918  11M4179B0.2%|mysqld       205M|   0     0 |  14   30    0   30    0
Jun 30 08:26:43 ubuntu dstat.sh[20946]: 30-06 08:26:43| 23   4  73   0   0| 820M 1406M  149M 5390M|  14k 2668B|   0    80k|   0  8.00 |1353  1975 |1.45 1.35 0.95|1.0   0 2.0|   0     0 |openstack            23693 16%7620k   0 |openstack            236937620k   0  16%|mysqld       205M|   0     0 |  14   30    0   37    2
Jun 30 08:26:44 ubuntu dstat.sh[20946]: 30-06 08:26:44| 22   6  72   0   0| 809M 1417M  149M 5391M|  29k 3706B|   0  1728k|   0  46.0 |1139  1439 |1.45 1.35 0.95|1.0   0  71|   0     0 |openstack            23766 20%7658k   0 |bash                 22918  11M   0   0%|mysqld       205M|   0     0 |  14   30    0   38    0
Jun 30 08:26:45 ubuntu dstat.sh[20946]: 30-06 08:26:45| 22   5  72   0   0| 774M 1452M  149M 5391M|  18k 1620B|   0   752k|   0  17.0 |1489  2211 |1.58 1.38 0.96|1.0   0  40|   0     0 |uwsgi                231004.2%5041B  16k|bash                 22918  11M6459B  0%|mysqld       205M|   0     0 |  14   30    0   46    0
Jun 30 08:26:46 ubuntu dstat.sh[20946]: 30-06 08:26:46| 20   6  74   0   0| 811M 1415M  149M 5391M|  11k 4640B|   0   536k|   0  12.0 |1002  1215 |1.58 1.38 0.96|2.0   0  60|   0     0 |openstack            23866 22%8741k   0 |openstack            238668741k   0  22%|mysqld       205M|   0     0 |  14   30    0   46    0
Jun 30 08:26:47 ubuntu dstat.sh[20946]: 30-06 08:26:47| 21   6  73   0   0| 785M 1440M  149M 5391M|7791B 1620B|   0   476k|   0  10.0 |1287  1850 |1.58 1.38 0.96|1.0   0  68|   0     0 |openstack            239348.0%2482k   0 |bash                 22918  11M3247B0.2%|mysqld       205M|   0     0 |  14   30    0   51    0
Jun 30 08:26:48 ubuntu dstat.sh[20946]: 30-06 08:26:48| 23   3  74   0   0| 820M 1405M  149M 5391M|  13k 3816B|   0  3632k|   0  47.0 | 779  1049 |1.58 1.38 0.96|1.0   0   0|   0     0 |openstack            23934 25%8440k   0 |openstack            239348440k   0  25%|mysqld       205M|   0     0 |  14   30    0   50    0
Jun 30 08:26:49 ubuntu dstat.sh[20946]: 30-06 08:26:49| 21   6  73   0   0| 787M 1438M  149M 5391M|8593B 1566B|   0  2484k|   0  9.00 |1421  2092 |1.58 1.38 0.96|1.0   0  70|   0     0 |uwsgi                231016.8% 617k  12k|bash                 22918  11M3391B  0%|mysqld       205M|   0     0 |  14   30    0   56    0
Jun 30 08:26:50 ubuntu dstat.sh[20946]: 30-06 08:26:50| 24   3  74   0   0| 823M 1402M  149M 5391M|6098B 3978B|   0   480k|   0  17.0 | 627   829 |1.69 1.41 0.97|1.0   0   0|   0     0 |openstack            24004 25%8966k   0 |openstack            240048966k   0  25%|mysqld       205M|   0     0 |  14   32    0   57    0
Jun 30 08:26:51 ubuntu dstat.sh[20946]: 30-06 08:26:51| 21   6  73   1   0| 795M 1430M  149M 5391M|  12k 1620B|   0   144k|   0  14.0 |1303  1949 |1.69 1.41 0.97|1.0   0  70|   0     0 |openstack            24074 12%4008k   0 |bash                 22918  11M3353B0.5%|mysqld       205M|   0     0 |  14   30    0   60    0
Jun 30 08:26:52 ubuntu dstat.sh[20946]: 30-06 08:26:52| 21   6  73   1   0| 777M 1448M  150M 5391M|  11k 3986B|   0   376k|   0  24.0 |1180  1738 |1.69 1.41 0.97|1.0   0  60|   0     0 |uwsgi                231011.5%2540B7333B|bash                 22918  11M3626B0.2%|mysqld       205M|   0     0 |  14   30    0   64    0
Jun 30 08:26:53 ubuntu dstat.sh[20946]: 30-06 08:26:53| 22   4  73   0   0| 821M 1404M  150M 5391M|  20k 4238B|   0     0 |   0     0 | 812   885 |1.69 1.41 0.97|1.0   0  12|   0     0 |openstack            24146 24%  10M   0 |openstack            24146  10M   0  24%|mysqld       205M|   0     0 |  14   30    0   64    0
Jun 30 08:26:54 ubuntu dstat.sh[20946]: 30-06 08:26:54| 22   5  73   0   0| 799M 1426M  150M 5391M|  15k 1566B|   0    48k|   0  3.00 |1288  1813 |1.69 1.41 0.97|2.0   0  77|   0     0 |openstack            24223 11%3283k   0 |bash                 22918  11M3096B0.2%|mysqld       205M|   0     0 |  14   30    0   68    0
Jun 30 08:26:55 ubuntu dstat.sh[20946]: 30-06 08:26:55| 23   3  73   1   0| 825M 1400M  150M 5391M|9579B 4376B|   0  1404k|   0  19.0 | 900  1198 |1.79 1.44 0.98|2.0   0   0|   0     0 |openstack            24223 23%7738k   0 |openstack            242237738k   0  23%|mysqld       205M|   0     0 |  14   32    0   71    0
Jun 30 08:26:56 ubuntu dstat.sh[20946]: 30-06 08:26:56| 20   6  73   0   0| 803M 1422M  150M 5391M|  11k 1620B|   0    32k|   0  3.00 |1030  1670 |1.79 1.44 0.98|1.0   0  85|   0     0 |openstack            24308 15%5617k   0 |bash                 22918  11M3987B  0%|mysqld       205M|   0     0 |  14   30    0   73    0
Jun 30 08:26:57 ubuntu dstat.sh[20946]: 30-06 08:26:57| 23   4  73   0   0| 777M 1448M  150M 5391M|  14k 4654B|   0   216k|   0  12.0 |1079  1711 |1.79 1.44 0.98|1.0   0  15|   0     0 |uwsgi                231003.0%2482B7337B|bash                 24252  11M2722B  0%|mysqld       205M|   0     0 |  14   30    0   78    0
Jun 30 08:26:58 ubuntu dstat.sh[20946]: 30-06 08:26:58| 21   5  74   0   0| 815M 1410M  150M 5391M|9173B 5316B|   0     0 |   0     0 | 926  1621 |1.79 1.44 0.98|1.0   0  82|   0     0 |openstack            24405 21%8609k   0 |bash                 22918  11M3955B  0%|mysqld       205M|   0     0 |  14   30    0   78    0
Jun 30 08:26:59 ubuntu dstat.sh[20946]: 30-06 08:26:59| 20   8  71   0   0| 790M 1435M  150M 5391M|8616B 1620B|   0   224k|   0  23.0 |1586  2645 |1.79 1.44 0.98|3.0   0 144|   0     0 |openstack            245495.5%2020k   0 |bash                 22918  11M6656B0.2%|mysqld       205M|   0     0 |  14   30    0   83    0
Jun 30 08:27:00 ubuntu dstat.sh[20946]: 30-06 08:27:00| 23   3  74   0   0| 827M 1398M  150M 5391M|  10k 7134B|   0  1192k|   0  33.0 | 858  1112 |1.81 1.45 0.99|2.0   0   0|   0     0 |openstack            24549 24%8983k   0 |openstack            245498983k   0  24%|mysqld       205M|   0     0 |  14   30    0   85    0
Jun 30 08:27:01 ubuntu dstat.sh[20946]: 30-06 08:27:01| 22   5  73   0   0| 795M 1430M  150M 5391M|8936B 1620B|   0     0 |   0     0 |1436  2171 |1.81 1.45 0.99|1.0   0  23|   0     0 |openstack            24572 11%3267k   0 |bash                 22918  11M4251B  0%|mysqld       205M|   0     0 |  14   30    0   92    0
Jun 30 08:27:02 ubuntu dstat.sh[20946]: 30-06 08:27:02| 24   3  73   0   0| 825M 1400M  150M 5391M|  16k 2856B|   0     0 |   0     0 |1107  1738 |1.81 1.45 0.99|2.0   0   0|   0     0 |openstack            24572 19%7731k   0 |openstack            245727731k   0  19%|mysqld       205M|   0     0 |  14   32    0   99    0
Jun 30 08:27:03 ubuntu dstat.sh[20946]: 30-06 08:27:03| 22   6  72   0   0| 814M 1411M  150M 5391M|9178B 3002B|   0    48k|   0  3.00 |1067  1529 |1.81 1.45 0.99|1.0   0  71|   0     0 |openstack            24643 19%7658k   0 |bash                 22918  11M   0   0%|mysqld       205M|   0     0 |  14   30    0  100    0
Jun 30 08:27:04 ubuntu dstat.sh[20946]: 30-06 08:27:04| 21   6  73   0   0| 778M 1447M  150M 5391M|  11k 2444B|   0     0 |   0     0 |1633  2884 |1.81 1.45 0.99|1.0   0  91|   0     0 |uwsgi                231013.5%4908B  15k|bash                 22918  11M9259B0.2%|mysqld       205M|   0     0 |  14   30    0  109    0
Jun 30 08:27:05 ubuntu dstat.sh[20946]: 30-06 08:27:05| 22   6  72   0   0| 821M 1404M  150M 5391M|  12k 8324B|   0  1644k|   0  96.0 | 958  1693 |1.75 1.44 0.99|1.0   0  77|   0     0 |openstack            24811 23%9815k   0 |openstack            248119815k   0  23%|mysqld       205M|   0     0 |  14   30    0  106    0
Jun 30 08:27:06 ubuntu dstat.sh[20946]: 30-06 08:27:06| 22   5  73   0   0| 789M 1436M  150M 5392M|  18k 1620B|   0     0 |   0     0 |1271  1989 |1.75 1.44 0.99|2.0   0  21|   0     0 |openstack            24832 11%2696k   0 |bash                 22918  11M4249B0.2%|mysqld       205M|   0     0 |  14   30    0  115    0
Jun 30 08:27:07 ubuntu dstat.sh[20946]: 30-06 08:27:07| 23   3  74   0   0| 825M 1400M  150M 5392M|  21k 2856B|   0   188k|   0  14.0 |1210  1399 |1.75 1.44 0.99|1.0   0   0|   0     0 |openstack            24832 21%8302k   0 |openstack            248328302k   0  21%|mysqld       205M|   0     0 |  14   32    0  120    0
Jun 30 08:27:08 ubuntu dstat.sh[20946]: 30-06 08:27:08| 23   6  72   0   0| 807M 1417M  150M 5392M|  11k 1620B|   0   144k|   0  14.0 |1127  1758 |1.75 1.44 0.99|1.0   0  71|   0     0 |openstack            24903 17%6098k   0 |bash                 22918  11M   0   0%|mysqld       205M|   0     0 |  14   30    0  123    0
Jun 30 08:27:09 ubuntu dstat.sh[20946]: 30-06 08:27:09| 24   3  73   0   0| 827M 1397M  150M 5392M|7073B 4036B|   0   344k|   0  15.0 |1204  2062 |1.75 1.44 0.99|1.0   0   0|   0     0 |openstack            24903 15%4908k 725B|openstack            249034908k 725B 15%|mysqld       205M|   0     0 |  14   30    0  132    0
Jun 30 08:27:10 ubuntu dstat.sh[20946]: 30-06 08:27:10| 18  10  70   2   0| 805M 1419M  150M 5392M|  11k 5394B|   0  4456k|   0   351 |2047  2063 |1.69 1.43 0.99|1.0   0 168|   0     0 |openstack            25071 17%5760k   0 |bash                 22918  11M9494B0.5%|mysqld       205M|   0     0 |  14   30    0  133    0
Jun 30 08:27:11 ubuntu dstat.sh[20946]: 30-06 08:27:11| 24   3  73   0   0| 827M 1397M  150M 5392M|  11k 4606B|   0     0 |   0     0 |1131  1885 |1.69 1.43 0.99|1.0   0 2.0|   0     0 |openstack            25071 17%5246k   1B|openstack            250715246k   1B 17%|mysqld       205M|   0     0 |  14   30    0  141    0
Jun 30 08:27:12 ubuntu dstat.sh[20946]: 30-06 08:27:12| 22   4  74   0   0| 812M 1412M  150M 5392M|8620B 2754B|   0     0 |   0     0 | 865   976 |1.69 1.43 0.99|1.0   0  21|   0     0 |openstack            25094 22%7747k   0 |bash                 22918  11M4261B  0%|mysqld       205M|   0     0 |  14   30    0  141    0
Jun 30 08:27:13 ubuntu dstat.sh[20946]: 30-06 08:27:13| 22   5  73   0   0| 789M 1435M  150M 5392M|  12k 1620B|   0   104k|   0  8.00 |1372  2168 |1.69 1.43 0.99|1.0   0  71|   0     0 |openstack            251654.0%1890k   0 |bash                 22918  11M   0   0%|mysqld       205M|   0     0 |  14   30    0  147    0
Jun 30 08:27:14 ubuntu dstat.sh[20946]: 30-06 08:27:14| 23   3  74   0   0| 824M 1401M  150M 5392M|  11k 3690B|   0     0 |   0     0 | 697   707 |1.69 1.43 0.99|1.0   0   0|   0     0 |openstack            25165 25%8177k   0 |openstack            251658177k   0  25%|mysqld       205M|   0     0 |  14   30    0  147    0
Jun 30 08:27:15 ubuntu dstat.sh[20946]: 30-06 08:27:15| 22   8  71   0   0| 782M 1442M  150M 5392M|  10k 1512B|   0     0 |   0     0 |1882  3136 |1.63 1.42 0.99|2.0   0 154|   0     0 |uwsgi                231015.0%4923B  15k|bash                 22918  11M9495B0.2%|mysqld       205M|   0     0 |  14   30    0  156    0
Jun 30 08:27:16 ubuntu dstat.sh[20946]: 30-06 08:27:16| 22   3  74   0   0| 825M 1399M  150M 5392M|  11k 8112B|   0     0 |   0     0 | 640   834 |1.63 1.42 0.99|1.0   0  14|   0     0 |openstack            25333 25%  10M   0 |openstack            25333  10M   0  25%|mysqld       205M|   0     0 |  14   30    0  156    0
Jun 30 08:27:17 ubuntu dstat.sh[20946]: 30-06 08:27:17| 23   4  73   0   0| 794M 1429M  150M 5392M|8588B 1620B|   0     0 |   0     0 |1305  2070 |1.63 1.42 0.99|1.0   0  21|   0     0 |openstack            25354 11%3159k   0 |bash                 22918  11M4251B  0%|mysqld       205M|   0     0 |  14   30    0  165    0
Jun 30 08:27:18 ubuntu dstat.sh[20946]: 30-06 08:27:18| 23   3  73   0   0| 825M 1398M  150M 5392M|  13k 2754B|   0   120k|   0  11.0 | 909  1304 |1.63 1.42 0.99|1.0   0   0|   0     0 |openstack            25354 22%7839k   0 |openstack            253547839k   0  22%|mysqld       205M|   0     0 |  14   32    0  170    0
Jun 30 08:27:19 ubuntu dstat.sh[20946]: 30-06 08:27:19| 23   5  72   1   0| 808M 1416M  150M 5392M|  10k 1620B|   0   124k|   0  9.00 |1064  1647 |1.63 1.42 0.99|1.0   0  71|   0     0 |openstack            25425 17%6169k   0 |bash                 22918  11M   0   0%|mysqld       205M|   0     0 |  14   30    0  173    0
Jun 30 08:27:20 ubuntu dstat.sh[20946]: 30-06 08:27:20| 24   3  73   0   0| 827M 1396M  150M 5392M|8541B 3934B|   0   208k|   0  13.0 |1162  1909 |1.58 1.42 0.99|1.0   0   0|   0     0 |uwsgi                231004.0%6163B  19k|bash                 25356  11M1514B0.2%|mysqld       205M|   0     0 |  14   30    0  182    0
Jun 30 08:27:21 ubuntu dstat.sh[20946]: 30-06 08:27:21| 20   7  73   0   0| 814M 1410M  150M 5392M|  10k 5578B|   0    76k|   0  5.00 |1118  1660 |1.58 1.42 0.99|1.0   0 111|   0     0 |openstack            25534 21%7658k   0 |bash                 22918  11M7359B0.2%|mysqld       205M|   0     0 |  14   30    0  182    0
Jun 30 08:27:22 ubuntu dstat.sh[20946]: 30-06 08:27:22| 21   6  73   0   0| 790M 1433M  150M 5392M|9451B 1566B|   0   100k|   0  9.00 |1468  2085 |1.58 1.42 0.99|4.0   0  97|   0     0 |openstack            256333.5%1928k   0 |bash                 22918  11M3971B  0%|mysqld       205M|   0     0 |  14   30    0  187    0
