-- Logs begin at Tue 2022-05-10 20:07:36 UTC, end at Tue 2022-05-10 21:13:07 UTC. --
May 10 20:52:18 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
May 10 20:52:19 ubuntu dstat.sh[71205]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
May 10 20:52:19 ubuntu dstat.sh[71205]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
May 10 20:52:43 ubuntu dstat.sh[71205]: 10-05 20:52:43| 62  13  25   0   0|1172M 1296M  194M 5090M| 281k 1985 | 324k    0 |4.00     0 |2390  3395 |1.88 1.17 0.71|4.0   0 150|   0     0 |   0     0 |  9    7    0    9    2
May 10 20:52:44 ubuntu dstat.sh[71205]: 10-05 20:52:44| 66   6  28   1   0|1249M 1219M  194M 5091M|2335k 3950 | 372k  776k|8.00  11.0 |2207  1144 |1.97 1.20 0.72|4.0   0 1.0|   0     0 |   0     0 |  9    7    0    9    2
May 10 20:52:45 ubuntu dstat.sh[71205]: 10-05 20:52:44| 74   1  25   0   1|1273M 1194M  194M 5091M| 560k 1515 |   0     0 |   0     0 |1673   984 |1.97 1.20 0.72|4.0   0 4.0|   0     0 |   0     0 |  9    7    0    9    2
May 10 20:52:46 ubuntu dstat.sh[71205]: 10-05 20:52:46| 72   7  20   1   0|1298M 1166M  194M 5094M| 459k 2382 |   0    36M|   0   485 |3272  5261 |1.97 1.20 0.72|4.0   0  12|   0     0 |   0     0 |  9    6    0   10    2
May 10 20:52:47 ubuntu dstat.sh[71205]: 10-05 20:52:47| 46   9  46   0   0|1344M 1115M  195M 5098M| 296k 1620 |   0    32k|   0  5.00 |2195  4204 |1.97 1.20 0.72|2.0   0 136|   0     0 |   0     0 |  9    6    0   10    2
May 10 20:52:48 ubuntu dstat.sh[71205]: 10-05 20:52:48| 47   3  49   0   0|1388M 1072M  195M 5096M| 532k 1618 |   0     0 |   0     0 |1449  1478 |1.97 1.20 0.72|3.0   0 2.0|   0     0 |   0     0 |  9    6    0    8    2
May 10 20:52:49 ubuntu dstat.sh[71205]: 10-05 20:52:49| 48   1  49   1   0|1381M 1078M  195M 5097M|1682k 1620 |   0  2616k|   0  30.0 |1826  1105 |1.98 1.22 0.73|3.0   0   0|   0     0 |   0     0 |  9    6    0    8    2
May 10 20:52:50 ubuntu dstat.sh[71205]: 10-05 20:52:50| 41   7  48   3   0|1403M 1034M  196M 5117M| 625k   65k|   0    10M|   0   574 |3965  6153 |1.98 1.22 0.73|2.0   0   0|   0     0 |   0     0 |  9   12    0    8    2
May 10 20:52:51 ubuntu dstat.sh[71205]: 10-05 20:52:51| 37   7  48   8   0|1306M 1120M  196M 5125M|1413k 2130 | 160k   11M|8.99   167 |2251  2032 |1.98 1.22 0.73|2.0   0  44|   0     0 |   0     0 |  9    6    0   10    2
May 10 20:52:52 ubuntu dstat.sh[71205]: 10-05 20:52:52| 42   7  49   2   1|1341M 1059M  197M 5148M|  49k   11k|  64k 4384k|6.00   147 |1956  2033 |1.98 1.22 0.73|3.0   0 1.0|   0     0 |   0     0 |  9   13    0   10    2
May 10 20:52:53 ubuntu dstat.sh[71205]: 10-05 20:52:53| 30   6  59   4   0|1293M 1099M  198M 5153M| 154k  114k| 132k 2296k|32.9  67.9 |2177  2789 |1.98 1.22 0.73|2.0   0  46|   0     0 |   0     0 |  9   31    0   10    2
May 10 20:52:54 ubuntu dstat.sh[71205]: 10-05 20:52:54| 40   7  53   0   0|1293M 1118M  198M 5135M|  92k 3152 |   0  1326k|   0  20.0 |1519  1419 |1.98 1.23 0.74|3.0   0 4.0|   0     0 |   0     0 |  9   28    0   10    0
May 10 20:52:55 ubuntu dstat.sh[71205]: 10-05 20:52:55| 47  14  39   0   0|1304M 1108M  198M 5135M|  78k   60k|   0   328k|   0  6.00 |7411    16k|1.98 1.23 0.74|4.0   0 205|   0     0 |   0     0 |  9   28    0   10    0
May 10 20:52:56 ubuntu dstat.sh[71205]: 10-05 20:52:56| 69   7  25   0   0|1398M 1014M  198M 5135M| 244k 1621 |   0  2485k|   0  55.0 |1694  1222 |1.98 1.23 0.74|3.0   0 7.0|   0     0 |   0     0 |  9   28    0   10    0
May 10 20:52:57 ubuntu dstat.sh[71205]: 10-05 20:52:57| 67   8  25   0   0|1275M 1136M  198M 5135M|1360k  759k|   0    80k|   0  1.00 |3998  6823 |1.98 1.23 0.74|4.0   0  65|   0     0 |   0     0 |  9   28    0   10    0
May 10 20:52:58 ubuntu dstat.sh[71205]: 10-05 20:52:57| 81  17   2   0   0|1413M  998M  198M 5135M| 184k 2762 |   0    28k|   0  7.00 |2184    63k|1.98 1.23 0.74|5.0   0 286|   0     0 |   0     0 |  9   28    0   10    0
May 10 20:52:59 ubuntu dstat.sh[71205]: 10-05 20:52:58| 87  13   1   0   0|1515M  896M  198M 5136M| 570k  541k|   0    20k|   0  5.00 |3102  5693 |2.38 1.33 0.77|6.0   0 189|   0     0 |   0     0 |  9   31    0   11    0
May 10 20:53:00 ubuntu dstat.sh[71205]: 10-05 20:52:59| 87  12   1   0   0|1413M  998M  198M 5136M| 487k  288k|   0  2819k|   0  58.0 |3856  6252 |2.38 1.33 0.77|7.0   0 193|   0     0 |   0     0 |  9   28    0   12    0
May 10 20:53:01 ubuntu dstat.sh[71205]: 10-05 20:53:01| 86  12   1   0   0|1390M 1021M  198M 5136M| 529k  349k|   0  1319k|   0  38.0 |3425  5343 |2.38 1.33 0.77|3.0   0 101|   0     0 |   0     0 |  9   29    0   12    0
May 10 20:53:02 ubuntu dstat.sh[71205]: 10-05 20:53:01| 63  11  26   0   0|1294M 1117M  198M 5136M| 581k  537k|   0   496k|   0  23.0 |3389  6167 |2.38 1.33 0.77|4.0   0 134|   0     0 |   0     0 |  9   28    0   12    0
May 10 20:53:03 ubuntu dstat.sh[71205]: 10-05 20:53:03| 45   6  49   0   0|1326M 1084M  198M 5136M| 193k  122k|   0   435k|   0  8.98 |1590  1728 |2.38 1.33 0.77|2.0   0  12|   0     0 |   0     0 |  9   29    0   12    0
May 10 20:53:04 ubuntu dstat.sh[71205]: 10-05 20:53:04| 23   7  70   0   0|1258M 1153M  198M 5136M| 118k   89k|   0   388k|   0  23.0 |2175  3091 |2.27 1.32 0.77|1.0   0 117|   0     0 |   0     0 |  9   28    0   12    0
May 10 20:53:05 ubuntu dstat.sh[71205]: 10-05 20:53:05| 22   3  74   0   0|1290M 1121M  198M 5136M| 230k  177k|   0   392k|   0  8.00 |1609  2335 |2.27 1.32 0.77|1.0   0 2.0|   0     0 |   0     0 |  9   29    0   13    0
May 10 20:53:06 ubuntu dstat.sh[71205]: 10-05 20:53:06| 13  17  69   1   0|1228M 1183M  198M 5136M|  46k   25k|   0  3027k|   0  41.0 |2838  4080 |2.27 1.32 0.77|1.0   0 326|   0     0 |   0     0 |  9   28    0   13    0
May 10 20:53:07 ubuntu dstat.sh[71205]: 10-05 20:53:06| 33  27  38   0   0|1296M 1115M  198M 5136M| 492k 1568 |   0   292k|   0  23.0 |2940  6065 |2.27 1.32 0.77|5.0   0 824|   0     0 |   0     0 |  9   28    0   13    0
May 10 20:53:08 ubuntu dstat.sh[71205]: 10-05 20:53:08| 87  13   0   0   0|1483M  928M  198M 5136M| 247k 2846 |   0  1279k|   0  58.9 |1956  1680 |2.27 1.32 0.77|5.0   0  23|   0     0 |   0     0 |  9   28    0   13    1
May 10 20:53:09 ubuntu dstat.sh[71205]: 10-05 20:53:09| 63   8  28   0   0|1541M  869M  198M 5136M|1289k 1273k|   0   308k|   0  11.0 |4689  9348 |2.49 1.38 0.79|2.0   0   0|   0     0 |   0     0 |  9   33    0   16    0
May 10 20:53:10 ubuntu dstat.sh[71205]: 10-05 20:53:10| 66   8  25   0   0|1320M 1090M  198M 5137M|1355k 1121k|   0   292k|   0  20.0 |5393    10k|2.49 1.38 0.79|6.0   0  87|   0     0 |   0     0 |  9   29    0   20    0
May 10 20:53:11 ubuntu dstat.sh[71205]: 10-05 20:53:10| 85  15   0   0   0|1431M  979M  198M 5137M| 107k   77k|   0   428k|   0  9.00 |2108  3124 |2.49 1.38 0.79|6.0   0 212|   0     0 |   0     0 |  9   29    0   18    0
May 10 20:53:12 ubuntu dstat.sh[71205]: 10-05 20:53:12| 86  12   0   0   0|1508M  902M  198M 5137M|1302k  924k|   0  2244k|   0   199 |4248  7459 |2.49 1.38 0.79|5.0   0  42|   0     0 |   0     0 |  9   31    0   18    0
May 10 20:53:13 ubuntu dstat.sh[71205]: 10-05 20:53:13| 86  12   2   0   0|1367M 1042M  198M 5137M|1291k 1208k|   0   683k|   0  53.9 |4752    11k|2.49 1.38 0.79|6.0   0 156|   0     0 |   0     0 |  9   29    0   18    0
May 10 20:53:14 ubuntu dstat.sh[71205]: 10-05 20:53:14| 90  10   1   0   0|1451M  958M  198M 5137M| 421k  400k|   0   425k|   0  8.01 |2864  4746 |2.77 1.46 0.82|6.0   0  96|   0     0 |   0     0 |  9   29    0   18    0
May 10 20:53:15 ubuntu dstat.sh[71205]: 10-05 20:53:15| 90   9   1   0   0|1511M  898M  198M 5138M|1131k  935k|   0   391k|   0  7.99 |4325  7641 |2.77 1.46 0.82|6.0   0 7.0|   0     0 |   0     0 |  9   31    0   16    0
May 10 20:53:16 ubuntu dstat.sh[71205]: 10-05 20:53:15| 67  11  20   0   0|1419M  989M  198M 5138M|1497k 1440k|   0   521k|   0  24.0 |4981    12k|2.77 1.46 0.82|4.0   0 203|   0     0 |   0     0 |  9   30    0   18    0
May 10 20:53:17 ubuntu dstat.sh[71205]: 10-05 20:53:17| 67  23   9   0   0|1350M 1057M  198M 5139M| 630k  344k|   0  2243k|   0  53.0 |3696  7276 |2.77 1.46 0.82|4.0   0 516|   0     0 |   0     0 |  9   28    0   18    0
May 10 20:53:18 ubuntu dstat.sh[71205]: 10-05 20:53:18| 82  10   8   0   0|1482M  926M  198M 5139M| 332k  304k|   0   372k|   0  9.99 |2465  3155 |2.77 1.46 0.82|2.0   0   0|   0     0 |   0     0 |  9   32    0   20    0
May 10 20:53:19 ubuntu dstat.sh[71205]: 10-05 20:53:19| 59  13  26   0   0|1447M  960M  198M 5139M|1331k 1314k|   0   284k|   0  23.0 |4554    11k|2.71 1.47 0.83|5.0   0 231|   0     0 |   0     0 |  9   31    0   23    0
May 10 20:53:20 ubuntu dstat.sh[71205]: 10-05 20:53:20| 89  10   1   0   0|1388M 1020M  198M 5139M|1086k  255k|   0   425k|   0  8.01 |2372  3315 |2.71 1.47 0.83|5.0   0  96|   0     0 |   0     0 |  9   28    0   23    0
May 10 20:53:21 ubuntu dstat.sh[71205]: 10-05 20:53:21| 80  13   5   0   0|1421M  986M  198M 5139M|1138k  807k|   0   543k|   0  22.0 |4249  7822 |2.71 1.47 0.83|6.0   0 165|   0     0 |   0     0 |  9   31    0   25    0
May 10 20:53:22 ubuntu dstat.sh[71205]: 10-05 20:53:22| 85  15   1   0   0|1344M 1063M  198M 5139M| 940k  767k|   0    47M|   0   583 |4203  7357 |2.71 1.47 0.83|5.0   0 186|   0     0 |   0     0 |  9   28    0   25    0
May 10 20:53:23 ubuntu dstat.sh[71205]: 10-05 20:53:23| 88  11   0   0   0|1506M  901M  198M 5139M| 655k  513k|   0  1266k|   0  31.0 |3357  5373 |2.71 1.47 0.83|5.0   0  12|   0     0 |   0     0 |  9   29    0   26    0
May 10 20:53:24 ubuntu dstat.sh[71205]: 10-05 20:53:23| 82  15   2   0   0|1420M  986M  198M 5140M|1178k 1129k|   0   573k|   0  23.0 |4396  9693 |2.97 1.55 0.86|9.0   0 243|   0     0 |   0     0 |  9   30    0   26    0
May 10 20:53:25 ubuntu dstat.sh[71205]: 10-05 20:53:25| 88  11   0   0   0|1432M  974M  198M 5140M| 675k  642k|   0   436k|   0  7.99 |3098  5818 |2.97 1.55 0.86|6.0   0  98|   0     0 |   0     0 |  9   28    0   24    0
May 10 20:53:26 ubuntu dstat.sh[71205]: 10-05 20:53:26| 66  11  22   0   0|1424M  982M  198M 5140M|3339k 1092k|   0   588k|   0  29.0 |6096    11k|2.97 1.55 0.86|5.0   0 161|   0     0 |   0     0 |  9   30    0   26    0
May 10 20:53:27 ubuntu dstat.sh[71205]: 10-05 20:53:27| 83  15   2   0   0|1374M 1032M  198M 5140M| 569k  424k|   0    22M|   0  88.0 |3666  6185 |2.97 1.55 0.86|5.0   0 207|   0     0 |   0     0 |  9   28    0   26    0
May 10 20:53:28 ubuntu dstat.sh[71205]: 10-05 20:53:28| 73  11  15   0   0|1486M  920M  198M 5140M| 635k  601k|   0   448k|   0  11.0 |3496  5769 |2.97 1.55 0.86|2.0   0  68|   0     0 |   0     0 |  9   32    0   29    0
May 10 20:53:29 ubuntu dstat.sh[71205]: 10-05 20:53:29| 75  12  12   0   0|1319M 1086M  198M 5141M|1114k  838k|   0   585k|   0  46.1 |3715  8046 |3.05 1.59 0.87|3.0   0 185|   0     0 |   0     0 |  9   28    0   29    0
May 10 20:53:30 ubuntu dstat.sh[71205]: 10-05 20:53:30| 67   9  25   0   0|1420M  986M  198M 5141M| 480k  459k|   0   607k|   0  31.0 |2411  4116 |3.05 1.59 0.87|3.0   0 1.0|   0     0 |   0     0 |  9   29    0   31    0
May 10 20:53:31 ubuntu dstat.sh[71205]: 10-05 20:53:31| 73  20   7   0   0|1358M 1047M  198M 5141M| 439k  408k|   0   605k|   0  34.0 |3310  7283 |3.05 1.59 0.87|5.0   0 466|   0     0 |   0     0 |  9   28    0   31    0
May 10 20:53:32 ubuntu dstat.sh[71205]: 10-05 20:53:32| 85  13   1   0   0|1500M  905M  198M 5141M| 713k  683k|   0   644k|   0  19.0 |3953  7436 |3.05 1.59 0.87|7.0   0 215|   0     0 |   0     0 |  9   31    0   31    0
May 10 20:53:33 ubuntu dstat.sh[71205]: 10-05 20:53:32| 85  14   2   0   0|1407M  998M  198M 5141M|1288k 1236k|   0   500k|   0  13.0 |4174    10k|3.05 1.59 0.87|6.0   0 220|   0     0 |   0     0 |  9   29    0   31    0
May 10 20:53:34 ubuntu dstat.sh[71205]: 10-05 20:53:34| 86  13   0   0   0|1479M  926M  198M 5141M| 853k  817k|   0   456k|   0  10.0 |3166  7027 |3.29 1.66 0.90|8.0   0 129|   0     0 |   0     0 |  9   30    0   31    0
May 10 20:53:35 ubuntu dstat.sh[71205]: 10-05 20:53:34| 84  14   2   0   1|1454M  950M  198M 5142M|1195k 1169k|   0   569k|   0  22.0 |5140    10k|3.29 1.66 0.90|8.0   0 191|   0     0 |   0     0 |  9   29    0   32    0
May 10 20:53:36 ubuntu dstat.sh[71205]: 10-05 20:53:35| 85  13   1   0   0|1469M  935M  198M 5142M| 684k  624k|   0  1239k|   0  48.0 |4486  7926 |3.29 1.66 0.90|6.0   0 184|   0     0 |   0     0 |  9   29    0   32    0
May 10 20:53:37 ubuntu dstat.sh[71205]: 10-05 20:53:37| 81  16   2   0   0|1476M  927M  198M 5142M|1109k 1026k|   0  2415k|   0  36.0 |5273    10k|3.29 1.66 0.90|5.0   0 198|   0     0 |   0     0 |  9   31    0   32    0
May 10 20:53:38 ubuntu dstat.sh[71205]: 10-05 20:53:38| 80  17   1   0   0|1384M 1019M  198M 5142M|1367k  994k|   0   872k|   0  28.0 |3332  9388 |3.29 1.66 0.90|6.0   0 273|   0     0 |   0     0 |  9   30    0   32    0
May 10 20:53:39 ubuntu dstat.sh[71205]: 10-05 20:53:39| 61  23  15   0   0|1294M 1109M  198M 5143M|1039k 1023k|   0   536k|   0  17.0 |3978    12k|3.51 1.73 0.93|2.0   0 620|   0     0 |   0     0 |  9   29    0   32    0
May 10 20:53:40 ubuntu dstat.sh[71205]: 10-05 20:53:40| 22   7  69   0   0|1232M 1171M  198M 5143M| 518k  496k|   0   256k|   0  14.0 |3256  5767 |3.51 1.73 0.93|1.0   0  88|   0     0 |   0     0 |  9   28    0   32    0
May 10 20:53:41 ubuntu dstat.sh[71205]: 10-05 20:53:41| 23  28  47   0   0|1275M 1128M  198M 5143M|  65k 1620 |   0   300k|   0  19.0 |3060  5528 |3.51 1.73 0.93|4.0   0 688|   0     0 |   0     0 |  9   28    0   32    0
May 10 20:53:42 ubuntu dstat.sh[71205]: 10-05 20:53:42| 81  19   1   0   0|1429M  974M  198M 5143M| 132k   83k|   0  1376k|   0  63.0 |2206  4371 |3.51 1.73 0.93|6.0   0 417|   0     0 |   0     0 |  9   29    0   32    0
May 10 20:53:43 ubuntu dstat.sh[71205]: 10-05 20:53:42| 86  11   2   0   1|1343M 1060M  198M 5143M| 967k  929k|   0  1213k|   0  65.0 |4562    10k|3.51 1.73 0.93|5.0   0 196|   0     0 |   0     0 |  9   29    0   32    0
May 10 20:53:44 ubuntu dstat.sh[71205]: 10-05 20:53:44| 82  14   1   0   0|1375M 1027M  198M 5144M| 394k  371k|  28k  960k|2.00  26.0 |3051  6142 |3.63 1.79 0.95|5.0   0 289|   0     0 |   0     0 |  9   28    0   32    0
May 10 20:53:45 ubuntu dstat.sh[71205]: 10-05 20:53:45| 87  11   2   0   0|1512M  890M  198M 5144M| 890k  862k|   0   464k|   0  11.0 |4303  9127 |3.63 1.79 0.95|5.0   0  69|   0     0 |   0     0 |  9   31    0   32    0
May 10 20:53:46 ubuntu dstat.sh[71205]: 10-05 20:53:46| 69   8  23   0   0|1551M  851M  198M 5144M|1387k 1349k|   0   372k|   0  8.00 |4903    11k|3.63 1.79 0.95|3.0   0   0|   0     0 |   0     0 |  9   33    0   32    0
May 10 20:53:47 ubuntu dstat.sh[71205]: 10-05 20:53:47| 51   5  44   0   0|1552M  850M  198M 5144M|1172k 1128k|   0   708k|   0  13.9 |5067    10k|3.63 1.79 0.95|9.0   0   0|   0     0 |   0     0 |  9   31    0   36    0
May 10 20:53:48 ubuntu dstat.sh[71205]: 10-05 20:53:48| 84  12   5   0   0|1383M 1019M  198M 5145M|1033k 1014k|   0   588k|   0  24.2 |3858  9230 |3.63 1.79 0.95|6.0   0 165|   0     0 |   0     0 |  9   29    0   35    0
May 10 20:53:49 ubuntu dstat.sh[71205]: 10-05 20:53:49| 89  10   0   0   0|1474M  927M  198M 5145M| 508k  489k|   0   412k|   0  7.99 |2524  4801 |3.74 1.84 0.97|5.0   0  21|   0     0 |   0     0 |  9   30    0   35    0
May 10 20:53:50 ubuntu dstat.sh[71205]: 10-05 20:53:50| 72   9  18   0   0|1546M  852M  198M 5148M|1406k 1388k|   0   360k|   0  9.00 |4393    11k|3.74 1.84 0.97|2.0   0   0|   0     0 |   0     0 |  9   33    0   37    0
May 10 20:53:51 ubuntu dstat.sh[71205]: 10-05 20:53:51| 68   8  24   0   0|1460M  937M  198M 5148M|1324k 1296k|   0   381k|   0  32.0 |5014    11k|3.74 1.84 0.97|5.0   0  74|   0     0 |   0     0 |  9   31    0   39    0
May 10 20:53:52 ubuntu dstat.sh[71205]: 10-05 20:53:52| 86  12   2   0   0|1487M  911M  198M 5148M|1462k 1421k|   0  5166k|   0   167 |3937    11k|3.74 1.84 0.97|5.0 1.0  79|   0     0 |   0     0 |  9   30    0   38    0
May 10 20:53:53 ubuntu dstat.sh[71205]: 10-05 20:53:53| 88  11   1   0   0|1470M  928M  198M 5149M|1227k 1190k|   0  5059k|   0   156 |3803    11k|3.74 1.84 0.97|5.0   0  69|   0     0 |   0     0 |  9   30    0   39    0
May 10 20:53:54 ubuntu dstat.sh[71205]: 10-05 20:53:54| 82  14   2   0   0|1503M  894M  198M 5149M|1883k 1283k|   0   416k|   0  8.00 |4517    12k|3.84 1.89 1.00|7.0   0 123|   0     0 |   0     0 |  9   30    0   39    0
May 10 20:53:55 ubuntu dstat.sh[71205]: 10-05 20:53:55| 83  13   4   0   0|1517M  879M  198M 5150M|7657k 1667k|   0   424k|   0  9.00 |5156    12k|3.84 1.89 1.00|4.0   0 137|   0     0 |   0     0 |  9   31    0   39    0
May 10 20:53:56 ubuntu dstat.sh[71205]: 10-05 20:53:56| 83  12   3   0   0|1424M  972M  198M 5150M|4568k 1143k|   0   896k|   0  37.0 |6036    10k|3.84 1.89 1.00|5.0   0 162|   0     0 |   0     0 |  9   30    0   40    0
May 10 20:53:57 ubuntu dstat.sh[71205]: 10-05 20:53:57| 84  13   4   0   0|1482M  913M  198M 5150M|2175k  960k|   0   419k|   0  9.99 |5675  9400 |3.84 1.89 1.00|4.0   0 155|   0     0 |   0     0 |  9   31    0   40    0
