-- Logs begin at Wed 2022-07-06 15:56:24 UTC, end at Wed 2022-07-06 17:09:03 UTC. --
Jul 06 16:54:59 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Jul 06 16:55:00 ubuntu dstat.sh[83352]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Jul 06 16:55:00 ubuntu dstat.sh[83352]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Jul 06 16:55:10 ubuntu dstat.sh[83352]: 06-07 16:55:10| 10   4  62  23   0|1028M 1455M  185M 5087M|  72k   13k|   0    39M|   0  1051 |5169  8526 |1.19 0.55 0.42|  0 1.0  19|   0     0 |   0     0 |  9    8    0   10    2
Jul 06 16:55:11 ubuntu dstat.sh[83352]: 06-07 16:55:11| 10   5  65  19   1|1032M 1448M  185M 5090M| 333k   27k|   0  8975k|   0   789 |6322    11k|1.19 0.55 0.42|2.0   0  20|   0     0 |   0     0 |  9   10    0   10    2
Jul 06 16:55:12 ubuntu dstat.sh[83352]: 06-07 16:55:12| 20   5  61  13   0|1057M 1418M  186M 5094M|  96k   16k|   0  8504k|   0   631 |5252  9086 |1.19 0.55 0.42|3.0   0  14|   0     0 |   0     0 |  9   10    0   10    2
Jul 06 16:55:13 ubuntu dstat.sh[83352]: 06-07 16:55:13| 32   3  51  13   0|1038M 1435M  186M 5096M|  49k   41k|   0  5733k|   0   614 |4639  9441 |1.19 0.55 0.42|1.0   0  12|   0     0 |   0     0 |  9   10    0   10    2
Jul 06 16:55:14 ubuntu dstat.sh[83352]: 06-07 16:55:14| 26   3  68   2   0|1041M 1432M  186M 5096M| 187k  146k|   0  2306k|   0   239 |3495  7121 |1.17 0.56 0.42|1.0   0   0|   0     0 |   0     0 |  9   10    0   10    2
Jul 06 16:55:15 ubuntu dstat.sh[83352]: 06-07 16:55:15| 30  10  60   0   0| 989M 1476M  186M 5102M| 873k   11k|   0  1288k|   0  17.0 |2043  1868 |1.17 0.56 0.42|2.0   0  79|   0     0 |   0     0 |  9    6    0   10    2
Jul 06 16:55:16 ubuntu dstat.sh[83352]: 06-07 16:55:16| 48   3  48   1   0|1048M 1418M  186M 5102M|8492  1512 |   0    11M|   0   138 |1187  1109 |1.17 0.56 0.42|2.0   0 2.0|   0     0 |   0     0 |  9    6    0   10    2
Jul 06 16:55:17 ubuntu dstat.sh[83352]: 06-07 16:55:17| 33   2  62   2   0|1034M 1432M  186M 5102M|  46k 5353 |   0  7691k|   0   407 |2118  2850 |1.17 0.56 0.42|1.0   0   0|   0     0 |   0     0 |  9    6    0   10    2
Jul 06 16:55:18 ubuntu dstat.sh[83352]: 06-07 16:55:18| 28   4  65   2   0| 995M 1470M  187M 5102M| 459k   13k|   0  8318k|   0   420 |2550  3141 |1.17 0.56 0.42|2.0   0  12|   0     0 |   0     0 |  9    6    0   10    2
Jul 06 16:55:19 ubuntu dstat.sh[83352]: 06-07 16:55:19| 27   3  69   2   0|1031M 1432M  187M 5103M| 543k   14k|   0  7729k|   0   412 |2602  3026 |1.24 0.58 0.43|1.0   0 1.0|   0     0 |   0     0 |  9    6    0   10    2
Jul 06 16:55:20 ubuntu dstat.sh[83352]: 06-07 16:55:20| 22   8  69   2   0| 945M 1518M  187M 5103M|  75k 6420 |   0  7484k|   0   392 |2737  4039 |1.24 0.58 0.43|1.0   0 136|   0     0 |   0     0 |  9    6    0   10    2
Jul 06 16:55:21 ubuntu dstat.sh[83352]: 06-07 16:55:21| 16  20  62   0   0| 946M 1516M  187M 5104M|  81k 5104 |   0  2591k|   0  70.0 |2796  4617 |1.24 0.58 0.43|2.0   0 379|   0     0 |   0     0 |  9    6    0   10    2
Jul 06 16:55:22 ubuntu dstat.sh[83352]: 06-07 16:55:22| 24  17  58   0   0| 950M 1512M  187M 5105M| 103k 6430 |   0   824k|   0  19.0 |3770  6046 |1.24 0.58 0.43|1.0   0 194|   0     0 |   0     0 |  9    6    0   10    2
Jul 06 16:55:23 ubuntu dstat.sh[83352]: 06-07 16:55:23| 56  16  29   0   0|1079M 1382M  187M 5105M| 148k 5603 | 324k  676k|4.00  6.00 |2267  4411 |1.24 0.58 0.43|3.0   0 153|   0     0 |   0     0 |  9    7    0   10    2
Jul 06 16:55:24 ubuntu dstat.sh[83352]: 06-07 16:55:24| 70   5  24   0   0|1129M 1331M  187M 5106M|9304  1620 | 372k  304k|8.00  19.0 |1436  1168 |1.38 0.62 0.45|3.0   0   0|   0     0 |   0     0 |  9    7    0   10    2
Jul 06 16:55:25 ubuntu dstat.sh[83352]: 06-07 16:55:25| 55   1  43   0   0|1147M 1313M  187M 5106M|  13k 3943 |   0   842k|   0  9.98 |1144   939 |1.38 0.62 0.45|3.0   0   0|   0     0 |   0     0 |  9    7    0   10    2
Jul 06 16:55:26 ubuntu dstat.sh[83352]: 06-07 16:55:26| 63  11  26   0   0|1200M 1257M  187M 5109M|  11k 2278 |   0  7686k|   0   163 |2791  6696 |1.38 0.62 0.45|2.0   0 147|   0     0 |   0     0 |  9    6    0   10    2
Jul 06 16:55:27 ubuntu dstat.sh[83352]: 06-07 16:55:27| 46   4  49   0   0|1239M 1218M  187M 5109M|9067  1619 |   0  4095B|   0  1.00 |1034   999 |1.38 0.62 0.45|3.0   0 1.0|   0     0 |   0     0 |  9    6    0   10    2
Jul 06 16:55:28 ubuntu dstat.sh[83352]: 06-07 16:55:28| 48   3  49   0   0|1283M 1171M  188M 5111M|6930  1663 |   0  4099B|   0  1.00 |1199  1330 |1.38 0.62 0.45|3.0   0 1.0|   0     0 |   0     0 |  9    6    0   10    2
Jul 06 16:55:29 ubuntu dstat.sh[83352]: 06-07 16:55:29| 46   4  48   1   0|1284M 1169M  188M 5112M|  72k   64k|   0  3384k|   0   166 |3042  5130 |1.43 0.65 0.45|3.0   0 2.0|   0     0 |   0     0 |  9   12    0   10    2
Jul 06 16:55:30 ubuntu dstat.sh[83352]: 06-07 16:55:30| 45   5  48   2   0|1208M 1244M  188M 5112M|  11k 2132 | 160k 2409k|9.00   137 |1740  2246 |1.43 0.65 0.45|3.0   0  45|   0     0 |   0     0 |  9    6    0   12    2
Jul 06 16:55:31 ubuntu dstat.sh[83352]: 06-07 16:55:31| 51   7  40   1   0|1222M 1230M  188M 5113M|  13k 7681 |  64k 4967k|6.00  25.0 |1607  4832 |1.43 0.65 0.45|3.0   0  35|   0     0 |   0     0 |  9   11    0   12    2
Jul 06 16:55:32 ubuntu dstat.sh[83352]: 06-07 16:55:32| 39   6  49   5   0|1202M 1225M  189M 5134M| 128k  119k| 132k 4568k|33.0   131 |2136  2989 |1.43 0.65 0.45|3.0   0 6.0|   0     0 |   0     0 |  9   30    0   12    2
Jul 06 16:55:33 ubuntu dstat.sh[83352]: 06-07 16:55:33| 41   8  49   1   0|1231M 1180M  190M 5146M|  11k 1660 |   0  4055k|   0   138 |1746  2025 |1.43 0.65 0.45|3.0   0  41|   0     0 |   0     0 |  9   30    0   12    2
Jul 06 16:55:34 ubuntu dstat.sh[83352]: 06-07 16:55:34| 44  12  42   3   0|1216M 1175M  190M 5165M|  72k   60k|   0  2166k|   0  79.1 |2101  3016 |1.56 0.69 0.47|4.0   0 194|   0     0 |   0     0 |  9   30    0   12    2
Jul 06 16:55:35 ubuntu dstat.sh[83352]: 06-07 16:55:35| 54   8  37   0   0|1299M 1085M  191M 5169M|  62k   40k|   0  2108k|   0  74.0 |1725  1660 |1.56 0.69 0.47|3.0   0 2.0|   0     0 |   0     0 |  9   32    0   10    2
Jul 06 16:55:36 ubuntu dstat.sh[83352]: 06-07 16:55:36| 45   9  45   1   0|1258M 1126M  191M 5169M| 750k  741k|   0  6043k|   0   213 |5237    10k|1.56 0.69 0.47|2.0   0  22|   0     0 |   0     0 |  9   35    0   10    2
Jul 06 16:55:37 ubuntu dstat.sh[83352]: 06-07 16:55:37| 66  19  14   0   0|1264M 1140M  191M 5151M|  10k 2346 |   0   850k|   0  22.1 |1939  3081 |1.56 0.69 0.47|6.0   0 323|   0     0 |   0     0 |  9   32    0   10    0
Jul 06 16:55:38 ubuntu dstat.sh[83352]: 06-07 16:55:38| 82  16   0   0   0|1401M 1002M  191M 5151M| 489k  478k|   0  1064k|   0  17.0 |3778    28k|1.56 0.69 0.47|8.0   0 198|   0     0 |   0     0 |  9   35    0   10    0
Jul 06 16:55:39 ubuntu dstat.sh[83352]: 06-07 16:55:39| 87  13   0   0   0|1339M 1064M  191M 5151M| 384k  378k|   0  1408k|   0  71.0 |3550    16k|2.23 0.84 0.52|6.0   0 154|   0     0 |   0     0 |  9   33    0    8    0
Jul 06 16:55:40 ubuntu dstat.sh[83352]: 06-07 16:55:40| 81  11   6   0   0|1314M 1089M  191M 5151M| 447k  441k|   0  1432k|   0  61.0 |4310  8642 |2.23 0.84 0.52|3.0   0 106|   0     0 |   0     0 |  9   32    0    8    0
Jul 06 16:55:41 ubuntu dstat.sh[83352]: 06-07 16:55:41| 62  11  25   1   0|1215M 1188M  191M 5152M| 427k  422k|   0  9458k|   0   511 |4256  7289 |2.23 0.84 0.52|2.0   0 135|   0     0 |   0     0 |  9   32    0    9    0
Jul 06 16:55:42 ubuntu dstat.sh[83352]: 06-07 16:55:42| 44  10  45   0   0|1199M 1204M  191M 5152M| 224k  214k|   0   936k|   0  28.0 |  10k   21k|2.23 0.84 0.52|2.0   0  69|   0     0 |   0     0 |  9   32    0    9    0
Jul 06 16:55:43 ubuntu dstat.sh[83352]: 06-07 16:55:43| 46   5  50   0   0|1249M 1154M  191M 5152M|  12k 1621 |   0   208k|   0  10.0 |1303  1235 |2.23 0.84 0.52|2.0   0  11|   0     0 |   0     0 |  9   32    0    9    0
Jul 06 16:55:44 ubuntu dstat.sh[83352]: 06-07 16:55:44| 41  10  48   1   0|1175M 1228M  191M 5152M| 209k  199k|   0   760k|   0  34.0 |3068  5082 |2.21 0.86 0.53|2.0   0 137|   0     0 |   0     0 |  9   32    0    9    0
Jul 06 16:55:45 ubuntu dstat.sh[83352]: 06-07 16:55:45| 33  26  40   0   0|1174M 1229M  191M 5152M|  12k 1512 |   0   376k|   0  17.0 |2663  4588 |2.21 0.86 0.53|4.0   0 600|   0     0 |   0     0 |  9   32    0    9    0
Jul 06 16:55:46 ubuntu dstat.sh[83352]: 06-07 16:55:46| 78  20   1   0   0|1281M 1122M  191M 5152M|9229  1621 |   0  5874k|   0  95.0 |2019  3618 |2.21 0.86 0.53|6.0   0 443|   0     0 |   0     0 |  9   32    0    9    0
Jul 06 16:55:47 ubuntu dstat.sh[83352]: 06-07 16:55:47| 89  11   0   0   0|1400M 1002M  191M 5152M| 514k  505k|   0  2076k|   0  78.0 |3979  7051 |2.21 0.86 0.53|6.0   0  15|   0     0 |   0     0 |  9   34    0    9    0
Jul 06 16:55:48 ubuntu dstat.sh[83352]: 06-07 16:55:48| 85  13   2   0   0|1327M 1075M  191M 5152M|1233k 1224k|   0  1020k|   0  37.0 |4891    15k|2.21 0.86 0.53|4.0   0  74|   0     0 |   0     0 |  9   35    0    9    0
Jul 06 16:55:49 ubuntu dstat.sh[83352]: 06-07 16:55:49| 83  14   3   0   0|1247M 1155M  191M 5152M| 958k  947k|   0   904k|   0  48.0 |5180    14k|2.60 0.96 0.56|7.0   0 113|   0     0 |   0     0 |  9   33    0   10    0
Jul 06 16:55:50 ubuntu dstat.sh[83352]: 06-07 16:55:50| 81  18   1   0   0|1350M 1052M  191M 5152M| 607k  602k|   0  1500k|   0  38.0 |5539    10k|2.60 0.96 0.56|7.0   0 212|   0     0 |   0     0 |  9   34    0   10    0
Jul 06 16:55:51 ubuntu dstat.sh[83352]: 06-07 16:55:51| 89  10   0   0   0|1414M  988M  191M 5153M| 781k  772k|   0  1504k|   0  64.0 |5540    12k|2.60 0.96 0.56|7.0   0  51|   0     0 |   0     0 |  9   33    0   10    0
Jul 06 16:55:52 ubuntu dstat.sh[83352]: 06-07 16:55:52| 85  13   1   0   0|1423M  978M  191M 5153M| 990k  977k|   0  1416k|   0  52.0 |4807    11k|2.60 0.96 0.56|6.0   0 102|   0     0 |   0     0 |  9   35    0   10    0
Jul 06 16:55:53 ubuntu dstat.sh[83352]: 06-07 16:55:53| 83  15   2   0   0|1325M 1076M  191M 5153M| 938k  916k|   0  1385k|   0  46.9 |6554    12k|2.60 0.96 0.56|7.0   0 148|   0     0 |   0     0 |  9   35    0   10    0
Jul 06 16:55:54 ubuntu dstat.sh[83352]: 06-07 16:55:54| 85  12   1   0   0|1287M 1114M  191M 5154M|1098k 1090k|   0  1419k|   0  39.1 |3782    13k|2.79 1.03 0.59|7.0   0  59|   0     0 |   0     0 |  9   33    0   10    0
Jul 06 16:55:55 ubuntu dstat.sh[83352]: 06-07 16:55:55| 53  23  24   1   0|1199M 1201M  191M 5154M| 776k  768k|   0   884k|   0  64.0 |5639    13k|2.79 1.03 0.59|8.0   0 497|   0     0 |   0     0 |  9   32    0    9    0
Jul 06 16:55:56 ubuntu dstat.sh[83352]: 06-07 16:55:56| 87  13   1   0   0|1307M 1092M  191M 5154M|9421  1564 |   0   252k|   0  11.0 |1781  2099 |2.79 1.03 0.59|5.0   0 110|   0     0 |   0     0 |  9   32    0    9    0
Jul 06 16:55:57 ubuntu dstat.sh[83352]: 06-07 16:55:57| 63   8  28   0   0|1362M 1037M  191M 5155M|1079k 1069k|   0  3477k|   0   136 |5764    13k|2.79 1.03 0.59|6.0   0   0|   0     0 |   0     0 |  9   36    0   13    0
Jul 06 16:55:58 ubuntu dstat.sh[83352]: 06-07 16:55:58| 69  14  16   0   1|1204M 1196M  191M 5155M| 843k  832k|   0   637k|   0  53.0 |4881    12k|2.79 1.03 0.59|6.0   0 276|   0     0 |   0     0 |  9   32    0   14    0
Jul 06 16:55:59 ubuntu dstat.sh[83352]: 06-07 16:55:59| 86  13   0   0   0|1352M 1048M  191M 5155M| 350k  343k|   0  1000k|   0  18.0 |2596  4685 |3.05 1.11 0.62|6.0   0  64|   0     0 |   0     0 |  9   34    0   14    0
Jul 06 16:56:00 ubuntu dstat.sh[83352]: 06-07 16:56:00| 72  10  16   1   0|1228M 1171M  191M 5155M|1205k 1197k|   0   804k|   0  75.0 |5488    15k|3.05 1.11 0.62|6.0   0 173|   0     0 |   0     0 |  9   33    0   16    0
Jul 06 16:56:01 ubuntu dstat.sh[83352]: 06-07 16:56:01| 86  13   1   0   0|1341M 1058M  191M 5155M| 109k  102k|   0   860k|   0  23.0 |2345  3997 |3.05 1.11 0.62|6.0   0 177|   0     0 |   0     0 |  9   33    0   16    0
Jul 06 16:56:02 ubuntu dstat.sh[83352]: 06-07 16:56:02| 76  10  12   0   0|1422M  976M  191M 5155M|1127k 1113k|   0    14M|   0  81.0 |5490    14k|3.05 1.11 0.62|3.0   0   0|   0     0 |   0     0 |  9   37    0   19    0
Jul 06 16:56:03 ubuntu dstat.sh[83352]: 06-07 16:56:03| 60  16  22   0   0|1249M 1149M  191M 5156M|1066k 1056k|   0   640k|   0  50.0 |6726    15k|3.05 1.11 0.62|5.0   0 329|   0     0 |   0     0 |  9   34    0   20    0
Jul 06 16:56:04 ubuntu dstat.sh[83352]: 06-07 16:56:04| 85  13   2   0   0|1294M 1105M  191M 5156M|  96k   87k|   0   332k|   0  20.0 |2450  3338 |3.12 1.16 0.64|5.0   0  93|   0     0 |   0     0 |  9   32    0   20    0
Jul 06 16:56:05 ubuntu dstat.sh[83352]: 06-07 16:56:05| 75  15   9   0   0|1251M 1147M  191M 5156M|1017k 1000k|   0   977k|   0  64.8 |4929    13k|3.12 1.16 0.64|9.0   0 203|   0     0 |   0     0 |  9   34    0   21    0
Jul 06 16:56:06 ubuntu dstat.sh[83352]: 06-07 16:56:06| 87  12   1   0   0|1280M 1118M  191M 5156M| 514k  509k|   0   590k|   0  41.1 |2452  8101 |3.12 1.16 0.64|6.0   0 123|   0     0 |   0     0 |  9   32    0   19    0
Jul 06 16:56:07 ubuntu dstat.sh[83352]: 06-07 16:56:07| 80  12   8   0   0|1258M 1140M  191M 5156M| 959k  949k|   0    46M|   0   211 |4146    13k|3.12 1.16 0.64|5.0 1.0 102|   0     0 |   0     0 |  9   34    0   19    0
Jul 06 16:56:08 ubuntu dstat.sh[83352]: 06-07 16:56:08| 83  13   2   0   0|1276M 1122M  191M 5156M| 518k  512k|   0   659k|   0  48.9 |2475  7701 |3.12 1.16 0.64|4.0   0 112|   0     0 |   0     0 |  9   32    0   19    0
Jul 06 16:56:09 ubuntu dstat.sh[83352]: 06-07 16:56:09| 64  15  21   0   0|1217M 1180M  191M 5157M| 851k  845k|   0  1174k|   0  82.1 |4682    14k|3.11 1.19 0.65|8.0   0 248|   0     0 |   0     0 |  9   33    0   20    0
Jul 06 16:56:10 ubuntu dstat.sh[83352]: 06-07 16:56:10| 82  17   1   0   0|1296M 1102M  191M 5157M|  37k   27k|   0   368k|   0  19.0 |1872  3067 |3.11 1.19 0.65|7.0   0 257|   0     0 |   0     0 |  9   32    0   20    0
Jul 06 16:56:11 ubuntu dstat.sh[83352]: 06-07 16:56:11| 85  14   1   0   0|1417M  980M  191M 5157M| 877k  872k|   0  1060k|   0  39.0 |3679    12k|3.11 1.19 0.65|8.0   0 196|   0     0 |   0     0 |  9   35    0   20    0
Jul 06 16:56:12 ubuntu dstat.sh[83352]: 06-07 16:56:12| 86  14   1   0   0|1318M 1078M  191M 5157M|1355k 1347k|   0  3408k|   0   178 |3897    15k|3.11 1.19 0.65|7.0   0 211|   0     0 |   0     0 |  9   33    0   20    0
Jul 06 16:56:13 ubuntu dstat.sh[83352]: 06-07 16:56:13| 85  14   0   0   0|1318M 1078M  191M 5157M| 891k  881k|   0  1276k|   0  37.0 |4677    12k|3.11 1.19 0.65|8.0   0 167|   0     0 |   0     0 |  9   33    0   21    0
Jul 06 16:56:14 ubuntu dstat.sh[83352]: 06-07 16:56:14| 83  15   1   0   0|1374M 1022M  191M 5158M| 925k  918k|   0  1425k|   0  44.9 |6204    14k|3.43 1.29 0.68|8.0   0 185|   0     0 |   0     0 |  9   33    0   22    0
Jul 06 16:56:15 ubuntu dstat.sh[83352]: 06-07 16:56:15| 80  16   3   0   1|1313M 1083M  191M 5158M| 874k  864k|   0  1467k|   0  67.1 |6147    13k|3.43 1.29 0.68|8.0   0 248|   0     0 |   0     0 |  9   34    0   22    0
Jul 06 16:56:16 ubuntu dstat.sh[83352]: 06-07 16:56:16| 82  16   1   0   0|1316M 1079M  191M 5158M| 652k  645k|   0  1841k|   0  55.9 |4738    10k|3.43 1.29 0.68| 11   0 174|   0     0 |   0     0 |  9   34    0   22    0
Jul 06 16:56:17 ubuntu dstat.sh[83352]: 06-07 16:56:17| 84  14   2   0   0|1345M 1050M  191M 5159M|1254k 1242k|   0  7825k|   0   176 |6852    17k|3.43 1.29 0.68|9.0   0 181|   0     0 |   0     0 |  9   34    0   23    0
Jul 06 16:56:18 ubuntu dstat.sh[83352]: 06-07 16:56:18| 61  19  18   0   0|1186M 1209M  191M 5159M|1085k 1073k|   0   994k|   0  40.1 |6080    16k|3.43 1.29 0.68|4.0   0 508|   0     0 |   0     0 |  9   33    0   23    0
Jul 06 16:56:19 ubuntu dstat.sh[83352]: 06-07 16:56:19| 21  17  60   0   0|1124M 1271M  191M 5159M| 246k  240k|   0   376k|   0  19.0 |3469  6473 |3.15 1.27 0.68|4.0   0 330|   0     0 |   0     0 |  9   32    0   23    0
Jul 06 16:56:20 ubuntu dstat.sh[83352]: 06-07 16:56:20| 41  29  29   0   0|1210M 1185M  191M 5159M|7281  1622 |   0   228k|   0  20.0 |2624  5861 |3.15 1.27 0.68|7.0   0 760|   0     0 |   0     0 |  9   32    0   23    0
Jul 06 16:56:21 ubuntu dstat.sh[83352]: 06-07 16:56:21| 84  14   1   0   0|1351M 1044M  191M 5159M| 347k  336k|   0  1400k|   0  36.0 |3800  7379 |3.15 1.27 0.68|8.0   0 248|   0     0 |   0     0 |  9   32    0   23    0
Jul 06 16:56:22 ubuntu dstat.sh[83352]: 06-07 16:56:22| 77  19   4   0   0|1218M 1176M  191M 5159M| 788k  776k|   0  2032k|   0   133 |5929    13k|3.15 1.27 0.68|7.0   0 395|   0     0 |   0     0 |  9   32    0   25    0
Jul 06 16:56:23 ubuntu dstat.sh[83352]: 06-07 16:56:23| 84  14   1   0   0|1304M 1090M  191M 5160M| 510k  493k|  28k 1396k|2.00  44.0 |4050  8614 |3.15 1.27 0.68|6.0   0  82|   0     0 |   0     0 |  9   33    0   25    0
Jul 06 16:56:24 ubuntu dstat.sh[83352]: 06-07 16:56:24| 79  12   8   0   0|1405M  989M  192M 5160M|1163k 1154k|   0  1113k|   0  44.7 |6475    16k|3.38 1.35 0.71|4.0   0  52|   0     0 |   0     0 |  9   35    0   28    0
Jul 06 16:56:25 ubuntu dstat.sh[83352]: 06-07 16:56:25| 65   9  25   0   0|1381M 1012M  192M 5160M|1172k 1163k|   0  1097k|   0  51.2 |6247    15k|3.38 1.35 0.71|4.0   0  18|   0     0 |   0     0 |  9   36    0   30    0
Jul 06 16:56:26 ubuntu dstat.sh[83352]: 06-07 16:56:26| 72   9  19   0   0|1422M  971M  192M 5161M|1347k 1338k|   0  1166k|   0  63.1 |4723    13k|3.38 1.35 0.71|5.0   0 3.0|   0     0 |   0     0 |  9   35    0   34    0
Jul 06 16:56:27 ubuntu dstat.sh[83352]: 06-07 16:56:27| 84  13   3   0   0|1269M 1123M  192M 5162M| 841k  831k|   0  3020k|   0  53.0 |4853    12k|3.38 1.35 0.71|6.0   0 149|   0     0 |   0     0 |  9   33    0   35    0
Jul 06 16:56:28 ubuntu dstat.sh[83352]: 06-07 16:56:28| 86  13   1   0   0|1391M  999M  192M 5163M| 831k  826k|   0  1448k|   0  33.0 |5768    11k|3.38 1.35 0.71|7.0   0  17|   0     0 |   0     0 |  9   35    0   35    0
Jul 06 16:56:29 ubuntu dstat.sh[83352]: 06-07 16:56:29| 78  10  10   0   0|1403M  986M  192M 5164M|1191k 1184k|   0  1132k|   0  61.0 |7319    16k|3.67 1.44 0.74|6.0   0  51|   0     0 |   0     0 |  9   36    0   36    0
Jul 06 16:56:30 ubuntu dstat.sh[83352]: 06-07 16:56:30| 61   9  30   1   0|1426M  963M  192M 5164M|1409k 1398k|   0   880k|   0  65.0 |5551    14k|3.67 1.44 0.74|5.0   0   0|   0     0 |   0     0 |  9   36    0   41    0
Jul 06 16:56:31 ubuntu dstat.sh[83352]: 06-07 16:56:31| 74  12  13   0   0|1361M 1027M  192M 5165M|1106k 1098k|   0   926k|   0  52.9 |7182    23k|3.67 1.44 0.74|6.0   0 103|   0     0 |   0     0 |  9   34    0   45    0
Jul 06 16:56:32 ubuntu dstat.sh[83352]: 06-07 16:56:32| 85  11   3   0   0|1347M 1042M  192M 5165M| 834k  824k|   0  1384k|   0  57.1 |5043    12k|3.67 1.44 0.74|6.0   0 102|   0     0 |   0     0 |  9   34    0   44    0
Jul 06 16:56:33 ubuntu dstat.sh[83352]: 06-07 16:56:33| 81  14   4   0   0|1376M 1013M  192M 5165M|1130k 1120k|   0  1480k|   0  48.0 |5772    14k|3.67 1.44 0.74|5.0 1.0 135|   0     0 |   0     0 |  9   35    0   44    0
Jul 06 16:56:34 ubuntu dstat.sh[83352]: 06-07 16:56:34| 72   9  19   0   0|1426M  961M  192M 5166M|1299k 1291k|   0   834k|   0  48.9 |5848    17k|3.70 1.48 0.76|6.0   0 1.0|   0     0 |   0     0 |  9   35    0   48    0
Jul 06 16:56:35 ubuntu dstat.sh[83352]: 06-07 16:56:35| 73  13  12   0   0|1362M 1025M  192M 5166M|1330k 1314k|   0   806k|   0  58.2 |5178    17k|3.70 1.48 0.76|5.0   0 172|   0     0 |   0     0 |  9   35    0   51    0
Jul 06 16:56:36 ubuntu dstat.sh[83352]: 06-07 16:56:36| 86  11   2   0   0|1325M 1062M  192M 5166M|1128k 1121k|   0  1199k|   0  37.0 |3135    15k|3.70 1.48 0.76|8.0   0  90|   0     0 |   0     0 |  9   34    0   51    0
Jul 06 16:56:37 ubuntu dstat.sh[83352]: 06-07 16:56:37| 85  12   3   0   0|1310M 1076M  192M 5167M|1059k 1051k|   0   997k|   0  51.1 |4972    14k|3.70 1.48 0.76|8.0   0 160|   0     0 |   0     0 |  9   33    0   52    0
